0,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_30,1_31,1_32,1_33,1_34,1_35,1_36,1_37,1_38,1_39,1_40,1_41,1_42,1_43,1_44,1_45,1_46,1_47,1_48,1_49,1_50,1_51
[illustration] [blazon or coat of arms],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head-mould-shot,1.0,,,,,,,,,1.0,1.0,,,,1,1.0,1,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,
Jaundies,1.0,,,2.0,2,2.0,3.0,1.0,,,2.0,1.0,3.0,1.0,3,2.0,,5.0,,1.0,3.0,,2.0,1.0,1.0,4.0,1.0,1.0,5.0,6.0,2.0,3.0,2.0,3.0,,4.0,8.0,3.0,5.0,2.0,4.0,3.0,3.0,1.0,,2.0,,,2.0,,1.0,
Infants,10.0,13.0,13.0,19.0,16,18.0,9.0,15.0,7.0,14.0,12.0,13.0,16.0,19.0,9,6.0,7,7.0,17.0,15.0,10.0,11.0,12.0,12.0,9.0,8.0,11.0,9.0,7.0,12.0,10.0,15.0,13.0,21.0,22.0,17.0,26.0,10.0,16.0,9.0,18.0,14.0,14.0,3.0,8.0,12.0,4.0,9.0,10.0,6.0,7.0,3.0
Killed in a Crane at Alhallows Barking,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsevil,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,10.0,4.0,3.0,,1.0,2.0,2.0,1.0,1.0,2.0,,,,3.0,2.0,1.0,,,1.0
Overlaid,1.0,1.0,1.0,,,2.0,2.0,1.0,,,1.0,2.0,2.0,2.0,1,2.0,4,,3.0,1.0,1.0,3.0,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,
Palsie,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,2.0,,,,,,,,1.0,,2.0,1.0,,,1.0,,1.0,,2.0,1.0,,2.0,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0
Plague,1.0,,,,,,,1.0,,,,,,,,,,2.0,,9.0,3.0,14.0,17.0,43.0,112.0,168.0,267.0,470.0,725.0,1089.0,1843.0,2010.0,2817.0,3880.0,4237.0,6102.0,6988.0,6544.0,7165.0,5533.0,4929.0,4327.0,2665.0,1421.0,1031.0,1414.0,1050.0,652.0,333.0,210.0,243.0,281.0
Rickets,7.0,9.0,7.0,11.0,8,8.0,12.0,6.0,,16.0,,9.0,9.0,14.0,16,14.0,4,10.0,16.0,7.0,7.0,,14.0,11.0,13.0,15.0,9.0,14.0,7.0,13.0,10.0,16.0,14.0,23.0,23.0,23.0,7.0,20.0,17.0,10.0,12.0,13.0,11.0,8.0,6.0,7.0,4.0,3.0,4.0,7.0,1.0,1.0
Rising of the Lights,5.0,7.0,5.0,9.0,5,8.0,13.0,6.0,2.0,4.0,7.0,9.0,4.0,7.0,6,4.0,8,8.0,6.0,2.0,6.0,6.0,4.0,2.0,12.0,6.0,4.0,2.0,6.0,7.0,14.0,11.0,32.0,19.0,18.0,18.0,16.0,15.0,11.0,13.0,8.0,7.0,3.0,3.0,4.0,8.0,3.0,4.0,3.0,5.0,,2.0
Scurvy,1.0,,1.0,2.0,1,2.0,1.0,,4.0,2.0,4.0,3.0,2.0,2.0,,1.0,1,2.0,3.0,,,1.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,7.0,6.0,3.0,3.0,1.0,3.0,3.0,,2.0,2.0,5.0,5.0,2.0,3.0,,2.0,1.0,,1.0,2.0,2.0,3.0,1.0
Sore Brest,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Feaver,1.0,5.0,4.0,1.0,1,,3.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,2,3.0,8,12.0,4.0,6.0,10.0,14.0,23.0,16.0,11.0,23.0,12.0,33.0,32.0,60.0,114.0,139.0,174.0,,166.0,156.0,157.0,97.0,101.0,65.0,63.0,60.0,35.0,28.0,13.0,3.0,15.0,4.0,5.0,3.0,5.0,6.0
Stilborn,8.0,8.0,13.0,11.0,15,9.0,8.0,11.0,13.0,10.0,10.0,11.0,7.0,13.0,10,12.0,7,5.0,6.0,10.0,5.0,4.0,9.0,7.0,5.0,9.0,11.0,6.0,9.0,12.0,9.0,11.0,11.0,8.0,4.0,10.0,11.0,,17.0,10.0,9.0,11.0,9.0,3.0,4.0,2.0,9.0,5.0,5.0,4.0,4.0,4.0
Stone,1.0,3.0,,,,1.0,,1.0,,1.0,2.0,,,,1,1.0,1,,3.0,3.0,1.0,2.0,1.0,1.0,6.0,3.0,,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,,1.0,3.0,,2.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0
Stopping of the stomach,3.0,5.0,4.0,14.0,10,3.0,,,,,9.0,4.0,,,2,4.0,,,6.0,3.0,3.0,,,2.0,8.0,5.0,3.0,4.0,8.0,6.0,2.0,14.0,10.0,16.0,17.0,7.0,8.0,5.0,9.0,6.0,6.0,7.0,7.0,3.0,3.0,3.0,7.0,4.0,3.0,2.0,3.0,2.0
Suddenly,3.0,3.0,1.0,4.0,4,6.0,,1.0,1.0,,3.0,4.0,2.0,2.0,1,5.0,3,1.0,,4.0,2.0,2.0,2.0,3.0,3.0,2.0,,4.0,,2.0,,2.0,2.0,1.0,2.0,2.0,,,1.0,1.0,3.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,
Surfeit,4.0,5.0,6.0,3.0,13,9.0,7.0,6.0,7.0,9.0,10.0,11.0,7.0,3.0,4,8.0,9,8.0,9.0,15.0,13.0,11.0,13.0,9.0,24.0,18.0,14.0,36.0,34.0,47.0,103.0,80.0,85.0,87.0,74.0,99.0,69.0,45.0,49.0,36.0,24.0,30.0,29.0,17.0,14.0,13.0,9.0,2.0,3.0,1.0,3.0,7.0
Teeth,17.0,23.0,27.0,27.0,19,16.0,24.0,22.0,27.0,20.0,18.0,27.0,21.0,19.0,14,25.0,17,22.0,16.0,19.0,23.0,23.0,19.0,25.0,25.0,19.0,32.0,60.0,42.0,54.0,67.0,82.0,90.0,113.0,111.0,133.0,138.0,128.0,121.0,112.0,92.0,73.0,37.0,41.0,36.0,47.0,28.0,33.0,16.0,20.0,14.0,20.0
