parish,burials_0,burials_1,burials_2,burials_3,burials_4,burials_5,burials_6,burials_7,burials_8,burials_9,burials_10,burials_11,burials_12,burials_13,burials_14,burials_15,burials_16,burials_17,burials_18,burials_19,burials_20,burials_21,burials_22,burials_23,burials_24,burials_25,burials_26,burials_27,burials_28,burials_29,burials_30,burials_31,burials_32,burials_33,burials_34,burials_35,burials_36,burials_37,burials_38,burials_39,burials_40,burials_41,burials_42,burials_43,burials_44,burials_45,burials_46,burials_47,burials_48,burials_49,burials_50,burials_51
St Mary Bothaw,,,,1,1,1,1,,1,,,,,,,,,2,,,1,,3,,,,,1,,,,,1,,1,5,7,1,9,1,6,2,3,,,2,1,1,1,,1,1
St Mary Colechurch,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,2,2,3,3,2,,,1,,,1,,,,
St Mary Hill,,,,,1,,1,1,1,,1,,1,,,,,1,,,,,,,,2,,,,,,2,,1,2,2,7,5,12,5,11,6,7,2,3,4,6,4,1,1,3,1
St Mary Islington,,,,2,,,,,,,,,2,3,3,2,2,2,3,2,2,2,1,1,,3,3,4,3,17,12,27,28,42,50,69,94,66,68,44,35,26,22,8,9,6,10,6,7,2,4,4
St Mary le Bow,1,,,1,,1,1,1,1,2,,,,2,1,1,,,,,,1,,,,,,,,,,1,3,6,6,6,9,2,4,3,1,2,2,1,,,1,,,,1,3
St Mary Mounthaw,,1,,1,1,1,,,,,,,1,,,1,,,1,,,,,,,,,,,,1,2,,4,1,5,3,8,9,3,4,4,,2,,1,,1,,,1,
St Mary Newington,,7,3,5,7,4,5,7,3,,9,4,3,4,4,4,4,4,4,8,4,6,3,3,3,1,3,4,4,6,11,10,23,47,74,121,171,156,155,94,81,69,43,24,11,22,7,3,5,5,3,10
St Mary Savoy,,2,3,4,,,3,1,1,2,1,3,5,3,,,2,2,2,3,1,2,,1,4,2,2,7,8,4,12,11,8,15,11,25,24,19,20,20,19,15,3,3,3,8,3,6,3,,1,6
St Mary Sommerset,,1,,3,3,,2,1,1,,,,1,1,,,1,2,2,1,2,1,4,3,3,,3,,2,1,1,3,4,12,6,22,14,19,36,30,44,30,22,11,7,15,9,5,5,3,2,3
St Mary Stayning,,,,,1,,,,,,1,1,,,1,,,,1,,2,,,,,,,,,1,1,,1,2,1,5,5,6,2,8,3,3,1,,,1,,,,,,
St Mary Whitechappel,8,17,13,20,7,11,13,11,9,16,17,15,11,8,12,15,9,9,11,2,12,14,19,15,23,14,26,18,16,42,84,104,177,285,319,496,586,428,532,346,328,227,124,60,37,57,46,35,11,17,18,16
St Mary Woolchurch,1,,,,2,,,2,,,1,,1,,,,,,2,1,,,1,,,,,,,,,1,2,2,1,1,1,3,2,6,7,6,6,6,3,1,3,,,,3,
St Mary Woolnoth,,,,,1,,,,1,,1,,1,,1,,,,,,,,,2,2,2,,1,,,1,1,,1,1,2,3,3,9,11,7,8,4,1,5,,1,3,1,,,
St Matthew Fridaystreet,,,1,,1,,,,,,,,,,,,,1,,,2,,,,,1,,,,,,2,1,,1,1,,,1,1,,3,1,,1,3,2,1,,,,
St Maudlin Milkstreet,,,,,,,,,1,1,1,2,,,,,1,,,,1,1,,,1,,1,,,,1,,1,,2,8,5,1,5,2,4,2,1,1,,1,,,,,,
St Maudlin Oldfishstreet,1,,1,1,1,1,,1,,3,1,1,,1,1,,2,3,,1,,1,,,,,,1,,1,1,,2,3,8,6,24,16,16,10,8,12,14,2,9,6,8,4,1,,1,3
St Michael Bassishaw,1,,2,1,2,,1,2,1,,2,1,2,,4,1,3,1,1,2,,,3,,2,3,2,8,5,13,24,8,11,11,12,19,19,13,17,18,10,11,,2,1,2,1,2,1,1,,1
St Michael Cornhil,2,,1,2,,1,,3,1,,6,,,,,3,,,,,,,,,,,,,,1,1,,2,,3,3,11,12,14,7,4,8,4,4,1,3,2,,1,2,,2
St Michael Crookedlane,1,,,1,1,1,2,1,2,2,1,1,,,,1,1,,,1,1,,,2,2,2,2,4,4,3,,2,1,2,7,6,5,13,10,15,15,17,11,8,7,5,8,1,4,1,3,2
St Michael Queenhithe,,,3,,,,1,2,2,2,,1,1,1,1,4,2,1,,2,,2,,,,,,2,3,2,2,3,2,8,7,18,17,11,11,12,25,4,19,9,5,3,3,4,,1,1,6
St Michael Quern,,1,,1,2,,1,1,1,,,1,,,,,,,,,,2,,,,,,1,1,,1,2,,1,1,,1,3,4,4,4,3,2,4,,,1,,,,1,
St Michael Royal,1,,,,1,1,,2,,,,,1,1,,1,,,,,,,,,,,,,,2,,1,1,7,2,14,4,11,20,14,20,15,10,5,6,4,3,2,1,1,,1
St Michael Woodstreet,2,2,1,1,,1,,2,2,,,,,1,,,1,,,1,1,1,,,2,,,,,1,1,3,3,12,2,8,10,7,6,9,6,14,5,6,2,4,3,1,1,,,
St Mildred Breadstreet,,,,,3,1,1,1,,1,1,2,2,1,,,,1,1,,,,1,,,1,,1,,,,,1,,2,2,3,9,6,1,4,3,3,1,2,1,1,,1,1,,
St Mildred Poultrey,1,,1,,1,,,,1,,,1,,,,,,,2,,,1,,1,,1,,1,,,2,2,3,1,4,4,1,8,4,4,4,9,4,1,1,4,,1,,,,
St Nicholas Acons,,,,,1,,,1,1,,1,,1,,,1,1,1,,,,,1,,,,,,,1,,1,,,,1,,3,8,7,4,2,1,1,1,1,3,3,,,,
St Nicholas Coleabby,3,,,,1,,2,1,3,1,,,,1,3,1,,,1,,1,,1,,,,,,,,1,2,1,7,1,5,8,7,14,14,8,11,9,2,5,5,2,4,,,,
St Nicholas Olaves,1,,1,,2,1,1,,1,1,,,1,1,,,,,,,,,,,,,1,,,1,,,2,2,3,6,8,3,12,7,8,7,4,4,3,4,2,1,,1,,1
St Olave Hartstreet,,2,4,,6,,3,3,,,2,,,1,,1,,,,1,1,,,,2,,1,,,4,4,9,4,7,7,9,12,14,20,20,13,23,16,5,7,11,9,1,3,3,8,1
St Olave Jewry,,,,,2,,,,,,,,,,2,1,,,3,2,,,,,,,1,,,,,,,1,1,8,5,4,7,1,5,3,,2,2,1,,1,,,,1
St Olave Silverstreet,2,2,3,,1,1,4,1,2,2,1,1,3,,3,1,1,,,,,2,2,,1,1,,1,4,5,6,15,17,21,23,23,23,19,23,9,4,6,6,6,2,1,1,1,3,,,
St Olave Southwark,14,15,13,20,24,12,13,21,17,13,24,20,18,22,11,18,10,18,16,16,13,7,19,13,14,18,19,14,20,26,46,77,142,218,235,321,439,478,530,472,378,274,212,102,83,86,65,47,26,20,24,20
St Pancras Soperlane,,,1,2,,,,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,,,,2,4,,2,4,1,4,,1,1,1,,,1,1,,1
St Paul Covent Garden,,,3,3,2,1,3,6,4,5,1,3,3,2,3,3,3,3,5,2,3,4,4,2,2,2,5,4,6,5,13,13,20,13,18,24,32,29,30,19,25,15,16,13,6,5,5,5,4,4,3,4
St Peter Cheap,,,,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,3,,,,,,,1,1,1,6,5,4,6,3,6,7,3,1,1,1,,,,,
St Peter Cornhil,,,,2,,,3,1,3,2,1,2,1,,2,,1,1,1,,,,,1,,,1,,,2,4,3,3,5,7,4,4,8,10,10,8,9,11,1,7,5,4,,3,1,3,2
St Peter Paulswharf,,,,,1,,,,,,,,1,1,,,,,1,,,,1,1,1,,,,,,1,1,1,1,5,10,8,10,12,15,10,12,5,4,1,4,4,,,,2,1
St Peter Poor,2,3,1,1,,3,,1,,1,2,,1,,,1,,,,1,,2,,,,,,,1,2,2,,1,2,3,1,2,7,6,8,8,4,6,,1,3,,,2,,,
St Sepulchres Parish,,,,,24,25,20,23,27,6,26,22,17,11,18,16,12,17,13,12,18,18,18,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Steven Colemanstreet,3,2,2,3,6,5,2,4,5,2,4,1,2,1,3,4,1,8,2,1,1,4,2,2,3,3,2,4,2,6,7,11,15,14,15,36,47,36,47,56,43,44,35,12,13,10,13,9,4,1,2,
St Steven Walbrook,1,,,,1,1,,,,,1,1,,,,,1,,,,,1,1,,,,1,1,,,,1,,,,1,2,2,5,3,2,1,1,2,1,1,1,,,1,,
St Swithin,,,1,1,,,,2,,,,,,1,,2,,,1,,1,,,,,,1,,2,1,9,4,3,3,2,4,4,2,11,7,6,6,5,,1,3,4,3,1,,1,1
St Thomas Apostles,,,1,1,,1,,,,,1,1,1,3,,,,,1,,,,,2,1,,1,1,1,3,9,4,10,9,8,12,11,10,19,7,8,11,4,3,4,5,5,1,,1,1,2
St Thomas Southwark,,3,,,,,1,1,3,3,1,2,1,2,2,1,2,3,1,,2,3,,,2,3,4,5,7,3,8,5,9,5,24,27,40,50,57,39,40,38,27,11,5,10,10,9,,2,3,1
Stepney Parish,18,33,40,38,42,35,37,44,30,24,37,41,36,22,21,25,19,37,36,30,33,38,34,28,32,38,37,41,47,72,110,127,204,293,371,530,741,742,716,616,674,648,396,282,195,282,215,129,83,67,61,71
Trinity Minories,,,,1,,,,1,,,,,1,,,,,,,,1,,,,,,,,,1,1,5,,1,8,5,23,14,12,21,24,15,14,2,2,5,3,3,2,3,,
Trinity Parish,,3,,3,1,,1,1,,,1,,1,,,1,1,,1,,,2,,,,,,,1,,,1,2,2,5,4,3,12,13,10,10,12,3,3,5,4,3,4,,1,1,
Whereof at the Pesthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,11,,,,,,,7,11,,,,,,,,,,,,
