week_number,week_text,Abortive,Aged,Ague,Apoplexie,Bedridden,Blasted,Bleeding,Bloody flux,Broken legge,Bruised,Calenture,Cancer,Canker,Childbed,Chrisoms,Cold,Collick,Consumption,Convulsion,Cough,Distracted,Dropsie,Feaver,Fistula,Flox and Small-pox,Flux,French-pox,Frighted,Gangrene,Gowt,Grief,Griping in the Guts,Head-mould-shot,Headache,Imposthume,Infants,Jaundies,Kingsevill,Leprosie,Lethargy,Livergrown,Meagrome,Measles,Mother,Mouldfallen,Overlaid,Palsie,Plague,Plannet,Plurisie,Purples,Quinsie,Rickets,Rising of the Lights,Rupture,Sciatica,Scowring,Scurvy,Shingles,Small-Pox,Sore Brest,Sore legge,Sore mouth,Sore throat,Spleen,Spotted Feaver,Spotted Feaver and Purples,Stilborn,Stone,Stopping of the stomach,Strangury,Suddenly,Surfeit,Swine-pox,Teeth,Thrush,Timpany,Tissick,Ulcer,Vomiting,VVen,Winde,Wormes
week21,From the 9 of May to the 16. 1665.,2.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,75.0,34.0,2.0,0.0,22.0,32.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,10.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,1.0,3.0,1.0,2.0,13.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0
week22,From the 16 of May to the 23. 1665.,4.0,23.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,0.0,73.0,35.0,0.0,0.0,26.0,34.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,2.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,4.0,2.0,8.0,0.0,2.0,11.0,0.0,23.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0
week23,From the 23 of May to the 30. 1665.,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,80.0,29.0,2.0,0.0,27.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,2.0,0.0,1.0,14.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,9.0,1.0,5.0,0.0,2.0,13.0,0.0,19.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,4.0
week24,From the 30 of May to the 6 of June. 1665.,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,0.0,1.0,63.0,31.0,1.0,0.0,27.0,43.0,1.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43.0,0.0,0.0,1.0,0.0,11.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,7.0,1.0,2.0,1.0,3.0,9.0,0.0,25.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0
week25,From the 6 of June to the 13. 1665,0.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,98.0,38.0,0.0,0.0,28.0,54.0,0.0,12.0,1.0,3.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,1.0,2.0,13.0,12.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,6.0,8.0,0.0,3.0,24.0,0.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0
week26,From the 13 of June to the 20. 1665,2.0,27.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,103.0,28.0,1.0,0.0,24.0,48.0,0.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,5.0,8.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,168.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,9.0,3.0,5.0,1.0,2.0,18.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0
week27,From the 20 of June to the 27. 1665,3.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,14.0,0.0,0.0,83.0,31.0,0.0,0.0,22.0,48.0,1.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,3.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,267.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,0.0,3.0,1.0,0.0,14.0,0.0,32.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,4.0
week28,From the 27 of June to the 4 of July. 1664,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,6.0,0.0,1.0,76.0,26.0,0.0,0.0,26.0,78.0,0.0,20.0,4.0,3.0,0.0,2.0,0.0,0.0,33.0,0.0,0.0,7.0,9.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,0.0,6.0,1.0,4.0,1.0,4.0,36.0,0.0,60.0,6.0,1.0,5.0,0.0,1.0,0.0,2.0,9.0
week29,From the 4 of July to the 11. 1665,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,10.0,0.0,0.0,116.0,41.0,0.0,0.0,20.0,79.0,0.0,20.0,1.0,3.0,1.0,0.0,0.0,1.0,33.0,0.0,0.0,3.0,7.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,725.0,0.0,0.0,0.0,2.0,7.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,9.0,2.0,8.0,0.0,0.0,34.0,0.0,42.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,5.0
week30,From the 11 of July to the 18. 1665,3.0,43.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,104.0,38.0,0.0,0.0,28.0,104.0,0.0,11.0,3.0,1.0,1.0,0.0,2.0,0.0,35.0,0.0,0.0,9.0,12.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1089.0,0.0,0.0,0.0,1.0,13.0,7.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,12.0,1.0,6.0,0.0,2.0,47.0,0.0,54.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,10.0
week31,From the 18 of July to the 25. 1665,5.0,31.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,21.0,0.0,3.0,136.0,52.0,1.0,0.0,53.0,164.0,0.0,16.0,2.0,1.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0,6.0,10.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1843.0,0.0,0.0,3.0,2.0,10.0,14.0,1.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,9.0,1.0,2.0,1.0,0.0,103.0,0.0,67.0,5.0,1.0,1.0,3.0,2.0,0.0,1.0,9.0
week32,From the 25 of July to the 1 of August. 1665,5.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,24.0,0.0,3.0,131.0,63.0,0.0,0.0,24.0,194.0,1.0,18.0,4.0,3.0,2.0,0.0,0.0,2.0,56.0,0.0,0.0,7.0,15.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2010.0,0.0,1.0,2.0,1.0,16.0,11.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,139.0,0.0,11.0,3.0,14.0,0.0,2.0,80.0,0.0,82.0,2.0,0.0,5.0,1.0,1.0,0.0,0.0,11.0
week33,From the 1 of August to the 8. 1665,5.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.0,0.0,0.0,130.0,58.0,2.0,1.0,32.0,314.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,3.0,70.0,0.0,0.0,16.0,13.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2817.0,0.0,1.0,2.0,3.0,14.0,32.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,11.0,3.0,10.0,0.0,2.0,85.0,0.0,90.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,18.0
week34,From the 8 of August to the 15. 1665,6.0,54.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,15.0,0.0,1.0,174.0,88.0,0.0,0.0,40.0,353.0,1.0,10.0,2.0,0.0,1.0,1.0,1.0,1.0,74.0,0.0,0.0,18.0,21.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3880.0,0.0,1.0,0.0,6.0,23.0,19.0,2.0,1.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,190.0,8.0,2.0,16.0,1.0,1.0,87.0,0.0,113.0,3.0,0.0,6.0,2.0,7.0,0.0,8.0,18.0
week35,From the 15 of August to the 22. 1665,4.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,9.0,0.0,0.0,126.0,89.0,1.0,0.0,53.0,348.0,0.0,11.0,1.0,0.0,2.0,0.0,1.0,3.0,79.0,1.0,0.0,8.0,22.0,7.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4237.0,0.0,0.0,2.0,5.0,23.0,18.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,4.0,2.0,17.0,3.0,2.0,74.0,0.0,111.0,6.0,0.0,9.0,1.0,10.0,0.0,4.0,20.0
week36,From the 22 of August to the 29. 1665,6.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,19.0,0.0,1.0,145.0,93.0,0.0,0.0,34.0,383.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,4.0,65.0,0.0,0.0,13.0,17.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6102.0,3.0,0.0,3.0,2.0,23.0,18.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,10.0,1.0,7.0,1.0,2.0,99.0,0.0,133.0,3.0,1.0,3.0,4.0,0.0,0.0,4.0,23.0
week37,From the 29 of August to the 5 of September. 1665,2.0,52.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,28.0,0.0,0.0,106.0,81.0,1.0,0.0,18.0,364.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,43.0,0.0,0.0,10.0,26.0,8.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,6988.0,0.0,0.0,7.0,1.0,7.0,16.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,11.0,2.0,8.0,1.0,0.0,69.0,0.0,138.0,3.0,0.0,6.0,5.0,1.0,0.0,3.0,25.0
week38,From the 5 of September to the 12. 1665,23.0,57.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,20.0,0.0,1.0,129.0,71.0,0.0,0.0,31.0,332.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,45.0,2.0,0.0,6.0,10.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6544.0,1.0,0.0,0.0,3.0,20.0,15.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,1.0,5.0,2.0,0.0,45.0,0.0,128.0,6.0,1.0,4.0,1.0,2.0,0.0,0.0,15.0
week39,From the 12 of September to the 19. 1665,5.0,43.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,18.0,0.0,0.0,134.0,64.0,2.0,0.0,33.0,309.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,3.0,51.0,0.0,0.0,11.0,16.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7165.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,0.0,17.0,2.0,9.0,1.0,1.0,49.0,0.0,121.0,5.0,1.0,11.0,0.0,3.0,0.0,3.0,15.0
week40,From the 19 of September to the 26. 1665,6.0,50.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,11.0,1.0,0.0,99.0,63.0,1.0,0.0,22.0,268.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,35.0,0.0,0.0,8.0,9.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5533.0,0.0,0.0,2.0,0.0,10.0,13.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,10.0,3.0,6.0,0.0,1.0,36.0,0.0,112.0,3.0,0.0,5.0,0.0,4.0,0.0,1.0,12.0
week41,From the 26 of September to the 3 of October. 1665,4.0,42.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,7.0,0.0,0.0,103.0,60.0,0.0,0.0,33.0,201.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,28.0,0.0,0.0,4.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4929.0,1.0,1.0,1.0,0.0,12.0,8.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,9.0,0.0,6.0,0.0,3.0,24.0,0.0,92.0,2.0,1.0,3.0,1.0,1.0,0.0,4.0,13.0
week42,From the 3 of October to the 10. 1665,4.0,36.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,98.0,53.0,0.0,1.0,27.0,199.0,1.0,5.0,1.0,1.0,2.0,0.0,1.0,3.0,22.0,0.0,0.0,7.0,14.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4327.0,0.0,1.0,0.0,1.0,13.0,7.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.0,1.0,7.0,0.0,2.0,30.0,0.0,73.0,1.0,1.0,4.0,1.0,0.0,0.0,5.0,11.0
week43,From the 10 of October to the 17. 1665,2.0,28.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,27.0,0.0,1.0,77.0,51.0,1.0,0.0,25.0,95.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,10.0,14.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2665.0,0.0,0.0,1.0,0.0,11.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,9.0,3.0,7.0,0.0,1.0,29.0,0.0,37.0,2.0,1.0,7.0,0.0,2.0,0.0,2.0,10.0
week44,From the 17 of October to the 24. 1665,2.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,6.0,0.0,2.0,59.0,25.0,0.0,0.0,17.0,82.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,13.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1421.0,0.0,0.0,0.0,1.0,8.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,3.0,0.0,3.0,0.0,1.0,17.0,0.0,41.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,8.0
week45,From the 24 of October to the 31. 1665,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,67.0,27.0,0.0,0.0,24.0,75.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1031.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,4.0,2.0,3.0,1.0,0.0,14.0,0.0,36.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0
