parish,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52
St Ann Aldersgate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,11.0,13.0,24.0,25.0,28.0,16.0,27.0,15.0,10.0,6.0,2.0,4.0,3.0,3.0,0.0,0.0,1.0,2.0
St Ann Blackfryers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,6.0,15.0,10.0,17.0,31.0,30.0,56.0,65.0,31.0,50.0,52.0,28.0,13.0,6.0,13.0,12.0,2.0,4.0,1.0,2.0,1.0
St Antholins Parish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,1.0,5.0,7.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
St Austins Parish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Bartholomew Exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,5.0,3.0,6.0,7.0,4.0,3.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,0.0,0.0
St Bartholomew Great,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,9.0,7.0,10.0,17.0,48.0,50.0,65.0,42.0,21.0,17.0,16.0,15.0,3.0,5.0,0.0,1.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0
St Bartholomew Lesse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,15.0,8.0,21.0,19.0,12.0,11.0,7.0,7.0,3.0,5.0,5.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0
St Bennet Fynck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
St Bennet Gracechurch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,10.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0
St Bennet Paulswharf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,2.0,4.0,2.0,7.0,8.0,29.0,21.0,19.0,15.0,19.0,7.0,9.0,8.0,5.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0
St Bennet Sherehog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
St Botolph Aldersgate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,5.0,17.0,23.0,46.0,47.0,61.0,80.0,79.0,61.0,62.0,64.0,64.0,42.0,28.0,15.0,11.0,14.0,5.0,6.0,0.0,0.0,4.0,5.0
St Botolph Aldgate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,14.0,34.0,65.0,81.0,173.0,212.0,46.0,439.0,570.0,589.0,433.0,338.0,284.0,155.0,82.0,53.0,68.0,44.0,24.0,8.0,7.0,16.0,11.0
St Botolph Billingsgate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,2.0,8.0,4.0,7.0,3.0,3.0,5.0,4.0,3.0,0.0,0.0,1.0,1.0
St Botolph Bishopsgate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,17.0,20.0,39.0,77.0,80.0,133.0,196.0,236.0,280.0,299.0,298.0,256.0,145.0,121.0,119.0,53.0,30.0,24.0,24.0,17.0,11.0,5.0,5.0,3.0,4.0
St Brides Parish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Bridget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,7.0,14.0,16.0,39.0,36.0,66.0,90.0,119.0,152.0,189.0,149.0,180.0,91.0,67.0,88.0,43.0,17.0,15.0,16.0,10.0,6.0,2.0,1.0,4.0,2.0
St Christophers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,7.0,4.0,5.0,6.0,4.0,4.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
St Clement Danes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,4.0,0.0,8.0,7.0,16.0,19.0,15.0,24.0,45.0,42.0,42.0,57.0,78.0,82.0,114.0,98.0,140.0,128.0,110.0,104.0,55.0,30.0,16.0,28.0,19.0,7.0,4.0,1.0,10.0,4.0
St Clement Eastcheap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0
St Dionis Backchurch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
St Dunstan East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,6.0,12.0,10.0,17.0,24.0,20.0,17.0,7.0,4.0,5.0,4.0,3.0,6.0,2.0,1.0,4.0
St Dunstan West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,9.0,3.0,11.0,10.0,20.0,25.0,29.0,42.0,74.0,50.0,79.0,58.0,59.0,56.0,35.0,21.0,15.0,13.0,17.0,9.0,5.0,2.0,2.0,3.0
St Edmund Lumbardstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,3.0,1.0,10.0,4.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0
St Ethelborough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,9.0,8.0,7.0,18.0,9.0,10.0,6.0,7.0,4.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
St Faith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,4.0,8.0,6.0,10.0,6.0,12.0,6.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
St Foster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,8.0,11.0,13.0,12.0,7.0,9.0,9.0,6.0,6.0,5.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0
St Gabriel Fenchurch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,6.0,3.0,4.0,5.0,1.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0
St George Botolphlane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,7.0,0.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0
St George Southwark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,20.0,26.0,39.0,71.0,60.0,120.0,150.0,140.0,176.0,137.0,133.0,61.0,34.0,18.0,14.0,22.0,13.0,8.0,2.0,3.0,0.0,2.0
St Giles Cripplegate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,7.0,32.0,49.0,114.0,208.0,302.0,356.0,521.0,572.0,602.0,567.0,401.0,373.0,225.0,151.0,138.0,67.0,28.0,22.0,39.0,23.0,17.0,2.0,3.0,3.0,7.0
St Giles in the fields,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,9.0,31.0,8.0,101.0,143.0,149.0,213.0,218.0,323.0,229.0,259.0,242.0,175.0,146.0,178.0,156.0,125.0,107.0,78.0,74.0,43.0,33.0,20.0,24.0,21.0,16.0,4.0,4.0,5.0,2.0
St Gregory by St Pauls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,6.0,11.0,5.0,25.0,20.0,19.0,23.0,26.0,25.0,21.0,12.0,4.0,5.0,8.0,5.0,4.0,1.0,0.0,1.0,0.0
St Hellen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,10.0,11.0,6.0,10.0,6.0,8.0,3.0,5.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
St James Clerkenwel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,10.0,50.0,78.0,121.0,92.0,136.0,145.0,172.0,122.0,119.0,73.0,67.0,64.0,42.0,31.0,16.0,6.0,5.0,5.0,4.0,2.0,3.0,2.0,0.0,1.0
