0,1,2,3,4,5,6,7,8
,Bur,Pl.,,Bur,Pl.,,Bur,Pâ€¢
St ALbans Woodstreet,2,,St George Botolphlane,,,St Martins Ludgate,,
Alhallows Barking,1,,St Gregories by St Pauls,,,St Martins Orgars,1,
Alhallows Breadstreet,1,,St Hellins,2,,St Martins Outwitch,,
Alhallows Great,,,St James Dukes place,1,,St Martins Vintrey,2,
Alhallows Honylane,2,,St James Garlickhithe,5,,St Mathew Fridaystreet,,
Alhallows Lesse,,,St John Baptist,,,St Maudlins Milkstreet,,
Alhallows Lumbardstr,1,,St John Evangelist,,,St Maudlins Oldfishst,1,
Alhallows Stayning,,,St John Zachary,2,,St Michael Bassishaw,,
Alhallows the Wall,3,,St Katharine Coleman,2,,St Michael Cornhil,,
St Alphage,1,,St Katharine crechurch,,,St Michael Crookedla.,,
St Andrew Hubbard,,,St Lawrence Jewry,,,St Michael Queenhithe,1,
St Andrew Undershaft,1,,St Lawrence Pountney,,,St Michael Quern,,
St Andrew Wardrobe,5,,St Leonard Eastcheap,1,,St Michael Royall,1,
St Ann Aldersgate,1,,St Leonard Fosterlane,2,,St Michael Woodstreet,1,
St Ann Blackfryers,2,,St Magnus Parish,1,,St Mildred Breadstreet,1,
St Antholins Parish,,,St Margaret Lothbury,,,St Mildred Poultrey,,
St Austins Parish,,,St Margaret Moses,1,,St Nicholas Acons,,
St Bartholomew Exch.,,,St Margaret Newfishst.,,,St Nicholas Coleabby,1,
St Bennet Fynck,1,,St Margaret Patrons,,,St Nicholas Olaves,1,
St Bennet Gracechurch,1,,St Mary Abchurch,,,St Olaves Hartstreet,1,
St Bennet Paulswharf,1,,St Mary Aldermanbury,2,,St Olaves Jewry,,
St Bennet Sherchog,,,St Mary Aldermary,,,St Olaves Silverstreet,,
St Botolph Billingsgate,,,St Mary le Bow,2,,St Pancras Soperlane,,
Christs Church,1,,St Mary Bothaw,,,St Peters Cheap,,
St Christophers,,,St Mary Colechurch,1,,St Peters Cornhil,,
St Clement Eastcheap,,,St Mary Hill,,,St Peters Paulswharf,1,
St Dionis Backchurch,,,St Mary Mounthaw,,,St Peters Poor,,
St Dunstans East,,,St Mary Sommerset,1,,St Stevens Colemanstr.,1,
St Edm. Lumbardstreet,1,,St Mary Staynings,,,St Stevens Walbrook,,
St Ethelbourgh,,,St Mary Woolchurch,,,St Swithins,1,
St Faiths,,,St Mary Wolnoth,,,St Thomas Apostle,3,
St Fosters,1,,St Martins Iremongerl.,1,,Trinity Parish,,
St Gabriel Fenchurch,1,,,,,,,
Buried in the 97 Parishes within the Walls 68 Plague 0,,,,,,,,
St Andrews Holborn,17,,St Botolph Aldgate,16,,St Saviours Southwark,19,
St Bartholomew Great,1,,St Botolph Bishopsgate,13,,St Sepulchres Parish,11,
St Bartholomew Lesse,,,St Dunstans West,6,,St Thomas Southwark,2,
St Brides Parish,13,,St George Southwark,4,,Trinity Minories,,
Bridewel Precinet,1,,St Giles Cripplegate,32,,At the Pesthouse,,
St Botolph Aldersgate,3,,St Olaves Southwark,22,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 160 Plague 0",,,,,,,,
St Giles in the fields,14,,Lambeth Parish,5,,St Mary Islington,3,
Hackney Parish,2,,St Leonard Shoreditch,,,St Mary Whitechappel,8,
St James Clerkenwel,3,,St Magdalen Bermond,9,,Redriff Parish,,
St Kath. neer the Tower,4,,St Mary Newington,4,,Stepney Parish,22,
Buried in the 12 out Parishes in Middlesex and Surry 74 Plague 0,,,,,,,,
St Clement Danes,12,,St Martins in the fields,22,,St Margaret Westminst.,12,
St Paul Covent Garden,2,,St Mary Savoy,3,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 51 Plague 0,,,,,,,,
