0,1,2,3,4,5,6,7,8
,Bur,Pl,,Bur,Pl,,Bur,Pl.
St ALbans Woodstreet,,,St George Botolphlane,,,St Martins Ludgate,,
Alhallows Barking,5,,St Gregories by St Pauls,8,,St Martins Orgars,,
Alhallows Breadstreet,1,,St Hellens,3,,St Martins Outwitch,1,
Alhallows Great,1,,St James Dukes place,1,,St Martins Vintrey,,
Alhallows Honylane,,,St James Garlickhithe,1,,St Mathew Fridaystreet,,
Alhallows Lesse,3,,St John Baptist,,,St Maudlins Milkstreet,,
Alhallows Lumbardstr.,2,,St John Evangelist,1,,St Maudlins Oldfishstr.,1,
Alhallows Stayning,,,St John Zachary,,,St Michael Bassishaw,,
Alhallows the Wall,3,,St Katharine Coleman,2,,St Michael Cornhil,1,
St Alphage,1,,St Katharine crechurch,2,,St Michael Crookedla.,1,
St Andrew Hubbard,1,,St Lawrence Jewry,1,,St Michael Queenhiche,,
St Andrâ€¢w Undershaft,,,St Lawrence Pountney,1,,St Michael Quern,,
St Andrew Warâ€¢â€¢obe,2,,St Leonard Eastcheap,1,,St Michael Royall,1,
St Ann Aldersgate,3,,St Leonard Fosterlane,2,,St Michael Woodstreet,1,
St Ann Blackfryers,2,,St Magnus Pariâ€¢h,,,St Mildred Breadstreet,1,
St Antholins Parish,1,,St Margaret Lothbury,2,,St Mildred Poultrey,,
St Austins Parish,1,,St Margaret Moses,1,,St Nicholas Acons,,
St Bartholomew Excha,1,,St Margaret Newfishst,1,,St Nicholas Coleabby,,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,1,
St Bennet Gracechurch,,,St Mary Abchurch,1,,St Olaves Hartstreet,,
St Bennet Paulswharâ€¢,2,,St Mary Aldermanbury,,,St Olaves Jewry,,
St Bennet Sherehog,2,,St Mary Aldermary,,,St Olaves Silverstreet,1,
St Botolph Billingsgate,,,St Mary le Bow,1,,St Pancras Soperlane,,
Christ Church,3,,St Mary Bothaw,1,,St Petâ€¢rs Cheap,1,
St Christophers,,,St Mary Colechurch,,,St Peters Cornhil,,
St Clement Eastcheap,,,St Mary Hill,,,St Peters Paulswharf,,
St Dionis Backchurch,,,St Mary Mounthaw,1,,St Peterâ€¢ Poor,3,
St Dunstans Easâ€¢,1,,St Mary Sommerset,,,St Stevens Colemanstr,5,
St Edm. Lumbardstreet,,,St Mary Staynings,,,St Stevens Walbrook,1,
St Ethelborough,1,,St Mary Woolchurch,,,St Swithins,,
St Faiths,,,St Mary Woolnoth,,,St Thomas Apostles,1,
St Fosters,1,,St Martins Iremongerl,,,Trinity Parish,,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 88 Plague 0,,,,,,,,
ã€ˆâ—Šã€‰ Andrews Holborne,15,,St Botolph Aldgate,12,,St Saviours Southwark,18,
St Bartholomew Great,3,,St Botolph Bishopsgate,10,,St Sepulchres Parish,25,
St Bartholomew Lesse,,,St Dunstans West,6,,St Thomas Southwark,,
St Brides Parish,8,,St George Southwark,6,,â€¢rinity Minories,,
Bridewel Precinct,2,,St Giles Cripplegate,23,,â€¢t the Pesthouse,,
St Botolph Aldersgate,3,,St Olaves Southwark,12,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 143 Plague 0",,,,,,,,
St Giles in the fields,24,,Lambeth Parish,7,,St Mary Islington,,
Hackney Parish,2,,St Leonard Shoreditch,12,,St Mary Whitechappel,11,
St James Clerkenwel,12,,St Magdalen Bermond,7,,Redriff Parish,,
ã€ˆâ—Šã€‰ Kath. neer the Towâ€¢â€¢,1,,St Mary Newington,4,,Stepney Parish,35,
Buried in the 12 out Parishes in Middlesex and Surry 115 Plague 0,,,,,,,,
St Clement Danes,8,,St Martins in the fields,24,,St Margaret Westminst.,30,
Sâ€¢ Paul Covent Garden,1,,St Mary Savoy,,,Whereof at the Pesthousâ€¢,,
Buried in the 5 Parishes in the City and Liberties of Westminster 63 Plague 0,,,,,,,,
