0,1,2,3,4,5,6,7,8
,Bur,Pl,,Bur,Pl,,Bur,Pl.
ALbans Woodstreet,1,,St George Botolphlane,,,St Martins Ludgate,,
Alhallows Barking,2,,Sâ€¢ Gregories by St Paulâ€¢,5,,St Martins Orgars,,
â€¢lhâ€¢llows Breadstreet,,,St Hellens,,,St Martins Outwitch,,
Alhallows Great,,,St James Dukes place,1,,St Martins Vintrey,,
Alhallows Honylane,1,,St James Garlickhithe,1,,St Mathew Fridaystrâ€¢et,,
Alhallows Lâ€¢sse,1,,St John Baptist,2,,St Maudlins Milkstreet,,
Alhallows Lumbardstr.,1,,St John Evangelist,1,,St Maudlins Oldfishstr.,1,
Alhallows Stayning,,,St John Zachary,,,St Michael Bassishaw,4,
Alhallows the Wall,2,,St Katharine Coleman,,,St Michael Cornhil,,
St Alphage,,,St Katharine â€¢rechurch,2,,St Michael Crookedla,,
St Andrew Hubbard,,,St Lawrence Jewry,1,,St Michael Queenhithe,1,
St Andrew Undershaft,1,,St Lawrence Pountney,1,,St Michael Quern,,
St Andrew Wardrobe,1,,St Leonard Eastcheap,,,St Michael Royall,,
St Ana Aldersgate,,,St Leonard Posterlane,3,,St Michael Woodstreet,,
St Ann Blackfryers,4,,St Magnus Parish,,,St Mildred Breadstreeâ€¢,,
St Antholins Parish,,,St Margaret Lothbury,,,St Mildred Poultrey,,
St Austins Parish,,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Excha,,,St Margaret Newfishst,,,St Nicholas Coleabby,3,
St Bennet Fynck,1,,St Margaret Pattons,1,,St Nicholas Olaves,,
St Bennet Gracechurch,1,,St Mary Abchurch,1,,St Olaves Hartâ€¢trâ€¢et,,
St Bennet Paulswharfe,,,St Mary Aldermanbury,1,,St Olaves Jewry,2,
St Bennet Sherehog,,,St Mary Aldermary,,,St Olaves Silverstreet,3,
St Botolph Billingsgate,2,,St Mary le Bow,1,,St Pancras Soperlane,1,
Christ Church,2,,St Mary Bothaw,,,St Peters Cheap,,
St Christophers,1,,St Mary Colechurch,,,St Peters Cornhil,2,
St Clement Eastcheap,,,St Mary Hill,,,St Peters Paulswharf,,
St Dionis Backchurch,1,,St Mary Mounthaw,,,St Peters Poor,,
St Dunstans East,1,,St Mary Sommerset,,,St Stevens Colemanstr.,3,
St Edm. Lumbardstreet,1,,St Mary Stayningâ€¢,1,,St Stevens Walbrook,,
St Ethelborough,3,,St Mary Woolchurch,,,St Swithins,,
St Faiths,3,,St Mary Woolâ€¢oth,1,,St Thomas Apostles,,
St Fosters,,,St Martins Iremongerâ€¢,,,Trinity Parisâ€¢,,
St Gabriel Fenchurch,1,,,,,,,
Buried in the 97 Parishes within the Walls 74 Plague 0,,,,,,,,
Sâ€¢ Andrews Holborne,19,,St Botolph Aldgate,1,,St Saviours Sâ€¢uthwark,14,
St Bartholomew Greaâ€¢,2,,St Botolph Bishopsgatâ€¢,8,,St Sepulchres Parish,18,
St Bartholomew Lesse,,,St Dunstans West,4,,St Thomas Southwark,2,
St Brides Parish,11,,St George Southwark,5,,Trinity Minories,,
Bridewel Precinct,2,,St Giles Cripplegate,29,,At the Pesthouse,,
St Botolph Aldersgate,2,,St Olaves Southwark,11,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 138 Plague 0",,,,,,,,
St Giles in the fields,18,,Lambeth Parish,3,,St Mary Islington,3,
Hackney Parish,1,,St Leonard Shoreditcâ€¢,6,,St Mary Whitechappel,12,
St James Clerkâ€¢nwel,11,,St Magdalen Bermond,3,,Redriff Parish,,
Sâ€¢ Kath. neer the Tower,4,,St Mary Newington,4,,Stepney Parish,21,
Buried in the 12 out Parishes in Middlesex and Surry 86 Plague 0,,,,,,,,
Sâ€¢ Clement Danes,8,,St Martins in the fields,23,,St Margaret Westminst.,12,
Sâ€¢ Paul Covent Garden,3,,St Mary Savoy,,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 46. Plague 0,,,,,,,,
