0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur,Plag.
St ALban Woodstreet,2,1,St George Botolphlane,3,2,St Martin Ludgate,2,
Alhallows Barking,7,6,St Gregory by St Pauls,4,4,St Martin Orgars,1,1
â€¢â€¢hallows Breadstreet,,,St Hellen,1,,St Martin Outwitch,,
â€¢lhallows Great,6,5,St James Dukes place,1,1,St Martin Vintrey,5,3
â€¢â€¢hallows Honylane,,,St James Garlickhithe,5,3,St Matthew Fridaystreet,1,
Alhallows Lesse,5,2,St John Baptist,5,3,St Maudlin Milkstreet,,
Alhallows Lumbardstreet,,,St John Evangelist,,,St Maudlin Oldfishstreet,4,4
Alhallows Stayning,3,1,St John Zachary,,,St Michael Bassishaw,2,1
Alhallows the Wall,6,5,St Katharine Coleman,8,7,St Michael Cornhil,,
St Alphage,4,2,St Katharine Crechurch,8,6,St Michael Crookedlane,1,1
St Andrew Hubbard,2,,St Lawrence Jewry,,,St Michael Queenhithe,4,2
St Andrew Undershaft,2,1,St Lawrence Pountney,3,2,St Michael Quern,,
St Andrew Wardrobe,4,3,St Leonard Eastcheap,,,St Michael Royal,2,1
St Ann Aldersgate,4,3,St Leonard Fosterlane,3,2,St Michael Woodstreet,1,
St Ann Blackfryers,5,2,St Magnus Parish,1,1,St Mildred Breadstreet,,
St Antholins Parish,1,,St Margaret Lothbury,1,1,St Mildred Poultrey,1,1
St Austins Parish,1,,St Margaret Moses,,,St Nicholas Acons,3,1
St Bartholomew Exchange,3,1,St Margaret Newfishstre.,1,1,St Nicholas Coleabby,4,3
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,1,1
St Bennet Gracechurch,,,St Mary Abchurch,,,St Olave Hartstreet,1,
St Bennet Paulswharf,1,1,St Mary Aldermanbury,,,St Olave Jewry,1,1
St Bennet Sherehog,,,St Mary Aldermary,3,3,St Olave Silverstreet,1,
St Botolph Billingsgate,4,3,St Mary le Bow,,,St Pancras Soperlane,,
Christ Church,3,3,St Mary Bothaw,1,,St Peter Cheap,,
St Christophers,,,St Mary Colechurch,1,,St Peter Cornhil,,
St Clement Eastcheap,1,1,St Mary Hill,4,2,St Peter Paulswharf,,
St Dionis Backchurch,2,,St Mary Mounthaw,1,,St Peter Poor,,
St Dunstan East,4,3,St Mary Sommerset,5,5,St Steven Colemanstreet,9,8
St Edmund Lumbardstr.,5,3,St Mary Stayning,,,St Steven Walbrook,,
St Ethelborough,2,,St Mary Woolchurch,,,St Swithin,3,2
St Faith,,,St Mary Woolnoth,3,2,St Thomas Apostles,1,1
St Foster,2,2,St Martin Iremongerlane,,,Trinity Parish,4,2
St Gabriel Fenchurch,2,1,,,,,,
Christned in the 97 Parishes within the Walls 27 Buried 195 Plague 127,,,,,,,,
St Andrew Holborn,25,18,St Botolph Aldgate,33,24,Saviours Southwark,68,65
St Bartholomew Great,3,2,St Botolph Bishopsgate,14,11,S Sepulchres Parish,14,9
St Bartholomew Lesse,2,1,St Dunstan West,16,9,St Thomas Southwark,9,8
St Bridget,14,6,St George Southwark,11,8,Trinity Minories,3,
Bridewel Precinct,2,2,St Giles Cripplegate,28,17,At the Pesthouse,2,2
St Botolph Aldersgate,7,6,St Olave Southwark,47,29,,,
"Châ€¢istned in the 16 Parishes without the Walls 31 Buried, and at the Pesthouse 298 Plague 217",,,,,,,,
St Giles in the fields,22,16,Lambeth Parish,36,35,St Mary Islington,6,3
Hackney Parish,4,3,St Leonard Shoreditch,10,6,St Mary Whitechappel,35,30
St James Clerkenwel,8,2,St Magdalen Bermondsey,27,19,Rothorith Parish,13,10
St Kath. near the Tower,9,7,St Mary Newington,3,1,Stepney Parish,129,103
Christned in the 12 out Parishes in Middlesex and Surrey 29 Buried 302 Plague 235,,,,,,,,
St Clement Danes,15,7,St Martin in the fields,38,15,St Margaret Westminster,46,45
St Paul Covent Garden,5,2,St Mary Savoy,6,4,Whereof at the Pesthouse,,
Christned in the 5 Parishes in the City and Liberties of Westminster 21 Buried 110 Plague 73,,,,,,,,
