0,1,2,3,4,5,6,7,8
,Bur,Pl.,,Bur,Pl.,,Bur,Pl.
St ALbans Woodstreet,3,,St George Betolphlane,,,St Martins Ludgate,1,
Alhallows Barking,4,,St Gregories by St Pauls,,,St Martins Orgars,,
Alhallows Breadstreet,1,,St Hellins,1,,St Martins Outwitch,,
Alhallows Great,3,,St James Dukes place,,,St Martins Vintrey,,
Alhallows Honylane,,,St James Garlickhithe,2,,St Mathew Fridaystreet,,
Alhallows Lesse,2,,St John Baptist,1,,St Maudlins Milkstreet,1,
Alhallows Lumbardstr,,,St John Evangelist,1,,St Maudlins Oldfishst.,,
Alhallows Stayning,1,,St John Zachary,,,St Michael Bassishaw,1,
Alhallows the Wall,2,,St Katharine Coleman,,,St Michael Cornhil,1,
St Alphage,,,St Katharine crechurch,,,St Michael Crookedla,2,
St Andrew Hubbard,,,St Lawrence Jewry,,,St Michael Queenhithe,2,
St Andrew Undershaft,4,,St Lawrence Pountney,,,St Michael Quern,1,
St Andrew Wardrobe,1,,St Leonard Eastcheap,,,St Michael Royall,,
St Ann Aldersgate,1,,St Leonard Fosterlane,3,,St Michael Woodstreet,2,
St Ann Blackfryers,2,,St Magnus Parish,,,St Mildred Breadstreet,,
St Antholins Parish,1,,St Margaret Lothbury,,,St Mildred Poultrey,1,
St Austins Parish,,,St Margaret Moses,,,St Nicholas Acons,1,
St Bartholomew Exch.,,,St Margaret Newfishst,2,,St Nicholas Coleabby,3,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,1,
St Bennet Gracechurch,,,St Mary Abchurch,1,,St Olaves Hartstreet,,
St Bennet Paulswharf,2,,St Mary Aldermanbury,,,St Olaves Jewry,,
St Bâ€¢â€¢net Sherehog,,,St Mary Aldermary,1,,St Olaves Silverstreet,2,
Stâ€¢â€¢â€¢olph Billingsgate,,,St Mary le Bow,1,,St Pancras Soperlane,,
Christs Church,4,,St Mary Bothaw,1,,St Peters Cheap,1,
St Christophers,,,St Mary Colechurch,,,St Peters Cornhil,3,
St Clement Eastcheap,,,St Mary Hill,1,,St Peters Paulswharf,,
St Dionis Backchurch,,,St Mary Mounthaw,,,St Peters Poor,,
St Dunstans East,2,,St Mary Sommerset,1,,St Stevens Colemanstr,5,
St Edm. Lumbardstreet,2,,St Mary Staynings,,,St Stevens Walbrook,,
St Ethelbourgh,1,,St Mary Woolchurch,,,St Swithins,,
St Faiths,,,St Mary Wolnoth,1,,St Thomas Apostle,,
St Fosters,,,St Martins Iremongerl.,,,Trinity Parish,,
St Gabriel Fenchurch,1,,,,,,,
Buried in the 97 Parishes within the Walls 82 Plague 0,,,,,,,,
St Andrews Holborn,21,,St Botolph Aldgate,9,,St Saviours Southwark,12,
St Bartholomew Great,2,,St Botolph Bishopsgate,10,,St Sepulchres Parish,27,
St Bartholomew Lesse,,,St Dunstans West,6,,St Thomas Southwark,3,
St Brides Parish,13,,St George Southwark,3,,Trinity Minories,,
Bridewel Precinet,,,St Giles Cripplegate,33,,At the Pesâ€¢house,,
St Botolph Aldersgate,2,,St Olaves Southwark,17,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 158 Plague 0",,,,,,,,
St Giles in the fields,18,,Lamoeth Parish,3,,St Mary Islington,,
Hackney Parish,3,,St Loonard Shoreditch,10,,St Mary Whitechappel,9,
St Iames Clerkenwel,5,,St Magdalen Bermond.,2,,Redriff Parish,,
St Kath. neer the Tower,6,,St Mary Newington,3,,Stepney Parish,30,
Buried in the 12 out Parishes in Middlesex and Surry 89 Plague 0,,,,,,,,
St Clement Danes,12,,St Martins in the â€¢â€¢elds,23,,St Margaret Westminst.,24,
St Paul Covent Garden,4,,St Mary Savoy,1,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 64 Plague 0,,,,,,,,
