0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Pâ€¢aâ€¢
St ALban Woodstreet,5,2,St George Botolphlane,7,7,St Martin Ludgate,13,12
Alhallows Barking,31,26,St Gregory by St Pauls,13,12,St Martin Orgars,2,1
Alhallows Breadstreet,1,1,St Hellen,4,4,St Martin Outwitch,,
Alhallows Great,32,30,St James Dukes place,21,18,St Martin Vintrey,24,19
Alhallows Honylane,,,St James Garlickhithe,19,15,St Matthew Fridaystreet,1,
Alhallows Lesse,18,16,St John Baptist,7,6,St Maudlin Milkstreet,1,
Alhallows Lumbardstreet,2,2,St John Evangelist,,,St Maudlin Oldfishstreâ€¢t,14,12
Alhallows Stayning,10,9,St John Zachary,7,6,St Michael Bâ€¢â€¢â€¢ishaw,6,5
Alhallows the Wall,15,13,St Katharine Coleman,28,24,St Michael Coâ€¢nhil,4,4
St Alphage,5,1,St Katharine Crechurch,14,11,St Michael Crookedlane,11,10
St Andrew Hubbard,2,2,St Lawrence Jewry,4,3,St Michael Queenhithe,19,16
St Andrew Undershaft,11,7,St Lawrence Pountney,18,14,St Michael Quern,2,
St Andrew Wardrobe,13,11,St Leonard Eastcheap,4,3,St Michael Royal,10,9
St Ann Aldersgate,10,10,St Leonard Fosterlane,6,6,St Michael Woodstreet,5,3
St Ann Blackfryers,30,28,St Magnus Parish,6,5,St Mildred Breadstreet,3,3
St Antholins Parish,2,2,St Margaret Lothbury,3,3,St Mildred Poultrey,4,4
St Austins Parish,1,,St Margaret Moses,3,3,St Nicholas Acons,1,1
St Bartholomew Exchange,4,3,St Margaret Newfishstre.,8,5,St Nicholas Coleabby,9,7
St Bennet Fynck,5,5,St Margaret Pattons,4,3,St Nicholas Olaves,4,4
St Bennet Gracechurch,4,4,St Mary Abchurch,13,6,St Olave Hartstreet,16,14
St Bennet Paulswharf,10,8,St Mary Aldermanbury,7,6,St Olave Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,4,3,St Olave Silverstreet,6,5
St Botolph Billingsgate,7,7,St Mary le Bow,2,2,St Pancras Soperlane,,
Christ Church,27,24,St Mary Bothaw,3,3,St Peter Cheap,7,7
St Christophers,3,3,St Mary Colechurch,,,St Peter Cornhil,11,9
St Clement Eastcheap,,,St Mary Hill,7,6,St Peter Paulswharf,5,4
St Dionis Backchurch,3,1,St Mary Mounthaw,,,St Peter Poor,6,6
St Dunstan East,21,17,St Mary Sommerset,22,18,St Steven Colemanstreet,35,28
St Edmund Lumbardstr.,4,4,St Mary Stayning,1,,St Steven Walbrook,1,
St Ethelborough,2,1,St Mary Woolchurch,6,5,St Swithin,5,4
St Faith,6,6,St Mary Woolnoth,4,3,St Thomas Apostles,4,4
St Foster,6,5,St Martin Iremongerlane,1,,Trinity Parish,3,2
St Gabriel Fenchurch,6,5,,,,,,
Christned in the 97 Parishes within the Walls 33 Buried 774 Plague 646,,,,,,,,
St Andrew Holborn,68,55,St Botolph Aldgate,169,155,Saviours Southwark,233,227
St Bartholomew Great,9,5,St Botolph Bishopsgate,71,53,S Sepulchres Parish,67,40
St Bartholomew Lesse,5,3,St Dunstan West,44,35,St Thomas Southwark,27,23
St Bridget,63,43,St George Southwark,37,34,Trinity Minories,14,12
Bridewel Precinct,6,4,St Giles Cripplegate,88,67,At the Pesthouse,4,4
St Botolph Aldersgate,33,28,St Olave Southwark,212,141,,,
Christned in the 16 Parishes wâ€¢thout the Walls 45 Buried and at thâ€¢ Pesthouâ€¢e 1150 Plague 926,,,,,,,,
St Giles in the fields,57,â€¢3,Lambeth Parish,47,42,St Mary Islington,22,18
Hackney Parish,14,10,St Leonard Shoreditch,50,42,St Mary Whitechappel,124,103
St James Clerkenwel,25,16,St Magdalen Bermondsey,101,77,Rothorith Parish,18,13
St Kath. near the Tower,38,25,St Mary Newington,43,36,Stepney Parish,396,366
Christned in the 12 out Parishes in Middlesex and Surrey 42 Buried 935 Plague 791,,,,,,,,
St Clement Danes,75,55,St Martin in the fields,81,60,St Margaret Westminsteâ€¢,185,172
St Paul Covent Garden,16,9,St Mary Savoy,3,3,Whereof at the Pesthouse,,3
Christned in the 5 Parishes in the City and Liberties of Westminster 27 Buried 360 Plague 299,,,,,,,,
