0,1,2,3,4,5,6,7,8
,Bur,Pl.,,Bur,Pl.,,Bur,Pl.
St ALbans Woodstreet,,,St George Botolphlane,1,,St Martins Ludgate,,
Alhallows Barking,4,,St Gregories by St Pauls,3,,St Martins Orgars,1,
Alhallows Breadstreet,1,,St Hellins,,,St Martins Outwitch,,
Alhallows Great,,,St James Dukes place,2,,St Martins Vintrey,,
Alhallows Honylane,,,St James Garlickhithe,2,,St Mathew Fridaystreet,,
Alhallows Lesse,3,,St John Baptist,,,St Maudlins Milkstreet,,
Alhallows Lumbardstr,,,St John Evangelist,,,St Maudlins Oldfishst.,,
Alhallows Stayning,,,St John Zachary,,,St Michael Basshishaw,1,
Alhallows the Wall,3,,St Katharine Coleman,1,,St Michael Cornhil,,
St Alphage,3,,St Katharine crechurch,,,St Michael Crookedla.,2,
St Andrew Hubbard,1,,St Lawrence Jewry,,,St Michael Queenhithe,1,
St Andrew Undershaft,,,St Lawrence Pountney,1,,St Michael Quern,1,
St Andrew Wardrobe,2,,St Leonard Eastcheap,,,St Michael Royall,,
St Ann Aldersgate,2,,St Leonard Fosterlane,4,,St Michael Woodstreet,,
St Ann Blackfryers,2,,St Magnus Parish,,,St Mildred Breadstreet,1,
St Antholins Parish,,,St Margaret Lothbury,1,,St Mildred Poultrey,,
St Austins Parish,1,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Exch.,,,St Margaret Newfishst.,1,,St Nicholas Coleabby,2,
St Bennet Fynck,,,St Margaret Patrons,,,St Nicholas Olaves,1,
St Bennet Gracechurch,,,St Mary Abchurch,1,,St Olaves Hartstreet,3,
St Bennet Paulswharf,3,,St Mary Aldermanbury,,,St Olaves Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,,,St Olaves Silverstreet,4,
St Batolph Billingsgate,2,,St Mary le Bow,1,,St Paneras Soperlane,,
Christ Church,1,,St Mary Bothaw,1,,St Peters Cheap,1,
St Christophers,,,St Mary Colechurch,,,St Peters Cornhil,3,
St Clement Eastcheap,,,St Mary Hill,1,,St Peters Paulswharf,,
St Dionis Backchurch,2,,St Mary Mounthaw,,,St Peters Poor,,
St Dunstans East,3,,St Mary Sommerset,2,,St Stevens Colemanst.,2,
St Edm. Lumbardstreet,,,St Mary Staynings,,,St Stevens Walbrook,,
St Ethelbourgh,,,St Mary Woolchurch,,,St Swithins,,
St Faiths,1,,St Mary Wolnoth,,,St Thomas Apostle,,
St Fosters,,,St Martins Iremongerl.,,,Trinity Parish,1,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 80 Plague 0,,,,,,,,
St Andrews Molborn,23,,St Botolph Aldgate,14,,St Saviours Southwark,10,
St Bartholomew Greaâ€¢,5,,St Botolph Bishopsgate,9,,St Sepulchres Parish,20,
St Bartholomew Lesse,2,,St Dunstans West,6,,St Thomas Southwark,1,
St Brides Parish,13,,St George Southwark,9,,Trinity Minories,,
Bridewel Frecinet,,,St Giles Cripplegate,21,,At the Pesthouse,,
St Botolph Aldersgate,4,,St Olaves Southwark,13,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 150 Plague 0",,,,,,,,
St Giles in the fields,21,,Lambeth Parish,1,,St Mary Islington,,
Hackney Parish,1,,St Leonard Shoreditch,10,,St Mary Whitechappel,13,
S Iames Clerkenwel,5,,St Magdalen Bermond.,4,,Redriff Parish,,
S Kath. neer the Tower,2,,St Mary Newington,5,,Stepney Parish,37,
Buried in the 12 out Parishes in Middlesex and Suâ€¢ry 99 Plague 0,,,,,,,,
St Clement Danes,10,,St Martins in the fields,30,,St Margaret Westminst.,18,
St Paul Covent Garden,3,,St Mary Savoy,3,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 64 Plague 0,,,,,,,,
