0,1,2,3,4,5,6,7,8
,Bur.,Plag,,Bur.,Plag.,,Bur.,Plagâ–ª
St ALban Woodstreet,17,15,St George Botolphlane,5,4,St Martin Ludgate,17,16
Alhallows Barking,39,26,St Gregory by St Pauls,22,21,St Martin Orgars,5,5
Alhallows Breadstreet,2,2,St Hellen,2,2,St Martin Outwitch,7,5
Alhallows Great,38,34,St James Dukes place,30,25,St Martin Vintrey,38,34
Alhallows Honylane,1,1,St James Garlickhithe,12,11,St Matthew Fridaystreet,3,2
Alhallows Lesse,21,21,St John Baptist,11,7,St Maudlin Milkstreet,2,1
Alhallows Lumbardstreet,5,5,St John Evangelist,,,St Maudlin Oldfishstreet,12,8
Alhallows Staining,12,8,St John Zachary,5,5,St Michael Bassishaw,11,7
Alhallows the Wall,31,28,St Katharine Coleman,34,30,St Michael Cornhil,8,4
St Alphage,8,4,St Katharine Crechurch,24,23,St Michael Crookedlane,17,17
St Andrew Hubbard,4,2,St Lawrence Jewry,4,4,St Michael Queenhithe,4,3
St Andrew Undershaft,10,6,St Lawrence Pountney,17,15,St Michael Quern,3,2
St Andrew Wardrobe,23,15,St Leonard Eastcheap,5,5,St Michael Royal,15,14
St Ann Aldersgate,15,15,St Leonard Fosterlane,36,33,St Michael Woodstreet,14,13
St Ann Blackfryers,61,52,St Magnus Parish,5,4,St Mildred Breadstreet,3,1
St Antholins Parish,1,1,St Margaret Lothbury,6,5,St Mildred Poultrey,9,8
St Austins Parish,5,3,St Margaret Moses,,,St Nicholas Acons,2,1
St Bartholomew Exchange,4,4,St Margaret Newfishstreet,8,6,St Nicholas Coleabby,11,10
St Bennet Fynck,2,1,St Margaret Pattons,8,4,St Nicholas Olaves,7,7
St Bennet Gracechurch,11,10,St Mary Abchurch,5,2,St Olave Hartstreet,23,21
St Bennet Paulswharf,22,9,St Mary Aldermanbury,7,6,St Olave Jewry,3,2
St Bennet Sherehog,,,St Mary Aldermary,8,6,St Olave Silverstreet,6,5
St Botolph Billingsgate,4,4,St Mary le Bow,2,2,St Pancras Soperlane,4,4
Christs Church,34,30,St Mary Bothaw,2,2,St Peter Cheap,6,4
St Christophers,6,4,St Mary Colechurch,2,,St Peter Cornhil,9,5
St Clement Eastcheap,2,1,St Mary Hill,6,6,St Peter Paulswharf,12,11
St Dionis Backchurch,7,5,St Mary Mounthaw,4,2,St Peter Poor,4,2
St Dunstan East,28,20,St Mary Sommerset,30,26,St Steven Colemanstreet,44,41
St Edmund Lumbardstr.,12,10,St Mary Stayning,3,2,St Steven Walbrook,1,1
St Ethelborough,10,7,St Mary Woolchurch,6,5,St Swithin,6,4
St Faith,13,12,St Mary Woolnoth,8,5,St Thomas Apostle,11,10
St Foster,7,6,St Martin Iremongerlane,3,3,Trinity Parish,12,12
St Gabriel Fenchurch,5,4,,,,,,
Christned in the 97 Parishes within the Walls 31 Buried 1109 Plague 916,,,,,,,,
St Andrew Holborn,147,127,St Botolph Aldgate,305,284,Saviours Southwark,321,315
St Bartholomew Great,6,3,St Botolph Bishopsgate,145,119,S. Sepulchres Parish,123,84
St Bartholomew Lesse,7,7,St Dunstan West,62,56,St Thomas Southwark,38,32
St Bridget,110,88,St George Southwark,65,61,Trinity Minories,15,15
Bridewel Precinct,20,14,St Giles Cripplegate,162,138,At the Pesthouse,8,8
St Botolph Aldersgate,42,42,St Olave Southwark,274,177,,,
"Christned in the 16 Parishes without the Walls 48 Buried, and at the Pesthouse 1850 Plague 1570",,,,,,,,
St Giles in the fields,87,74,Lambeth Parish,66,62,St Mary Islington,26,21
Hackney Parish,8,6,St Leonard Shoreditch,76,72,St Mary Whitechappel,227,203
St James Clerkenwel,43,31,St Magdalen Bermondsey,169,146,Rothorith Parish,30,27
St Kath. near the Tower,63,45,St Mary Newington,69,60,Stepney Parish,648,593
Christned in the 12 out Parishes in Middlesex and Surry 38 Buried 1512 Plague 1340,,,,,,,,
St Clement Danes,118,104,St Martin in the fields,167,108,St Margaret Westminster,282,261
St Paul Covent Garden,15,14,St Mary Savoy,15,14,Whereof at the Pesthouse,,4
Christned in the 5 Parishes in the City and Liberties of Westminsâ€¢eâ€¢ 24 Buried 597 Plague 501,,,,,,,,
