0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur,Plag
St ALban Woodstreet,1,,St George Botolphlane,,,St Martin Ludgate,1,
Alhallows Barking,4,,St Gregory by St Pauls,9,5,St Martin Orgars,2,
Alhâ€¢llows Breadstreet,,,St Hellen,1,1,St Martin Outwitch,2,
Aâ€¢â€¢â€¢llows Great,5,2,St James Dukes place,6,4,St Martin Vintrey,6,4
Alhallows Honylane,,,St James Garlickhithe,1,1,St Matthew Fridaystreet,2,
Alhallows Lesse,3,1,St John Baptist,1,1,St Maudlin Milkstreet,,
Alhallows Lumbardstreet,2,1,St John Evangelist,,,St Maudlin Oldfishstreet,,
Alhallows Stayning,5,,St John Zachary,1,1,St Michael Bassishaw,8,6
Alhallows the Wall,6,3,St Katharine Coleman,,,St Michael Cornhil,,
St Alphage,3,3,St Katharine Crechurch,,,St Michael Crookedlane,2,2
St Andrew Hubbard,1,,St Lawrence Jewry,,,St Michael Queenhithe,3,
St Andrew Undershaft,10,6,St Lawrence Pountney,1,,St Michael Quern,2,2
St Andrew Wardrobe,2,,St Leonard Eastcheap,,,St Michael Royal,1,
St Ann Aldersgate,5,,St Leonard Fosterlane,6,5,St Michael Woodstreet,3,3
St Ann Blackfryers,10,6,St Magnus Parish,2,1,St Mildred Breadstreet,,
St Antholins Parish,,,St Margaret Lothbury,,,St Mildred Poultrey,2,1
St Austins Parish,,,St Margaret Moses,,,St Nicholas Acons,1,1
St Bartholomew Exchange,,,St Margaret Newfishstre.,,,St Nicholas Coleabby,2,1
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,,
St Bennet Gracechurch,1,1,St Mary Abchurch,1,,St Olave Hartstreet,9,3
St Bennet Paulswharf,6,4,St Mary Aldermanbury,6,2,St Olave Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,1,,St Olave Silverstreet,15,3
St Botolph Billingsgate,,,St Mary le Bow,1,1,St Pancras Soperlane,,
Christ Church,17,13,St Mary Bothaw,,,St Peter Cheap,,
St Christophers,3,2,St Mary Colechurch,,,St Peter Cornhil,3,2
St Clement Eastcheap,,,St Mary Hill,2,,St Peter Paulswharf,1,
St Dionis Backchurch,2,,St Mary Mounthaw,2,2,St Peter Poor,,
St Dunstan East,2,,St Mary Sommerset,3,2,St Steven Colemanstreet,11,7
St Edmund Lumbardstr.,,,St Mary Stayning,,,St Steven Walbrook,1,
St Ethelborough,4,2,St Mary Woolchurch,1,,St Swithin,4,2
St Faith,,,St Mary Woolnoth,1,,St Thomas Apostles,4,2
St Foster,2,1,St Martin Iremongerlane,1,1,Trinity Parish,1,
St Gabriel Fenchurch,1,,,,,,,
Christned in the 97 Parishes within the Walls 39 Buried 228 Plague 111,,,,,,,,
St Andrew Holborn,216,193,St Botolph Aldgate,92,65,Saviours Southwark,52,29
St Bartholomew Great,14,10,St Botolph Bishopsgate,116,80,S Sepulchres Parish,250,160
St Bartholomew Lesse,5,2,St Dunstan West,15,10,St Thomas Southwark,5,2
St Bridget,53,36,St George Southwark,36,26,Trinity Minories,5,4
Bridewel Precinct,2,2,St Giles Cripplegate,554,302,At the Pesthouse,10,10
St Botolph Aldersgate,37,23,St Olave Southwark,77,36,,,
"Christned in the 16 Parishes without the Walls 76 Buried, and at the Pesthouse 1539 Plague 990",,,,,,,,
St Giles in the fields,282,229,Lambeth Parish,4,2,St Mary Islington,27,23
Hackney Parish,6,5,St Leonard Shoreditch,110,65,St Mary Whitechappel,104,79
St James Clerkenwel,â€¢03,92,St Magdalen Bermondsey,14,2,Rothorith Parish,7,4
St Kath. near the Tower,10,4,St Mary Newington,10,6,Stepney Parish,127,76
Christned in the 12 out Parishes in Middlesex and Surrey 62 Buried 804 Plague 587,,,,,,,,
St Clement Danes,60,42,St Martin in the fields,226,160,St Margaret Westminster,133,101
St Paul Covent Garden,13,12,St Mary Savoy,11,7,Whereof at the Pesthouse,11,
Christned in the 5 Parishes in the City and Liberties of Westminster 38 Buried 443 Plague 322,,,,,,,,
