0,1,2,3,4,5,6,7,8
,Bur,Pl,,Bur,Pl,,Bur,Pl.
St ALbans Woodstreet,1,,St George Botolphlane,,,St Martins Ludgate,,
Alhallows Barking,3,,St Gregories by St Pauls,,,St Martins Orgars,1,
Alhallows Breadstreet,,,St Hellens,,,St Martins Outwitch,,
Alhallows Great,1,,St James Dukes place,,,St Martins Vintrey,,
Alhallows Honylane,,,St James Garlickhithe,,,St Mathew Fridaystreet,,
Alhallows Lesse,,,St John Baptist,1,,St Maudlins Milkstreet,1,
Alhallows Lumbardstr.,,,St John Evangelist,,,St Maudlins Oldfish str.,1,
Alhallows Stayning,2,,St John Zachary,,,St Michael Bassishaw,,
Alhallows the Wall,,,St Katharine Coleman,,,St Michael Cornhil,,
St Alphage,3,,St Katharine crechurch,1,,St Michael Crookedla,,
St Andrew Hubbard,,,St Lawrence Jewry,2,,St Michael Queenhithe,2,
St Andrew Undersâ€¢aft,2,,St Lawrence Pountney,,,St Michael Quern,2,
St Andrew Wardrobe,,,St Leonard Eastcheap,,,St Michael Royall,,
St Ann Aldersgate,1,,St Leonard Fosterlant,1,,St Michael Woodstreet,1,
St Ann Blackfryers,3,,St Magnus Parish,,,St Mildred Breadstreet,,
St Antholins Parish,1,,St Margaret Lothbury,1,,St Mildred Poultrey,1,
St Austins Parish,1,,St Margaret Moses,1,,St Nicholas Acons,,
St Bartholomew Excha,1,,St Margaret Newfiâ€¢shâ€¢â€¢,2,,St Nicholas Coleabby,,
St Bennet Fynck,,,St Margaret Pattons,1,,St Nicholas Olaves,,
St Bennet Gracechurch,1,,St Mary Abchurch,,,St Olaves Hartstreet,,
St Bennet Paulswharfe,2,,St Mary Aldermanbury,,,St Olaves Jewry,,
St Bennet Sherchog,,,St Mary Aldermary,1,,St Olaves Silverstreet,2,
St Botolph Billingsgate,1,,St Mary le Bow,1,,St Pancras Soperlane,,
Christ Church,3,,St Mary Bothaw,,,St Peters Cheap,,
St Christophers,,,St Mary Colechurch,,,St Peters Cornhil,,
St Clement Eastcheap,,,St Mary Hill,,,St Peters Paulswharf,,
St Dionis Backchurch,,,St Mary Mounthaw,,,St Peters Poor,2,
St Dunstans East,,,St Mary Sommerset,1,,St Stevens Colemanstr.,4,
St Edm. Lumbardstreet,,,St Mary Staynings,,,St Stevens Walbrook,1,
St Ethelborough,,,St Mary Woolchurch,,,St Swithins,,
St Faiths,,,St Mary Woolnoth,,,St Thomas Apostles,,
St Fosters,4,,St Martins Iremongerl,,,Trinity Parish,2,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 63 Plague 0,,,,,,,,
Sâ€¢ Andrews Holborne,16,,St Botolph Aldgate,11,,St Saviours Southwark,15,
Sâ€¢ Bartholomew Great,2,,St Botolph Bishopsgatâ€¢,11,,St Sepulchres Parish,18,
St Bartholomew Lesse,,,St Dunstans West,2,1,St Thomas Southwark,3,
St Brides Parish,7,,St George Southwark,2,,Trinity Minories,,
Bridewel Precinct,,,St Giles Cripplegate,23,,At the Pesthouse,1,1
St Botolph Aldersgate,7,,St Olaves Southwark,7,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 125 Plague 2",,,,,,,,
St Giles in the fields,40,7,â€¢ambeth Parish,1,,St Mary Islington,2,
Hackney Parish,3,,St Leonard Shoreditch,10,,St Mary Whitechappel,14,
St James Clerkenwel,3,,St Magdalen Bermond,7,,Redriff Parish,,
St Kath. neer the Tower,5,,St Mary Newington,6,,Stepney Parish,38,
Buried in the 12 out Parishes in Middlesex and Surry 129 Plague 7,,,,,,,,
St Clement Daneâ€¢,19,5,St Martins in the fields,22,,St Margaret Westminst.,21,
Sâ€¢ Paul Covent Garden,4,,St Mary Savoy,2,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 68 Plague 5,,,,,,,,
