0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plagâ–ª
St ALban Woodstreet,12,7,St George Botolphlane,,,St Martin Ludgate,14,10
Alhallows Barking,42,32,St Gregory by St Pauls,28,19,St Martin Orgars,12,11
Alhallows Breadstreet,,,St Hellen,8,6,St Martin Outwitch,4,4
Alhallows Great,41,32,St James Dukes place,22,20,St Martin Vintrey,36,35
Alhallows Honylane,1,1,St James Garlickhithe,12,8,St Matthew Fridaystreet,,
Alhallows Lesse,19,17,St John Baptist,3,3,St Maudlin Milkstreet,1,
Alhallows Lumbardstreet,7,5,St John Evangelist,,,St Maudlin Oldfishstreet,16,13
Alhallows Staining,13,8,St John Zachary,3,1,St Michael Bassishaw,13,9
Alhallows the Wall,45,40,St Katharine Coleman,26,22,St Michael Cornhil,12,8
St Alphage,31,13,St Katharine Crechurch,42,33,St Michael Crookedlane,13,11
St Andrew Hubbard,2,1,St Lawrence Jewry,3,1,St Michael Queenhithe,11,9
St Andrew Undershaft,25,19,St Lawrence Pountney,17,13,St Michael Quern,3,2
St Andrew Wardrobe,46,35,St Leonard Eastcheap,2,1,St Michael Royal,11,10
St Ann Aldersgate,31,25,St Leonard Fosterlane,23,20,St Michael Woodstreet,7,2
St Ann Blackfryers,64,56,St Magnus Parish,9,8,St Mildred Breadstreet,9,7
St Antholins Parish,2,1,St Margaret Lothbury,7,6,St Mildred Poultrey,8,7
St Austins Parish,4,3,St Margaret Moses,3,2,St Nicholas Acons,3,2
St Bartholomew Exchange,6,5,St Margaret Newfishstreet,9,6,St Nicholas Coleabby,7,6
St Bennet Fynck,5,3,St Margaret Pattons,8,4,St Nicholas Olaves,3,3
St Bennet Gracechurch,5,4,St Mary Abchurch,5,4,St Olave Hartstreet,14,13
St Bennet Paulswharf,30,19,St Mary Aldermanbury,12,7,St Olave Jewry,4,3
St Bennet Sherehog,,,St Mary Aldermary,9,7,St Olave Silverstreet,19,12
St Botolph Billingsgate,5,2,St Mary le Bow,2,1,St Pancras Soperlane,,
Christs Church,43,39,St Mary Bothaw,1,,St Peter Cheap,5,4
St Christophers,4,4,St Mary Colechurch,2,,St Peter Cornhil,8,3
St Clement Eastcheap,3,3,St Mary Hill,5,4,St Peter Paulswharf,10,9
St Dionis Backchurch,2,2,St Mary Mounthaw,8,7,St Peter Poor,7,6
St Dunstan East,13,12,St Mary Sommerset,19,18,St Steven Colemanstreet,36,31
St Edmund Lumbardstr.,2,2,St Mary Stayning,6,5,St Steven Walbrook,2,1
St Ethelborough,18,10,St Mary Woolchurch,3,1,St Swithin,2,2
St Faith,11,8,St Mary Woolnoth,3,2,St Thomas Apostle,10,8
St Foster,9,7,St Martin Iremongerlane,,,Trinity Parish,12,11
St Gabriel Fenchurch,1,,,,,,,
Christned in the 97 Parishes within the Walls 42 Buried 1154 Plague 896,,,,,,,,
St Andrew Holbâ€¢rn,255,235,St Botolph Aldgate,584,570,Saviours Southwark,419,394
St Bartholâ€¢mew Great,â€¢2,21,St Botolph Bishopsgate,354,298,S. Sepulchres Parish,284,206
St Bartholomew Lesse,19,19,St Dunstan West,60,50,St Thomas Southwark,50,44
St Bridget,177,149,St George Southwark,154,140,Trinity Minories,14,10
Bridewel Precinct,22,19,St Giles Cripplegate,â€¢04,401,At the Pesthouse,12,12
St Botolph Aldersgate,70,61,St Olave Southwark,478,307,,,
"â€¢hâ€¢istned in the 16 Parishes without the Walls 58 Buried, and at the Pesthouse 3488 Plague 2936",,,,,,,,
St Giles in the fields,167,156,Lambeth Parish,46,37,St Mary Islington,66,62
Hackney Parish,11,9,St Leonard Shoreditch,235,210,St Mary Whitechappel,428,400
St James Clerkenwel,94,73,St Magdalen Bermondsey,190,172,Rothorith Parish,18,16
St Kath. near the Tower,97,61,St Mary Newington,156,149,Stepney Parish,742,685
Châ€¢istned in the 12 out Parishes in Middlesex and Surry 43 Buried 2250 Plague 2030,,,,,,,,
St Clement Danes,124,98,St Martin in the fields,277,214,St Margaret Westminster,349,331
St Paul Covent Garden,29,â€¢6,St Mary Savoy,19,13,Whereof at the Pesthouse,,9
Christned in the 5 Parishes in the City and Liberties of Westminster 25 Buried 798 Plague 682,,,,,,,,
