0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plag.
St ALban Woodstreet,2,1,St George Botolphlane,3,3,St Martin Ludgate,5,1
Alhallows Barking,19,18,St Gregory by St Pauls,6,5,St Martin Orgars,5,4
Alhallows Breadstreet,,,St Hellen,3,1,St Martin Outwitch,1,
Alhallows Great,11,9,St James Dukes place,9,6,St Martin Vintrey,11,10
Alhallows Honylane,,,St James Garlickhithe,7,6,St Matthew Fridaystreet,1,
Alhallows Lesse,7,3,St John Baptist,3,2,St Maudlin Milkstreet,,
Alhallows Lumbardstreeâ€¢,,,St John Evangelist,2,,St Maudlin Oldfishstreet,9,7
Alhallows Staining,9,7,St John Zachary,2,2,St Michael Bassishaw,1,
Alhallows the Wall,7,6,St Katharine Coleman,6,5,St Michael Cornhil,1,
St Alphage,4,1,St Katharine Crechurch,7,5,St Michael Crookedlane,7,6
St Andrew Hubbard,2,2,St Lawrence Jewry,1,1,St Michael Queenhithe,5,5
St Andrew Undershaft,4,3,St Lawrence Pountney,5,2,St Michael Quern,,
St Andrew Wardrobe,6,2,St Leonard Eastcheap,1,1,St Michael Royal,6,3
St Ann Aldersgate,2,2,St Leonard Fosterlane,4,2,St Michael Woodstreet,2,1
St Ann Blackfryers,9,6,St Magnus Parish,3,2,St Mildred Breadstreet,2,
St Antholins Parish,,,St Margaret Lothbury,3,2,St Mildred Poultrey,1,
St Austins Parish,,,St Margaret Moses,4,1,St Nicholas Acons,1,1
St Bartholomew Exchange,2,1,St Margaret Newfishstreet,2,1,St Nicholas Coleabby,5,4
St Bennet Fynck,,,St Margaret Pattons,1,1,St Nicholas Olaves,3,3
St Bennet Gracechurch,,,St Mary Abchurch,,,St Olave Hartstreet,7,7
St Bennet Paulswharf,2,,St Mary Aldermanbury,4,4,St Olave Jewry,2,2
St Bennet Sherehog,,,St Mary Aldermary,,,St Olave Silverstreet,2,1
St Botolph Billingsgate,6,3,St Mary le Bow,,,St Pancras Soperlane,1,
Christs Church,8,8,St Mary Bothaw,,,St Peter Cheap,1,
St Christophers,,,St Mary Colechurch,1,1,St Peter Cornhil,7,5
St Clement Eastcheap,1,,St Mary Hill,3,3,St Peter Paulswharf,1,1
St Dionis Backchurch,5,4,St Mary Mounthaw,,,St Peter Poor,1,1
St Dunstan East,4,4,St Mary Sommerset,7,5,St Steven Colemanstreet,13,12
St Edmund Lumbardstr.,,,St Mary Stayning,,,St Steven Walbrook,1,1
St Ethelborough,,,St Mary Woolchurch,3,1,St Swithin,1,
St Faith,3,3,St Mary Woolnoth,5,4,St Thomas Apostle,4,3
St Foster,1,1,St Martin Iremongerlane,,,Trinity Parish,5,5
St Gabriel Fenchurch,4,,,,,,,
Christned in the 97 Parishes within the Walls 25 Buried 325 Plague 233,,,,,,,,
St Andrew Holborn,40,31,St Botolph Aldgate,65,53,Saviours Southwark,89,82
St Bartholomew Great,3,1,St Botolph Bishopsgate,28,24,S. Sepulchres Parish,22,11
St Bartholomew Lesse,6,5,St Dunstan West,21,15,St Thomas Southwark,5,5
St Bridget,29,15,St George Southwark,16,14,Trinity Minories,2,2
Bridewel Precinct,5,3,St Giles Cripplegate,39,22,At the Pesthouse,4,4
St Botolph Aldersgate,13,11,St Olave Southwark,83,58,,,
"Châ€¢istned in the 16 Parishes without the Walls 36 Buried, and at the Pesthouse 470 Plague 356",,,,,,,,
St Giles in the fields,30,20,Lambeth Parish,33,23,St Mary Islington,9,8
Hackney Parish,3,3,St Leonard Shoreditch,14,10,St Mary Whitechappel,37,21
St James Clerkenwel,13,5,St Magdalen Bermondsey,57,40,Rothorith Parish,12,8
St Kath. near the Tower,21,13,St Mary Newington,11,7,Stepney Parish,195,165
Christned in the 12 out Parishes in Middlesex and Surry 27 Buried 435 Plague 323,,,,,,,,
St Clement Danes,23,16,St Martin in the fields,48,25,St Margaret Westminster,78,72
St Paul Covent Garden,6,4,St Mary Savoy,3,2,Whereof at the Pesthouse,,1
Christned in the 5 Parishes in the City and Liberties of Westminster 16 Buried 158 Plague 119,,,,,,,,
