0,1,2,3,4,5,6,7,8
,Bur,Pl,,Bur,Pl,,Bur,Pl
St ALbans Woodstreet,1,,St George Botolphlane,,,St Martins Ludgate,,
Alhallows Barking,3,,St Gregories by St Pauls,1,,St Martins Oâ€¢â€¢â€¢rs,,
Alhallows Breadstreet,,,St Hellens,,,St Martins Outwitch,,
Alhallows Great,2,,St James Dukes place,,,St Martins Vintrey,,
Alhallows Honylane,,,St James Garlickhithe,1,,St Mathew Fridaystreet,1,
Alhallows Lesse,2,,St John Baptist,2,,St Maudlins Milkâ€¢treet,,
Alhallows Lumbardstr.,,,St John Evangelist,,,St Maudlins Oldâ€¢â€¢â€¢â€¢r,3,
Alhallows Stayning,,,St John Zachary,1,,St Michael Baâ€¢â€¢sâ€¢aw,1,
Alhallows the Wall,2,,St Katharine Coleman,1,,St Michael Cornhil,,
St Alphage,3,,St Katharine crechurch,,,St Michael Crookeâ€¢â€¢a.,,
St Andrew Hubbard,,,St Lawrence Jewry,,,St Michael Queenhithe,1,
St Andrew Undershaft,1,,St Lawrence Pountney,1,,St Michael Quern,,
St Andrew Wardrobe,3,,St Leonard Eastcheap,1,,St Michael Royall,,
St Ann Aldersgate,,,St Leonard Fosterlane,3,,St Michael Woodstreet,,
St Ann Blackfryers,,,St Magnus Parish,1,,St Mildred Breadstreet,1,
St Antholins Parish,1,,St Margaret Lothbury,1,,St Mildred Poultrey,,
St Austins Parish,,,St Margaret Moses,,,St Nicholas Acons,1,
St Bartholomew Exchâ€¢,2,,St Margaret Neâ€¢sithâ€¢â€¢,,,St Nicholas Coleabby,,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,,
St Bennet Gracechurch,,,St Mary Abchurch,1,,St Olaves Martstreet,,
St Bennet Paulswharfe,1,,St Mary Aldermanbury,,,St Olaves Jewry,,
St Bennet Sherchog,,,St Mary Aldermary,,,St Olaves Silverstreet,,
St Botolph Billingsgatâ€¢,1,,St Mary le Bow,,,St Pancras Soperlane,1,
Christ Church,1,,St Mary Bothaw,2,,St Peters Cheap,,
St Christophers,1,,St Mary Colechurch,,,St Peters Cornhil,1,
St Clement Eastcheap,1,,St Mary Hill,1,,St Peters Paulswarf,,
St Dinnis Backchurch,1,,St Mary Mounthaw,,,St Peters Poor,,
St Dunstans East,1,,St Mary Sommerset,2,,St Stevens Colemanstr.,8,
St Edm. Lumbardstreet,,,St Mary Staynings,,,St Stevens Walbrook,,
St Ethelborough,,,St Mary Woolchurch,,,St Swithins,,
St Faiths,,,St Mary Woolnoth,,,St Thomas Apostles,,
St Fosters,1,,St Martins Iremongerl,,,Trinity Parish,,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 65 Plague 0,,,,,,,,
St Andrews Holborne,16,,St Botolph Aldgate,14,,St Saviours Southwark,14,
St Bartholomew Great,,,St Botolph Bishopsgate,12,,St Sepulchres Parish,17,
St Bartholomew Losse,,,St Dunstans West,5,,St Thomas Southwark,3,
St Brides Parish,9,,St George Southwark,5,,Trinity Minories,,
Bridewel Precinct,1,,St Giles Cripplegate,28,,At the Pesthouse,,
St Botolph Aldersgate,3,,St Olaves Southwark,18,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 145 Plague 0",,,,,,,,
St Giles in the fields,30,2,Lambeth Parish,7,,St Mary Islington,2,
Hackney Parish,3,,St Leonard Shoreditch,10,,St Mary Whitechappel,9,
St Iames Clerkenwel,6,,St Magdalen Bermond,5,,Redriff Parish,,
St Kath. neer the Tower,6,,St Mary Newington,4,,Stepney Parish,37,
Buried in the 12 out Parishes in Middlesex and Surry 119 Plague 2,,,,,,,,
St Clement Dâ€¢nâ€¢,12,,St Martins in the fields,29,,St Margaret Westminst,23,
S Paul Covent Garden,3,,St Mary Savoy,2,,Whereof at theâ€¢â€¢sthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 69 Plague 0,,,,,,,,
