0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur,Plag
St ALban Woodstreet,3,,St George Botolphlane,,,St Martin Ludgate,1,
Alhallows Barking,4,1,St Gregory by St Pauls,5,,St Martin Orgars,1,
Alhallows Breadstreet,1,,St Hellen,,,St Martin Outwitch,1,
Alhallows Great,1,,St James Dukes place,1,,St Martin Vintrey,,
Alhallows Honylane,,,St James Garlickhithe,1,,St Matthew Fridaystreet,,
Alhallows Lesse,1,,St John Baptist,,,St Maudlin Milkstreet,,
Alhallows Lumbardstreet,,,St John Evangelist,,,St Maudlin Oldfishstreet,1,
Alhallows Stayning,1,,St John Zachary,1,1,St Michael Bassishaw,8,8
Alhallows the Wall,2,,St Katharine Coleman,1,,St Michael Cornhil,,
St Alphage,,,St Katharine Crechurch,3,,St Michael Crookedlane,4,2
St Andrew Hubbard,1,,St Lawrence Jewry,,,St Michael Queenhithe,2,
St Andrew Undershaft,1,,St Lawrence Pountney,1,,St Michael Quern,1,
St Andrew Wardrobe,2,,St Leonard Eastcheap,1,,St Michael Royal,,
St Ann Aldersgate,,,St Leonard Fosterlane,,,St Michael Woodstreet,,
St Ann Blackfryers,1,,St Magnus Parish,1,,St Mildred Breadstreet,1,
St Antholins Parish,,,St Margaret Lothbury,,,St Mildred Poultrey,1,
St Austins Parish,1,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Exchange,1,,St Margaret Newfishstre.,,,St Nicholas Coleabby,,
St Bennet Fynck,1,1,St Margaret Pattons,,,St Nicholas Olaves,,
St Bennet Gracechurch,,,St Mary Abchurch,1,,St Olave Hartstreet,,
St Bennet Paulswharf,6,2,St Mary Aldermanbury,2,2,St Olave Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,,,St Olave Silverstreet,1,
St Botolph Billingsgate,,,St Mary le Bow,,,St Pancras Soperlane,,
Christ Church,7,4,St Mary Bothaw,1,,St Peter Cheap,,
St Christophers,,,St Mary Colechurch,,,St Peter Cornhil,,
St Clement Eastcheap,,,St Mary Hill,,,St Peter Paulswharf,,
St Dionis Backchurch,,,St Mary Mounthaw,,,St Peter Poor,,
St Dunstan East,5,,St Mary Sommerset,,,St Steven Colemanstreet,4,2
St Edmund Lumbardstr.,,,St Mary Stayning,,,St Steven Walbrook,1,
St Ethelborough,1,,St Mary Woolchurch,,,St Swithin,,
St Faith,1,,St Mary Woolnoth,1,,St Thomas Apostles,1,
St Foster,1,,St Martin Iremongerlane,1,,Trinity Parish,,
St Gabriel Fenchurch,2,,,,,,,
Buried in the 97 Parishes within the Walls 93 Plague 23,,,,,,,,
St Andrew Holborn,48,35,St Botolph Aldgate,19,1,Saviours Southwark,7,
St Bartholomew Great,4,4,St Botolph Bishopsgate,38,17,S Sepulchres Parish,78,48
St Bartholomew Lesse,2,,St Dunstan West,8,5,St Thomas Southwark,5,2
St Bridget,20,7,St George Southwark,6,2,Trinity Minories,,
Bridewel Precinct,2,2,St Giles Cripplegate,96,32,At the Pesthouse,5,5
St Botolph Aldersgate,8,4,St Olave Southwark,14,2,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 360 Plague 166",,,,,,,,
St Giles in the fields,203,149,Lambeth Parish,3,,St Mary Islington,4,2
Hackney Parish,2,,St Leonard Shoreditch,21,7,St Mary Whitechappel,18,6
St James Clerkenwel,34,10,St Magdalen Bermondsey,11,,Rothorith Parish,3,
St Kath. near the Tower,1,,St Mary Newington,4,,Stepney Parish,41,2
Buried in the 12 out Parishes in Middlesex and Surrey 345 Plague 176,,,,,,,,
St Clement Danes,33,19,St Martin in the fields,114,55,St Margaret Westminster,50,26
St Paul Covent Garden,4,1,St Mary Savoy,7,4,Whereof at the Pesthouse,,4
Buried in the 5 Parishes in the City and Liberties of Westminster 208 Plague 105,,,,,,,,
