0,1,2,3,4,5,6,7,8
,Bur,Pl.,,Bur,Pl.,,Bur,Pâ€¢.
St ALbans Woodstreet,,,St George Botolphlane,,,St Martins Ludgate,,
Alhallows Barkinâ€¢,3,,St Gregories by St Pauls,3,,St Martins Orgars,,
Alhallows Breadstreet,,,St Hellins,2,,St Martins Outwitch,1,
Alhallows Great,1,,St James Dukes place,1,,St Martins Vintrey,3,
Alhallows Honylane,,,St James Garlickhithe,1,,St Mathew Fridaystreet,,
Alhallows Lesse,1,,St John Baptist,,,St Maudlins Milkstreet,,
Alhallows Lumbardstr,,,St John Evangelist,,,St Maudlins Oldfishst.,,
Alhallows Stayning,2,,St John Zachary,,,St Michael Bassishaw,1,
Alhallows the Wall,3,,St Katharine Coleman,2,,St Michael Cornhil,,
St Alphage,,,St Katharine crechurch,1,,St Michael Crookedla.,,
St Andrew Hubbard,1,,St Lawrence Jewry,1,,St Michael Queenhithe,,
St Andrew Undershaft,,,St Lawrence Pountney,1,,St Michael Quern,,
St Andrew Wardrobe,5,,St Leonard Eastcheap,,,St Michael Royall,,
St Ann Aldersgate,2,,St Leonard Fosterlane,1,,St Michael Woodstreet,,
St Ann Blackfryers,1,,St Magnus Parish,2,,St Mildred Breadstreet,1,
St Antholins Parish,,,St Margaret Lothbury,,,St Mildred Poultrey,2,
St Austins Parish,,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Exch.,,,St Margaret Newfishst,1,,St Nicholas Coleabby,1,
St Bennet Fynck,1,,St Margaret Pattons,,,St Nicholas Olaves,,
St Bennet Gracechurch,,,St Mary Abchurch,,,St Olaves Hartstreet,,
St Bennet Paulswharf,,,St Mary Aldermanbury,,,St Olaves Jewry,3,
St Bennet Sherehog,1,,St Mary Aldermary,,,St Olaves Silverstreet,,
St Botolph Billingsgate,,,St Mary le Bow,,,St Pancras Soperlane,,
Christs Church,1,,St Mary Bothaw,,,St Peters Cheap,,
St Christophers,1,,St Mary Colechurch,,,St Peters Cornhil,1,
St Clement Eastcheap,,,St Mary Hill,,,St Peters Paulswharf,1,
St Dionis Backchurch,,,St Mary Mounthaw,1,,St Peters Poor,,
St Dunstans East,1,,St Mary Sommerset,2,,St Stevens Colemanstr.,2,
St Edm. Lumbardstreet,1,,St Mary Staynings,1,,St Stevens Walbrook,,
St Ethelbourgh,1,,St Mary Woolchurch,2,,St Swithins,1,
St Faiths,,,St Mary Wolnoth,,,St Thomas Apostle,1,
St Fosters,1,,St Martins Iremongerl.,,,Trinity Parish,1,
St Gabriel Fenchurch,2,,,,,,,
Buried in the 97 Parishes within the Walls 70 Plague 0,,,,,,,,
St Andrews Holborn,14,,St Botolph Aldgate,8,,St Saviours Southwark,16,
St Bartholomew Greaâ€¢,4,,St Botolph Bishopsgate,11,,St Sepulchres Parish,13,
St Bartholomew Lesse,,,St Dunstans West,6,,St Thomas Southwark,1,
St Brides Parish,8,,St George Southwark,5,,Trinity Minories,,
Bridewel Precinct,1,,St Giles Cripplegate,18,,At the Pesthouse,,
St Botolph Aldersgate,4,,St Olaves Southwark,16,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 125 Plague 0",,,,,,,,
St Giles in the fields,24,,â€¢imâ€¢eâ€¢h Parish,5,,St Mary Islington,3,
Hackney Parish,,,St Leonard Shoreditch,8,,St Mary Whitechappel,11,
St James Clerkenwel,13,,St Magdalen Bermond.,15,,Redriff Parish,3,
St Kath. neer the Tower,5,,St Mary Newington,4,,Stepney Parish,36,
Buried in the 12 out Parishes in Middlesex and Surry 127 Plague 0,,,,,,,,
St Clement Danes,13,,St Martins in the fields,26,,St Margaret Westminst.,20,
St Paul Covent Garden,5,,St Mary Savoy,2,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 66 Plague 0,,,,,,,,
