0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plag.
St ALban Woodstreet,16,12,St George Botolphlane,,,St Martin Ludgate,9,6
Alhallows Barking,25,21,St Gregory by St Pauls,32,25,St Martin Orgars,10,9
Alhallows Breadstreet,2,,St Hellen,7,6,St Martin Outwitch,5,4
Alhallows Great,21,10,St James Dukes place,9,6,St Martin Vintrey,23,21
Alhallows Honylane,1,1,St James Garlickhithe,6,4,St Matthew Fridaystreet,1,1
Alhallows Lesse,11,9,St John Baptist,6,5,St Maudlin Milkstreet,8,7
Alhallows Lumbardstreet,8,7,St John Evangelist,,,St Maudlin Oldfishstreet,6,5
Alhallows Stayning,7,5,St John Zachary,1,1,St Michael Bâ€¢â€¢siâ€¢haw,19,18
Alhallows the Wall,44,40,St Katharine Coleman,9,5,St Michael Coâ€¢â€¢hil,3,1
St Alphage,38,22,St Katharine Crechurch,8,5,St Michael Crookedlane,6,3
St Andrew Hubbard,1,,St Lawrence Jewry,12,8,St Michael Queenhithe,18,11
St Andrew Undershaft,18,14,St Lawrence Pountney,18,9,St Michael Quern,,
St Andrew Wardrobe,35,29,St Leonard Eastcheap,,,St Michael Royal,14,11
St Ann Aldersgate,21,13,St Leonard Fosterlane,34,30,St Michael Woodstreet,8,6
St Ann Blackfryers,41,31,St Magnus Parish,4,4,St Mildred Breadstreet,2,2
St Antholins Parish,4,2,St Margaret Lothbury,1,,St Mildred Poultrey,4,4
St Austins Parish,3,3,St Margaret Moses,3,3,St Nicholas Acons,1,1
St Bartholomew Exchange,4,3,St Margaret Newfishstre.,2,1,St Nicholas Coleabby,5,3
St Bennet Fynck,2,2,St Margaret Pattons,1,,St Nicholas Olaves,6,6
St Bennet Gracechurch,1,1,St Mary Abchurch,5,4,St Olave Hartstreet,9,6
St Bennet Paulswharf,41,29,St Mary Aldermanbury,11,7,St Olave Jewry,8,4
St Bennet Sherehog,,,St Mary Aldermary,8,6,St Olave Silverstreet,23,17
St Botolph Billingsgate,2,2,St Mary le Bow,6,4,St Pancras Soperlane,2,2
Christs Church,43,37,St Mary Bothaw,5,5,St Peter Cheap,1,
St Christophers,,,St Mary Colechurch,1,,St Peter Cornhil,4,1
St Clement Eastcheap,1,1,St Mary Hill,2,1,St Peter Paulswharf,10,7
St Dionis Backchurch,3,2,St Mary Mounthaw,5,3,St Peter Poor,1,1
St Dunstan East,9,5,St Mary Sommerset,22,18,St Steven Colemanstreet,36,29
St Edmund Lumbardstr.,2,1,St Mary Stayning,5,4,St Steven Walbrook,1,
St Ethelborough,23,18,St Mary Woolchurch,1,,St Swithin,4,2
St Faith,1,,St Mary Woolnoth,2,1,St Thomas Apostles,12,10
St Foster,14,13,St Martin Iremongerlane,2,,Trinity Parish,4,3
St Gabriel Fenchurch,,,,,,,,
Ch istned in the 97 Parishes within the Walls 29 Buried 933 Plague 700,,,,,,,,
St Andrew Holborn,399,380,St Botolph Aldgate,374,46,Saviours Southwark,319,261
St Bartholomew Great,72,65,St Botolph Bishopsgate,316,280,S. Sepulchres Parish,447,336
St Bartholomew Lesse,12,8,St Dunstan West,53,42,St Thomas Southwark,27,22
St Bridget,181,152,St George Southwark,147,120,Trinity Minories,5,4
Bridewel Precinct,12,9,St Giles Cripplegate,842,602,At the Pesthouse,9,9
St Botolph Aldersgate,91,80,St Olave Southwark,321,209,,,
"Christned in the 16 Parishes wâ€¢thout the Walls 61 Buried, and at the Pesthouse 3637 Plague 2928",,,,,,,,
St Giles in the fields,170,146,Lambeth Parish,25,17,St Mary Islington,69,66
Hackney Parish,10,7,St Leonard Shoreditch,280,238,St Mary Whitechappel,496,462
St James Clerkenwel,142,122,St Magdalen Bermondsey,108,78,Rothorith Parish,7,6
St Kath. near the Toâ€¢â€¢â€¢,87,71,St Mary Newington,121,104,Stepney Parish,530,442
Châ€¢istned â€¢n â€¢he 12 out â€¢a â€¢hes in Middlesex and Surrey 58 Buried 2045 Plague 1759,,,,,,,,
St Clement Danes,110,82,St Martin in the fields,387,287,St Margaret Westminster,345,309
St Paul Covent Garden,24,21,St Mary Savoy,25,16,Whereof at the Pesthouse,,8
Christned in the 5 Parishes in the City and Liberties of Westminster 21 Buried 891 Plague 715,,,,,,,,
