0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur,Plag.
St ALban Woodstreet,2,1,St George Botolphlane,,,St Martin Ludgate,1,1
Alhallows Barking,2,,St Gregory by St Pauls,12,3,St Martin Orgars,,
Alhallows Breadstreet,,,St Hellen,2,2,St Martin Outwitch,2,1
Alhallows Great,6,2,St James Dukes place,,,St Martin Vintrey,6,5
Alhallows Honylane,,,St James Garlickhithe,2,,St Matthew Fridaystreet,,
Alhallows Lesse,2,2,St John Baptist,1,,St Maudlin Milkstreet,1,
Alhallows Lumbardstreeâ€¢,2,,St John Evangelist,,,St Maudlin Oldfishstreet,1,1
Alhallows Stayning,1,1,St John Zachary,2,2,St Michael Bassishaw,24,22
Alhallows the Wall,8,5,St Katharine Coleman,2,,St Michael Cornhil,1,
St Alphage,4,,St Katharine Crechurch,1,,St Michael Crookedlane,,
St Andrew Hubbard,4,3,St Lawrence Jewry,1,,St Michael Queenhithe,2,2
St Andrew Undershaft,6,4,St Lawrence Pountney,,,St Michael Quern,1,
St Andrew Wardrobe,6,2,St Leonard Eastcheap,2,,St Michael Royal,,
St Ann Aldersgate,,,St Leonard Fosterlane,2,1,St Michael Woodstreet,1,
St Ann Blackfryers,19,5,St Magnus Parish,3,1,St Mildred Breadstreet,,
St Antholins Parish,,,St Margaret Lothbury,1,,St Mildred Poultrey,2,2
St Austins Parish,1,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Exchange,,,St Margaret Newfishstre.,2,,St Nicholas Coleabby,1,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,,
St Bennet Gracechurch,,,St Mary Abchurch,,,St Olave Hartstreet,4,1
St Bennet Paulswharf,10,2,St Mary Aldermanbury,5,1,St Olave Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,1,1,St Olave Silverstreet,6,
St Botolph Billingsgate,,,St Maâ€¢â€¢ le Bow,,,St Pancras Soperlane,,
Christ Church,16,12,St Mary Bothaw,,,St Peter Cheap,,
St Christophers,1,1,St Mary Colechurch,,,St Peter Cornhil,4,3
St Clement Eastcheap,1,1,St Mary Hill,,,St Peter Paulswharf,1,
St Dionis Backchurch,,,St Mary Mounthaw,1,1,St Peter Poor,2,2
St Dunstan East,1,,St Mary Sommerset,1,,St Steven Colemanstreet,7,4
St Edmund Lumbardstr.,,,St Mary Stayning,1,,St Steven Walbrook,,
St Ethelborough,17,14,St Mary Woolchurch,,,St Swithin,9,7
St Faith,,,St Mary Woolnoth,1,,St Thomas Apostles,9,7
St Foster,3,3,St Martin Iremongerlane,1,,Trinity Parish,,
St Gabriel Fenchurch,,,,,,,,
Buried in thâ€¢ 97 Parishes within the Walls 241 Plague 128,,,,,,,,
St Andrew Holborn,163,142,St Botolph Aldgate,57,34,Saviours Southwark,30,15
St Bartholomew Great,15,7,St Botolph Bishopsgate,105,77,S Sepulchres Parish,207,141
St Bartholomew Lesse,2,,St Dunstan West,17,11,St Thomas Southwark,8,6
St Bridget,59,39,St George Southwark,28,20,Trinity Minories,1,1
Bridewel Precinct,7,4,St Giles Cripplegate,421,208,At the Pesthouse,9,8
St Botolph Aldersgate,35,17,St Olave Southwark,46,25,,,
"Buriâ€¢d n the 16 Parishes without the Walls, and at the Pesthouse 1210 Plague 755",,,,,,,,
St Giles in the fields,370,323,Lambeth Parish,3,2,St Mary Islington,12,7
Hackney Parish,7,5,St Leonard Shoreditch,84,50,St Mary Whitechappel,84,48
St James Clerkenwel,143,121,St Magdalen Bermondsey,11,2,Rothorith Parish,6,4
St Kath. near the Tower,11,4,St Mary Newington,11,4,Stepney Parish,110,58
Buried in the 12 out Parishes in Middlesex and Surrey 857 Plague 628,,,,,,,,
St Clement Danes,62,45,St Martin in the fields,270,176,St Margaret Westminster,120,98
St Paul Covent Garden,13,5,St Mary Savoy,12,8,Whereâ€¢â€¢ at the Pesthouse,,4
Buried in the 5 Parishes in the City and Liberties of Westminster 477 Plague 332,,,,,,,,
