0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plag.
St ALban Woodstreet,2,1,St George Botolphlane,,,St Martin Ludgate,2,
Alhallows Barking,8,4,St Gregory by St Pauls,3,1,St Martin Orgars,,
Alhallows Breadstreet,,,St Hellen,1,1,St Martin Outwitch,,
Alhallows Great,7,5,St James Dukes place,2,2,St Martin Vintrey,4,4
Alhallows Honylane,,,St James Garlickhithe,3,2,St Matthew Fridaystreet,,
Alhallows Lesse,2,2,St John Baptist,4,3,St Maudlin Milkstreet,,
Alhallows Lumbardstreet,,,St John Evangelist,,,St Maudlin Oldfishstreet,1,1
Alhallows Staining,1,,St John Zachary,,,St Michael Bassishaw,1,
Alhallows the Wall,3,2,St Katharine Coleman,1,1,St Michael Cornhil,1,
St Alphage,,,St Katharine Crechurch,5,4,St Michael Crookedlane,4,2
St Andrew Hubbard,,,St Lawrence Jewry,,,St Michael Queenhithe,,
St Andrew Undershaft,1,1,St Lawrence Pountney,1,1,St Michael Quern,,
St Andrew Wardrobe,2,1,St Leonard Eastcheap,,,St Michael Royal,1,1
St Ann Aldersgate,1,,St Leonard Fosterlane,2,1,St Michael Woodstreet,1,1
St Ann Blackfryers,6,4,St Magnus Parish,1,1,St Mildred Breadstreet,1,
St Antholins Parish,1,1,St Margaret Lothbury,,,St Mildred Poultrey,,
St Austins Parish,,,St Margaret Moses,1,1,St Nicholas Acons,,
St Bartholomew Exchange,2,2,St Margaret Newfishstreet,,,St Nicholas Coleabby,,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,,
St Bennet Gracechurch,2,2,St Mary Abchurch,,,St Olave Hartstreet,3,
St Bennet Paulswharf,1,,St Mary Aldermanbury,,,St Olave Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,4,3,St Olave Silverstreet,3,1
St Botolph Billingsgate,1,,St Mary le Bow,,,St Pancras Soperlane,1,1
Christs Church,12,5,St Mary Bothaw,1,,St Peter Cheap,,
St Christophers,,,St Mary Colechurch,,,St Peter Cornhil,3,2
St Clement Eastcheap,1,1,St Mary Hill,1,,St Peter Paulswharf,,
St Dionis Backchurch,3,,St Mary Mounthaw,,,St Peter Poor,2,1
St Dunstan East,8,6,St Mary Sommerset,5,3,St Steven Colemanstreet,4,4
St Edmund Lumbardstr.,,,St Mary Stayning,,,St Steven Walbrook,,
St Ethelborough,1,1,St Mary Woolchurch,,,St Swithin,1,
St Faith,1,1,St Mary Woolnoth,1,,St Thomas Apostle,,
St Foster,1,1,St Martin Iremongerlane,,,Trinity Parish,,
St Gabriel Fenchurch,,,,,,,,
Christned in the 97 Parishes within the Walls 31 Buried 136 Plague 82,,,,,,,,
St Andrew Holborn,15,10,St Botolph Aldgate,22,8,Saviours Southwark,28,22
St Bartholomew Great,2,2,St Botolph Bishopsgate,8,5,S. Sepulchres Parish,16,3
St Bartholomew Lesse,1,1,St Dunstan West,8,5,St Thomas Southwark,,
St Bridget,11,2,St George Southwark,3,2,Trinity Minories,2,
Bridewel Precinct,2,1,St Giles Cripplegate,10,2,At the Pesthouse,2,1
St Botolph Aldersgate,,,St Olave Southwark,26,18,,,
"Christned in the 16 Parishes without the Walls 35 Buried, and at the Pesthouse156 Plague 82",,,,,,,,
St Giles in the fields,13,4,Lambeth Parish,10,6,St Mary Islington,7,4
Hackney Parish,4,3,St Leonard Shoreditch,6,2,St Mary Whitechappel,11,4
St James Clerkenwel,9,3,St Magdalen Bermondsey,14,8,Rothorith Parish,9,8
St Kath. near the Tower,7,5,St Mary Newington,5,3,Stepney Parish,83,75
Christned in the 12 out Parishes in Middlesex and Surry 27 Buried 178 Plague 125,,,,,,,,
St Clement Danes,11,4,St Martin in the fields,25,13,St Margaret Westminster,31,22
St Paul Covent Garden,4,2,St Mary Savoy,3,3,Whereof at the Pesthouse,,1
Christned in the 5 Parishes in the City and Liberties of Westminster 19 Buried 74 Plague 44,,,,,,,,
