0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plaâ€¢.
St ALban Woodstreet,23,19,St George Botolphlane,5,3,St Martin Ludgate,21,11
Alhallows Barking,4,32,St Gregory by St Pauls,32,23,St Martin Orgars,9,7
Alhallows Breadstreet,4,3,St Hellen,8,8,St Martin Outwitch,8,3
Alhallows Great,59,53,St James Dukes place,29,26,St Martin Vintrey,64,61
Alhallows Honylane,1,,St James Garlickhithe,13,11,St Matthew Fridaystreet,1,1
Alhallows Lesse,29,26,St John Baptist,7,6,St Maudlin Milkstreet,5,3
Alhallows Lumbardstreet,8,7,St John Evangelist,,,St Maudlin Oldfishstreet,16,11
Alhallows Stayning,16,10,St John Zachary,3,2,St Michael Bassishaw,17,12
Alhallows the Wall,41,30,St Katharine Coleman,44,36,St Michael Cornhil,14,11
St Alphage,25,13,St Katharine Crechurch,35,31,St Michael Crookedlane,10,10
St Andrew Hubbard,6,5,St Lawrence Jewry,8,6,St Michael Queenhithe,11,6
St Andrew Undershaft,25,22,St Lawrence Pountney,22,17,St Michael Quern,4,3
St Andrew Wardrobe,63,54,St Leonard Eastcheap,5,4,St Michael Royal,20,17
St Ann Aldersgate,33,28,St Leonard Fosterlane,34,32,St Michael Woodstreet,6,2
St Ann Blackfryers,79,65,St Magnus Parish,7,6,St Mildred Breadstreet,6,3
St Antholins Parish,6,5,St Margaret Lothbury,8,8,St Mildred Poultrey,4,2
St Austins Parish,2,2,St Margaret Moses,5,5,St Nicholas Acons,8,7
St Bartholomew Exchange,3,3,St Margaret Newfishstre.,17,13,St Nicholas Coleabby,14,13
St Bennet Fynck,1,,St Margaret Pattons,5,3,St Nicholas Olaves,12,9
St Bennet Gracechurch,5,4,St Mary Abchurch,13,9,St Olave Hartstreet,20,18
St Bennet Paulswharf,35,15,St Mary Aldermanbury,20,16,St Olave Jewry,7,5
St Bennet Sherehog,1,,St Mary Aldermary,11,10,St Olave Silverstreet,23,17
St Botolph Billingsgate,4,4,St Mary le Bow,4,2,St Pancras Soperlane,2,2
Christ Church,55,48,St Mary Bothaw,9,8,St Peter Cheap,4,3
St Christophers,6,5,St Mary Colechurch,2,1,St Peter Cornhil,10,6
St Clement Eastcheap,3,3,St Mary Hill,12,8,St Peter Paulswharf,12,12
St Dionis Backchurch,10,3,St Mary Mounthaw,9,9,St Peter Poor,6,6
St Dunstan East,20,10,St Mary Sommerset,36,34,St Steven Colemanstreet,47,40
St Edmund Lumbardstr.,4,4,St Mary Stayning,2,1,St Steven Walbrook,5,5
St Ethelborough,16,6,St Mary Woolchurch,2,2,St Swithin,11,9
St Faith,7,6,St Mary Woolnoth,9,6,St Thomas Apostles,19,17
St Foster,10,9,St Martin Iremongerlane,1,1,Trinity Parish,13,13
St Gabriel Fenchurch,6,3,,,,,,
Châ€¢istnâ€¢d in the 97 Parishes within the Walls 40 Buried 1493 Plague 1189,,,,,,,,
St Andrew Holborn,271,247,St Botolph Aldgate,623,589,Saviours Southwark,427,403
St Bartholomew Great,21,17,St Botolph Bishopsgate,294,256,S Sepulchres Parish,301,214
St Bartholomew Lesse,14,12,St Dunstan West,88,79,St Thomas Southwark,57,52
St Bridget,236,180,St George Southwark,195,176,Trinity Minories,12,10
Bridewel Precinct,32,31,St Giles Cripplegate,456,373,At the Pesthouse,6,6
St Botolph Aldersgate,68,62,St Olave Southwark,530,363,,,
"Christned in the 16 Parishes without the Walls 65 Buried, and at the Pesthouse 3631 Plagueâ€”370",,,,,,,,
St Giles in the fieldâ€¢,140,125,Lambeth Parish,48,43,St Mary Islington,68,66
Hacâ€¢ney Parish,22,18,St Leonard Shoreditch,183,173,St Mary Whitechappel,532,502
St James Clerkenwel,77,67,St Magdalen Bermondsey,207,180,Rothorith Parish,17,13
St Kath. near the Tower,93,66,St Mary Newington,155,152,Stepney Parish,716,686
Christned in the 12 out Parishes in Middlesex and Sâ€¢rrey 42 Buried 2258 Plague 2091,,,,,,,,
St Clement Danes,168,140,St Martin in the fields,286,228,St Margaret Westminster,4â€¢1,399
St Paul Covent Garden,30,29,St Mary Savoy,20,19,Whereof at the Pesthouse,7,
Christned in the 5 Parishes in the City and Liberties of Westminster 29 Buried 915 Plague 815,,,,,,,,
