0,1,2,3,4,5,6,7,8
,Bur,Pl.,,Bur,Pl.,,Bur,Pl
St ALbans Woodstreet,,,St George Botolphlant,,,St Martins Ludgate,,
Alhallows Barking,1,,St Gregories by St Pauls,3,,St Martins Orgars,,
Alhallows Breadstreet,2,,St Hellins,,,St Martins Outwitch,,
Alhallows Great,3,,St James Dukes place,2,,St Martins Vintrey,2,
Alhallows Honylane,,,St James Garlickhithe,,,St Mathew Fridaystreet,,
Alhallows Lesse,1,,St John Baptist,2,,St Maudlins Milkstreet,,
Alhallows Lumbardstr,,,St John Evangelist,,,St Maudlins Oldfishst.,,
Alhallows Stayning,1,,St John Zachary,,,St Michael Bassishaw,,
Alhallows the Wall,3,,St Katharine Coleman,2,,St Michael Cornhil,,
St Alphage,,,St Katharine crechurch,3,,St Michael Crookedia.,2,
St Andrew Hubbard,,,St Lawrence Jewry,2,,St Michael Queenhithe,,
St Andrew Undershaft,,,St Lawrence Pountney,2,,St Michael Quern,,
St Andrew Wardrobe,3,,St Leonard Eastcheap,,,St Michael Royall,,
St Ann Aldersgate,,,St Leonard Fosterlane,3,,St Michael Woodstreet,,
St Ann Blackfryers,3,,St Magnus Parish,1,,St Mildred Breadstreet,,
St Antholins Parish,,,St Margaret Lothbury,,,St Mildred Poultrey,1,
St Austins Parish,1,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Exch.,,,St Margaret Newfishst,1,,St Nicholas Colâ€¢abby,,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,,
St Bennet Gracechurch,,,St Mary Abchurch,,,St Olaves Hartstreet,,
St Bennet Paulswharf,4,,St Mary Aldermanbury,1,,St Olaves Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,,,St Olaves Silverstreet,,
St Botolph Billingsgate,,,St Mary le Bow,,,St Pancras Soperlane,,
Christs Church,4,,St Mary Bothaw,,,St Peters Cheap,,
St Christophers,,,St Mary Colechurch,,,St Peters Cornhil,1,
St Clement Eastcheap,,,St Mary Hill,,,St Peters Paulswharf,1,
St Dionis Backchurch,,,St Mary Mounthaw,,,St Peters Poor,,
St Dunstans East,4,,St Mary Sommerset,3,,St Stevens Colemanstr.,2,
St Edm. Lumbardstreet,,,St Mary Staynings,,,St Stevens Walbrook,,
St Ethelbourgh,,,St Mary Woolchurch,,,St Swithins,,
St Faiths,,,St Mary Wolnoth,2,,St Thomas Apostle,2,
St Fosters,1,,St Martins Iremongerl.,,,Trinity Parish,,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 69 Plague 0,,,,,,,,
St Andrews Holborn,19,1,St Botolph Aldgate,10,,St Saviours Southwark,6,
St Bartholomew Great,,,St Botolph Bishopsgate,10,,St Sepulchres Parish,32,5
St Bartholomew Lesse,,,St Dunstans West,8,2,St Thomas Southwark,,
St Brides Parish,5,,St George Southwark,3,,Trinity Minories,,
Bridewel Precinct,,,St Giles Cripplegate,28,2,At the Pesthouse,,
Sâ€¢ Botolph Aldersgate,1,,St Olaves Southwark,13,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 135 Plague 10",,,,,,,,
St Giles in the fields,74,31,Lambeth Parish,4,,St Mary Iflington,1,
â€¢ackney Parish,,,St Leonard Shoreditch,,,St Mary Whitechappel,15,1
S James Clerkenwel,2,,St Magdalen Bermond.,7,,Redriff Parish,1,
S Kath. neer the Tower,3,,St Mary Newington,3,,Steâ€¢ney Parish,28,
Buried in the 12 out Parishes in Middlesex and Surry 138 Plague 32,,,,,,,,
St Clement Danes,15,,St Martins in the fields,22,1,St Margaret Westminst.,23,
St Paul Covent Garden,2,,St Mary Savoy,1,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 63 Plague 1,,,,,,,,
