0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plag.
St ALban Woodstreet,8,5,St George Botolphlane,,,St Martin Ludgate,5,4
Alhallows Barking,10,7,St Gregory by St Pauls,15,11,St Martin Orgars,3,
Alhallows Breadstreet,2,1,St Hellen,11,10,St Martin Outwitch,1,1
Alhallows Great,8,5,St James Dukes place,9,6,St Martin Vintrey,10,7
Alhallows Honylane,1,1,St James Garlickhithe,3,3,St Matthew Fridaystreet,,
Alhallows Lesse,2,,St John Baptist,1,1,St Maudlin Milkstreet,,
Alhallows Lumbardstreet,5,4,St John Evangelist,,,St Maudlin Oldfishstreet,3,1
Alhallows Staining,5,2,St John Zachary,2,1,St Michael Bassishaw,11,7
Alhallows the Wall,22,18,St Katharine Coleman,,,St Michael Cornhil,,
St Alphage,16,9,St Katharine Crechurch,3,2,St Michael Crookedlane,2,
St Andrew Hubbard,,,St Lawrence Jewry,7,3,St Michael Queenhithe,8,
St Andrew Undershaft,13,11,St Lawrence Pountney,6,3,St Michael Quern,1,
St Andrew Wardrobe,24,16,St Leonard Eastcheap,,,St Michael Royal,7,5
St Ann Aldersgate,15,6,St Leonard Fosterlane,13,9,St Michael Woodstreet,12,4
St Ann Blackfryers,11,10,St Magnus Parish,8,4,St Mildred Breadstreet,,
St Antholins Parish,1,1,St Margaret Lothbury,3,2,St Mildred Poultrey,1,1
St Austins Parish,2,1,St Margaret Moses,1,1,St Nicholas Acons,,
St Bartholomew Exchange,1,1,St Margaret Newfishstreet,,,St Nicholas Coleabby,7,5
St Bennet Fynck,1,,St Margaret Pattons,,,St Nicholas Olaves,2,
St Bennet Gracechurch,3,3,St Mary Abchurch,1,,St Olave Hartstreet,7,6
St Bennet Paulswharf,13,7,St Mary Aldermanbury,9,2,St Olave Jewry,1,1
St Bennet Sherehog,,,St Mary Aldermary,2,1,St Olave Silverstreet,21,12
St Botolph Billingsgate,1,,St Mary le Bow,6,3,St Pancras Soperlane,,
Christs Church,31,20,St Mary Bothaw,,,St Peter Cheap,1,
St Christophers,4,2,St Mary Colechurch,1,1,St Peter Cornhil,5,4
St Clement Eastcheap,1,,St Mary Hill,1,,St Peter Paulswharf,1,1
St Dionis Backchurch,2,1,St Mary Mounthaw,4,2,St Peter Poor,2,1
St Dunstan East,3,1,St Mary Sommerset,12,10,St Steven Colemanstreet,14,10
St Edmund Lumbardstr.,1,,St Mary Stayning,2,1,St Steven Walbrook,,
St Ethelborough,17,8,St Mary Woolchurch,2,,St Swithin,3,2
St Faith,,,St Mary Woolnoth,1,1,St Thomas Apostle,9,6
St Foster,10,8,St Martin Iremongerlane,,,Trinity Parish,2,1
St Gabriel Fenchurch,2,,,,,,,
Christned in the 97 Parishes within the Walls 38 Buried 496 Plague 304,,,,,,,,
St Andrew Holborn,287,272,St Botolph Aldgate,207,173,Saviours Southwark,132,100
St Bartholomew Great,64,48,St Botolph Bishopsgate,259,196,S. Sepulchres Parish,365,241
St Bartholomew Lesse,9,8,St Dunstan West,35,25,St Thomas Southwark,5,4
St Bridget,103,90,St George Southwark,99,71,Trinity Minories,1,
Bridewel Precinct,4,2,St Giles Cripplegate,886,521,At the Pesthouse,12,12
St Botolph Aldersgate,61,47,St Olave Southwark,218,114,,,
"Christned in the 16 Parishes without the Walls 62 Buried, and at the Pesthouse 2747 Plague 1924",,,,,,,,
St Giles in the fields,277,242,Lambeth Parish,18,10,St Mary Islington,42,36
Hackney Parish,5,4,St Leonard Shoreditch,207,163,St Mary Whitechappel,285,240
St James Clerkenwel,155,145,St Magdalen Bermondsey,44,24,Rothorith Parish,7,3
St Kath. near the Tower,24,18,St Mary Newington,47,37,Stepney Parish,293,197
Christned in the 12 out Parishes in Middlesex and Surry 45 Buried 1404 Plague 1119,,,,,,,,
St Clement Danes,74,57,St Martin in the fields,301,229,St Margaret Westminster,269,228
St Paul Covent Garden,13,7,St Mary Savoy,15,12,Whereof at the Pesthouse,,12
Christned in the 5 Parishes in the City and Liberties of Westminster 21 Buried 672 Plague 533,,,,,,,,
