0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur,Plaâ€¢
St ALban Woodstreet,10,5,St George Botolphlane,2,,St Martin Ludgate,27,20
Alhallows Barking,52,41,St Gregory by St Pauls,31,26,St Martin Orgars,8,3
Alhallows Breadstreet,3,3,St Hellen,4,3,St Martin Outwitch,5,5
Alhallows Greaâ€¢,64,59,St James Dukes place,24,21,St Martin Vintrey,38,36
Alhâ€¢llows Honylane,1,1,St James Garlickhithe,14,â€¢0,St Matthew Fridaystreet,1,
Alhallows Lesse,25,24,St John Baptist,10,7,St Maudlin Milkstreet,2,1
Alhallows Lumbardstreet,11,10,St John Evangelist,,,St Maudlin Oldfishstreet,10,8
Alhallows Stayning,16,11,St John Zachary,9,7,St Michael Bassishaw,18,16
Alhallows the Wall,41,35,St Katharine Coleman,36,35,St Michael Cornhil,7,5
St Alphage,11,3,St Katharine Crechurch,30,20,St Michael Crookedlanâ€¢,15,13
St Andrew Hubbard,3,,St Lawrence Jewry,7,5,St Michael Queenhithe,12,10
St Andrew Undershaft,26,22,St Lawrence Pountney,17,14,St Michael Quern,4,3
St Andrew Wardrobe,50,37,St Leonard Eastcheap,3,2,St Michael Royal,14,12
St Ann Aldersgate,20,16,St Leonard Fosterlane,30,27,St Michael Woodstreet,9,5
St Ann Blackfryers,39,31,St Magnus Parish,3,1,St Mildred Breadstreet,1,1
St Antholins Parish,8,7,St Margaret Lothbury,6,5,St Mildred Poultrey,4,4
St Austins Parish,5,3,St Margaret Moses,3,3,St Nicholas Acons,7,5
St Bartholomew Exchange,6,6,St Margaret Newfishstre.,7,7,St Nicholas Coleabby,14,14
St Bennet Fynck,2,,St Margaret Pattons,5,4,St Nicholas Olaves,7,4
St Bennet Gracechurch,3,2,St Mary Abchurch,6,4,St Olave Hartstreet,20,19
St Bennet Paulswharf,30,19,St Mary Aldermanbury,19,15,St Olave Jewry,1,1
St Bennet Sherehog,1,,St Mary Aldermary,13,12,St Olave Silverstreet,9,7
St Botolph Billingsgate,3,2,St Mary le Bow,3,1,St Pancras Soperlane,4,3
Christ Church,49,43,St Mary Bothaw,1,,St Peter Cheap,6,5
St Christophers,6,6,St Mary Colechurch,3,2,St Peter Cornhil,10,10
St Clement Eastcheap,1,1,St Mary Hill,5,4,St Peter Paulswharf,15,11
St Dionis Backchurch,5,2,St Mary Mounthaw,3,3,St Peter Poor,8,6
St Dunstan East,21,17,St Mary Sommerset,30,26,St Steven Colemanstreet,56,51
St Edmund Lumbardstr.,5,3,St Mary Stayning,8,6,St Steven Walbrook,3,2
St Ethelborough,11,7,St Mary Woolchurch,6,6,St Swithin,7,6
St Faith,13,10,St Mary Woolnoth,11,6,St Thomas Apostles,7,5
St Foster,10,9,St Martin Iremongerlanâ€¢,2,2,Trinity Parish,10,9
St Gabriel Fenchurch,7,6,,,,,,
Châ€¢istnâ€¢d in the 97 Parishes within the Walls 38 Buried 1268 Plague 1025,,,,,,,,
St Andrew Holborn,202,184,St Botolph Aldgate,469,433,Saviours Southwark,356,341
St Bartholomew Great,20,16,St Botolph Bishopsgate,186,145,S Sepulchres Parish,193,138
St Bartholomew Lesse,11,11,St Dunstan West,72,58,St Thomas Southwark,39,36
St Bridget,117,91,St George Southwark,153,â€¢37,Trinity Minories,21,18
Bridewel Precinct,26,24,St Giles Cripplegate,277,225,At the Pesthouse,7,7
St Botolph Aldersgate,67,64,St Olave Southwark,472,324,,,
"Christned in the 16 Parishes without the Walls 41 Buried, and at the Pesthouse 2688 Plague 2252",,,,,,,,
St Giles in the fields,119,107,Lambeth Parish,46,40,St Mary Islington,44,41
Hackney Parish,8,6,St Leonard Shoreditch,146,138,St Mary Whitechappel,346,320
St James Clerkenwel,76,64,St Magdalen Bermondsey,201,174,Rothorith Parish,20,18
St Kath. near the Tower,78,62,St Mary Newington,94,94,Stepney Parish,616,579
Christned in the 12 out Pariâ€¢hes iâ€¢ Middlesex and Surrey 44 Buried 1794 Pâ€¢â€¢gue 1643,,,,,,,,
St Clement Danes,152,128,St Martin in the fields,219,171,St Margaret Westmins er,300,283
St Paul Covent Garden,19,18,St Mary Savoy,20,13,Whereof at the Pesthouse,11,
Christned in the 5 Parishes in the City and Liberties of Westminsteâ€¢ 23 Buried 710 Plague 613,,,,,,,,
