0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plag.
St ALban Woodstreet,3,1,St George Botolphlane,,,St Martin Ludgate,1,
St Alhallows Barking,1,,St Gregory by St Pauls,3,,St Martin Orgars,,
Alhallows Breadstreet,,,St Hellen,,,St Martin Outwitch,,
Alhallows Great,3,,St James Dukes place,2,,St Martin Vintrey,1,
Alhallows Honylane,,,St James Garlickhithe,1,,St Matthew Fridaystreet,,
Alhallows Lesse,,,St John Baptist,,,St Maudlin Milkstreet,1,
Alhallows Lumbardstreet,,,St John Evangelist,1,,St Maudlin Oldfishstreet,,
Alhallows Staining,1,,St John Zachary,,,St Michael Bassishaw,2,
Alhallows the Wall,4,,St Katharine Coleman,,,St Michael Cornhil,,
St Alphage,,,St Katharine Crechurch,,,St Michael Crookedlane,2,2
St Andrew Hubbard,,,St Lawrence Jewry,,,St Michael Queenhithe,,
St Andrew Undershaft,1,,St Lawrence Pountney,1,,St Michael Quern,,
St Andrew Wardrobe,2,,St Leonard Eastcheap,,,St Michael Royal,,
St Ann Aldersgate,1,,St Leonard Fosterlane,1,,St Michael Woodstreet,2,
St Ann Blackfryers,4,,St Magnus Parish,1,,St Mildred Breadstreet,,
St Antholins Parish,,,St Margaret Lothbury,,,St Mildred Poultrey,,
St Austins Parish,,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Exchange,,,St Margaret Newfishstreet,,,St Nicholas Coleabby,,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,,
St Bennet Gracechurch,,,St Mary Abchurch,1,,St Olave Hartstreet,2,
St Bennet Paulswharf,3,,St Mary Aldermanbury,,,St Olave Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,1,,St Olave Silverstreet,1,
St Botolph Billingsgate,1,,St Mary le Bow,,,St Pancras Soperlane,,
Christs Church,1,,St Mary Bothaw,,,St Peter Cheap,1,
St Christophers,,,St Mary Colechurch,,,St Peter Cornhil,,
St Clement Eastcheap,,,St Mary Hill,,,St Peter Paulswharf,1,
St Dionis Backchurch,1,,St Mary Mounthaw,,,St Peter Poor,,
St Dunstan East,2,,St Mary Sommerset,3,,St Steven Colemanstreet,3,
St Edmund Lumbardstr.,1,,St Mary Stayning,,,St Steven Walbrook,,
St Ethelborough,,,St Mary Woolchurch,,,St Swithin,,
St Faith,,,St Mary Woolnoth,2,,St Thomas Apostle,1,
St Foster,,,St Martin Iremongerlane,,,Trinity Parish,,
St Gabriel Fenchurch,2,1,,,,,,
Buried in the 97 Parishes within the Walls 67 Plague 4,,,,,,,,
St Andrew Holborn,20,7,St Botolph Aldgate,19,,Saviours Southwark,15,
St Bartholomew Great,2,,St Botolph Bishopsgate,15,2,S. Sepulchres Parish,25,10
St Bartholomew Lesse,,,St Dunstan West,1,,St Thomas Southwark,2,
St Bridget,14,3,St George Southwark,7,,Trinity Minories,,
Bridewel Precinct,,,St Giles Cripplegate,37,1,At the Pesthouse,5,4
St Botolph Aldersgate,3,,St Olave Southwark,14,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 179 Plague 27",,,,,,,,
St Giles in the fieldâ€¢,120,8,Lambeth Parish,6,,St Mary Iâ€¢lington,,
Hâ€¢câ€¢ney Parish,2,,St Leonard Shoreditch,21,,St Mary Whitechappel,23,3
St James Clerkenwel,13,,St Magdalen Bermondsey,6,,Rothorith Parish,3,
St Kath. near the Tower,9,,St Mary Newington,3,,Stepney Parish,32,
Buried in the 12 out Parishes in Middlesex and Surry 238 Plague 71,,,,,,,,
St Clement Danes,14,8,St Martin in the fields,34,2,St Margaret Westminster,20,
St Paul Covent Garden,2,,St Mary Savoy,4,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 74 Plague 10,,,,,,,,
