0,1,2,3,4,5,6,7,8
,Bur,Pl.,,Bur,Pl.,,Bur,Pl.
St ALbans Woodstreet,2,,St George Botolphlane,1,,St Martins Ludgate,,
Alhallows Barking,3,,St Gregories by St Pauls,,,St Martins Orgars,,
Alhallows Breadstreet,,,St Hellins,,,St Martins Outwitch,,
Alhallows Great,2,,St James Dukes place,1,,St Martins Vintrey,,
Alhallows Honylane,,,St James Garlickhithe,2,,St Mathew Fridaystreet,,
Alhallows Lesse,,,St John Baptist,,,St Maudlins Milkstreet,,
Alhallows Lumbardstr,1,,St John Evangelist,,,St Maudlins Oldfishst.,,
Alhallows Stayning,,,St John Zachary,1,,St Michael Bassiâ€¢haw,3,
Alhallows the Wall,2,,St Katharine Coleman,2,,St Michael Cornhil,,
St Alphage,2,,St Katharine crechurch,2,,St Michael Crookedla.,,
St Andrew Hubbard,1,,St Lawrence Jewry,1,,St Michael Queenhithe,,
St Andrew Undershaft,,,St Lawrence Pountney,1,,St Michael Quern,,
St Andrew Wardrobe,,,St Leonard Eastcheap,,,St Michael Royall,,
St Ann Aldersgate,,,St Leonard Fosterlane,,,St Michael Woodstreet,,
St Ann Blackfryers,3,,St Magnus Parish,,,St Mildred Breadstreet,1,
St Antholins Parish,,,St Margaret Lothbury,,,St Mildred Poultrey,,
St Austins Parish,1,,St Margaret Moses,,,St Nicholas Acons,1,
St Bartholomew Exch.,,,St Margaret Newfishst,1,,St Nicholas Coleabby,1,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,,
St Bennet Gracechurch,,,St Mary Abchurch,,,St Olaves Hartstreet,,
St Bennet Paulswharf,,,St Mary Aldermanbury,1,,St Olaves Jewry,1,
St Bennet Sherehog,,,St Mary Aldermary,,,St Olaves Silverstreet,2,
St Botolph Billingsgate,1,,St Mary le Bow,,,St Pancras Soperlant,,
Christs Church,1,,St Mary Bothaw,3,,St Peters Cheap,,
St Christophers,,,St Mary Colechurch,,,St Peters Cornhil,,
St Clement Eastcheap,,,St Mary Hill,,,St Peters Paulswharf,1,
St Dionis Backchurch,1,,St Mary Mounthaw,,,St Peters Poor,,
St Dunstans East,1,,St Mary Sommerset,4,,St Stevens Colemanstr,2,
St Edm. Lumbardstreet,,,St Mary Staynings,,,St Stevens Walbrook,1,
St Ethelbourgh,,,St Mary Woolchurch,1,,St Swithins,,
St Faiths,1,,St Mary Wolnoth,,,St Thomas Apostle,,
St Fosters,,,St Martins Iremongerl.,,,Trinity Parish,,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 56 Plague 0,,,,,,,,
St Andrews Holborn,18,1,St Botolph Aldgate,11,,St Saviours Southwark,14,
St Bartholomew Great,,,St Botolph Bishopsgate,4,1,St Sepulchres Parish,18,
St Bartholomew Lesse,,,St Dunstans West,5,,St Thomas Southwark,,
St Brides Parish,8,,St George Southwark,2,,Trinity Minories,,
Bridewel Precinct,2,,St Giles Cripplegate,21,,At the Pesthouse,1,1
St Botolph Aldersgate,4,,St Olaves Southwark,19,1,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 127 Plaguâ€¢ 4",,,,,,,,
St Giles in the fields,53,9,Lamâ€¢eth Parish,6,,St Mary Iflington,1,
â€¢ackney Parish,,,St Leonard Shoreditch,9,,St Mary Whitechappel,19,
St James Clerkenwel,9,,St Magdalen Bermond.,9,,Redriff Parish,,
St Kath. neer the Toweâ€¢,2,,St Mary Newington,3,,Stepney Parish,34,
Buried in the 12 out Parishes in Middlesex and Surry 145 Plague 9,,,,,,,,
St Clement Danes,10,4,St Martins in the fields,37,,St Margaret Westminst.,21,
St Paul Covent Garden,4,,St Mary Savoy,,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 72 Plague 4,,,,,,,,
