0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur,Plag.
St ALban Woodstreet,1,1,St George Botolphlane,2,2,St Martin Ludgate,4,2
Alhallows Barking,2,,St Gregory by St Pauls,2,,St Martin Orgars,1,1
Alhallows Breadstreet,,,St Hellen,1,,St Martin Outwitch,,
Alhallows Great,2,2,St James Dukes place,,,St Martin Vintrey,2,
Alhallows Honylane,,,St James Garlickhithe,1,1,St Matthew Fridaystreet,,
Alhallows Lesse,2,2,St John Baptist,,,St Maudlin Milkstreet,,
Alhallows Lumbardstreet,,,St John Evangelist,,,St Maudlin Oldfishstreet,3,3
Alhallows Stayning,,,St John Zachary,,,St Michael Bassishaw,1,
Alhallows the Wall,4,1,St Katharine Coleman,4,,St Michael Cornhil,2,
St Alphage,1,,St Katharine Crechurch,9,5,St Michael Crookedlane,2,2
St Andrew Hubbard,,,St Lawrence Jewry,1,1,St Michael Queenhithe,6,5
St Andrew Undershaft,4,2,St Lawrence Pountney,2,1,St Michael Quern,,
St Andrew Wardrobe,4,2,St Leonard Eastcheap,,,St Michael Royal,1,1
St Ann Aldersgate,3,2,St Leonard Fosterlane,1,,St Michael Woodstreet,,
St Ann Blackfryers,1,1,St Magnus Parish,,,St Mildred Breadstreet,,
St Antholins Parish,,,St Margaret Lothbury,,,St Mildred Poultrey,,
St Austins Parish,,,St Margaret Moses,2,2,St Nicholas Acons,,
St Bartholomew Exchange,,,St Margaret Newfishstre.,1,,St Nicholas Coleabby,,
St Bennet Fynck,,,St Margaret Pattons,1,,St Nicholas Olaves,1,1
St Bennet Gracechurch,2,,St Mary Abchurch,2,1,St Olave Hartstreet,1,
St Bennet Paulswharf,2,,St Mary Aldermanbury,2,,St Olave Jewry,1,1
St Bennet Sherehog,1,1,St Mary Aldermary,,,St Olave Silverstreet,,
St Botolph Billingsgate,2,1,St Mary le Bow,3,2,St Pancras Soperlane,1,
Christ Church,6,2,St Mary Bothaw,1,1,St Peter Cheap,,
St Christophers,,,St Mary Colechurch,,,St Peter Cornhil,2,1
St Clement Eastcheap,2,2,St Mary Hill,1,,St Peter Paulswharf,1,1
St Dionis Backchurch,1,,St Mary Mounthaw,,,St Peter Poor,,
St Dunstan East,6,4,St Mary Sommerset,3,1,St Steven Colemanstreet,,
St Edmund Lumbardstr.,3,2,St Mary Stayning,,,St Steven Walbrook,,
St Ethelborough,,,St Mary Woolchurch,,,St Swithin,1,1
St Faith,2,2,St Mary Woolnoth,,,St Thomas Apostles,2,
St Foster,3,2,St Martin Iremongerlane,,,Trinity Parish,,
St Gabriel Fenchurch,1,1,,,,,,
Christned in the 97 Parishes within the Walls 39 Buried 126 Plague 66,,,,,,,,
St Andrew Holborn,13,4,St Botolph Aldgate,23,11,Saviours Southwark,24,19
St Bartholomew Great,3,,St Botolph Bishopsgate,14,4,S Sepulchres Parish,11,2
St Bartholomew Lesse,1,1,St Dunstan West,4,3,St Thomas Southwark,1,
St Bridget,7,2,St George Southwark,4,2,Trinity Minories,,
Bridewel Precinct,2,2,St Giles Cripplegate,19,7,At the Pesthouse,1,1
St Botolph Aldersgate,9,5,St Olave Southwark,20,12,,,
"Christned in the 16 Parishes without the Walls 48 Buried, and at the Pesthouse 156 Plague 75",,,,,,,,
St Giles in the fields,7,2,Lambeth Parish,23,21,St Mary Islington,4,1
Hackney Parish,4,1,St Leonard Shoreditch,6,4,St Mary Whitechappel,16,7
St James Clerkenwel,5,1,St Magdalen Bermondsey,25,13,Roâ€¢horith Parish,8,5
St Kath. near the Tower,7,4,St Mary Newington,10,3,Stepney Parish,71,44
Christned in the 12 out Parishes in Middlesex and Surrey 39 Buried 187 Plague 106,,,,,,,,
St Clement Danes,10,4,St Martin in the fields,12,6,St Margaret Westminster,24,19
St Paul Covent Garden,4,2,St Mary Savoy,6,3,Whereof at the Pesthouse,,
Christned in the 5 Parishes in the City and Liberties of Westminster 21 Buried 56 Plague 34,,,,,,,,
