0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag,,Bur.,Plag.
St ALban Woodstreet,5,1,St George Botolphlane,,,St Martin Ludgate,2,1
Alhallows Barking,2,,St Gregory by St Pauls,,,St Martin Orgars,,
Alhallows Breadstreet,,,St Hellen,2,2,St Martin Outwitch,1,
Alhallows Great,1,,St James Dukes place,1,,St Martin Vintrey,1,
Alhallows Honylane,,,St James Garlickhithe,1,,St Matthew Fridaystreet,,
Alhallows Lesse,1,,St John Baptist,,,St Maudlin Milkstreet,,
Alhallows Lumbardstreet,,,St John Evangelist,,,St Maudlin Oldfishstreet,,
Alhallows Staining,1,,St John Zachary,,,St Michael Bassishaw,5,4
Alhallows the Wall,4,3,St Katharine Coleman,1,,St Michael Cornhil,,
St Alphage,1,,St Katharine Crechurch,,,St Michael Crookedlane,4,3
St Andrew Hubbard,,,St Lawrence Jewry,,,St Michael Queenhithe,3,
St Andrew Undershaft,3,,St Lawrence Pountney,,,St Michael Quern,1,
St Andrew Wardrobe,1,,St Leonard Eastcheap,,,St Michael Royal,,
St Ann Aldersgate,1,,St Leonard Fosterlane,,,St Michael Woodstreet,,
St Ann Blackfryers,7,6,St Magnus Parish,1,,St Mildred Breadstreet,,
St Antholins Parish,1,,St Margaret Lothbury,,,St Mildred Poultrey,,
St Austins Parish,,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Exchange,1,,St Margaret Newfishstreet,,,St Nicholas Coleabby,,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,,
St Bennet Gracechurch,2,,St Mary Abchurch,1,,St Olave Hartstreet,,
St Bennet Paulswharf,7,,St Mary Aldermanbury,,,St Olave Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,,,St Olave Silverstreet,4,1
St Botolph Billingsgate,,,St Mary le Bow,,,St Pancras Soperlane,,
Christs Church,5,3,St Mary Bothaw,,,St Peter Cheap,,
St Christophers,,,St Mary Colechurch,,,St Peter Cornhil,,
St Clement Eastcheap,,,St Mary Hill,,,St Peter Paulswharf,,
St Dionis Backchurch,1,,St Mary Mounthaw,,,St Peter Poor,1,
St Dunstan East,2,,St Mary Sommerset,2,1,St Steven Colemanstreet,2,1
St Edmund Lumbardstr.,,,St Mary Stayning,,,St Steven Walbrook,,
St Ethelborough,2,,St Mary Woolchurch,,,St Swithin,2,1
St Faith,1,,St Mary Woolnoth,,,St Thomas Apostle,1,1
St Foster,,,St Martin Iremongerlane,,,Trinity Parish,1,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 86 Plague 28,,,,,,,,
St Andrew Holborn,66,40,St Botolph Aldgate,24,4,Saviours Southwark,21,1
St Bartholomew Great,4,â€¢2,St Botolph Bishopsgate,37,20,S. Sepulchres Parish,117,81
St Bartholomew Lesse,,,St Dunstan West,19,9,St Thomas Southwark,7,5
St Bridget,24,14,St George Southwark,13,4,Trinity Minories,,
â€¢ridewel Precinct,1,1,St Giles Cripplegate,103,49,At the Pesthouse,6,6
St Botolph Aldersgate,11,9,St Olave Southwark,20,6,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 473 Plague 25â€¢",,,,,,,,
St Giles in the fields,268,213,Lambeth Parish,4,,St Mary Islington,3,2
â€¢ackney Parish,1,,St Leonard Shoreditch,21,13,St Mary Whitechappel,16,3
St James Clerkenwel,65,50,St Magdalen Bermondsey,14,,Rothoâ€¢ith Parish,7,3
St Kath. near the Tower,5,1,St Mary Newington,4,,Stepney Parish,47,1
Buried in the 12 out Parishes in Middlesex and Surry 455 Plaguâ€¢ 286,,,,,,,,
St Clement Danes,29,15,St Martin in the fields,153,101,St Margaret Westminster,58,34
â€¢t Paul Covent Garden,6,4,St Mary Savoy,8,6,Whereof at the Pesthouse,,3
Buried in the 5 Parishes in the City and Liberties of Westminster 254 Plague 160,,,,,,,,
