0,1,2,3,4,5,6,7,8
,Bur,Pl.,,Bur,Pl.,,Bur,Pâ€¢
St ALbans Woodstreet,,,St George Botolphlant,,,St Martins Ludgate,1,
Alhallows Barking,3,,St Gregories by St Pauls,2,,St Martins Orgars,,
Alhallows Breadstreet,,,St Hellins,,,St Martins Outwitch,,
Alhallows Greaâ€¢,2,,St James Dukes place,1,,St Martins Vintrey,2,
Alhallows Honylane.,,,St James Garlickhithe,1,,St Mathew Fridaystreet,,
Alhallows Lesse,1,,St John Baptist,2,,St Maudlins Milkstreâ€¢t,,
Alhallows Lumbardstr,,,St John Evangelist,,,St Maudlins Oldfishst.,1,
Alhallows Stayning,1,,St John Zachary,4,,St Michael Baâ€¢sishaw,2,
Alhallows the Wall,1,,St Katharine Coleman,1,,St Michael Cornhil,3,
St Alphage,2,,St Katharine crechurch,1,,St Michael Crookedla,1,
St Andrew Hubbard,,,St Lawrence Jewry,,,St Michael Queenhithe,2,
St Andrew Undershaft,,,St Lawrence Pountney,3,,St Michael Quern,1,
St Andrew Wardrobe,2,,St Leonard Eastcheap,,,St Michael Royall,2,
St Ann Aldersgate,1,,St Leonard Fosterlane,,,St Michael Woodstreet,2,
St Ann Blackfryers,2,,St Magnus Parish,,,St Mildred Breadstreet,1,
St Antholins Parish,2,,St Margaret Lothbury,1,,St Mildred Poultrey,,
St Austins Parish,,,St Margaret Moses,,,St Nicholas Acons,1,
St Bartholomew Exch.,,,St Margaret Newsislast,1,,St Nicholas Coloabby,1,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,,
St Bennet Gracechurch,,,St Mary Abchurch,,,St Olaves Hartstreet,3,
St Bennet Paulswharf,,,St Mary Aldermanbury,2,,St Olaves Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,,,St Olaves Silverstreet,1,
St Bâ€¢tolph Billingsgate,,,St Mary le Bow,1,,St Pancras Soperlane,,
Christs Church,6,,St Mary Bothaw,,,St Peters Cheap,1,
St Christophers,,,St Mary Colechurch,,,St Peters Cornhil,1,
St Clement Eastcheap,,,St Mary Hill,1,,St Peters Paulswharf,,
St Dionis Backchurch,,,St Mary Mounthaw,,,St Peters Poor,1,
St Dunstans East,3,,St Mary Sommerset,1,,St Stevens Colemanstr,4,
St Edm. Lumbardstreeâ€¢,,,St Mary Staynings,,,St Stevens Walbrook,,
St Ethelbourgh,,,St Mary Woolchurch,2,,St Swithins,2,
St Faiths,,,St Mary Wolnoth,,,St Thomas Apostle,,
St Fosters,1,,St Martins Iremongeri.,,,Trinity Parish,1,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 85 Plague 0,,,,,,,,
St Andrews Holborn,13,,St Botolph Aldgate,23,,St Saviours Southwark,12,
St Bartholomew Great,4,,St Botolph Bishopsgate,15,,St Sepulchres Parish,23,
St Bartholemew Lesse,2,,St Dunstans West,10,,St Thomas Southwark,1,
St Brides Parish,12,,St George Southwark,5,,Trinity Minories,1,
Bridewel Preccinet,1,,St Giles Cripplegate,32,,At the Pesthouse,,
St Botolph Aldersgate,5,,St Olaves Southwark,21,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 180 Plague 0",,,,,,,,
St Giles in the fields,24,1,Lambeth Parish,7,,St Mary Islington,,
Hackney Parish,,,St Leonard Shoreditch,14,,St Mary Whitechappel,11,
St James Clerkenwel,6,,St Magdalen Bermond,5,,Redriff Parish,,
St Kath. neer the Tower,3,,St Mary Newington,7,,Stepney Parish,44,
Buried in the 12 out Parishes in Middlesex and Surry 121 Plague 1,,,,,,,,
St Clement Danes,9,,St Martins in the fields,33,,St Margaret Westminst.,27,
St Paul Covent Garden,6,,St Mary Savoy,1,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 76 Plague 0,,,,,,,,
