0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag,,Bur.,Plag.
St ALban Woodstreet,4,2,St George Botolphlane,,,St Martin Ludgate,,
Alhallows Barking,4,,St Gregory by St Pauls,6,3,St Martin Orgars,,
Alhallows Breadstreet,,,St Hellen,,,St Martin Outwitch,,
Alhallows Great,2,1,St James Dukes place,1,,St Martin Vintrey,1,1
Alhallows Honylane,,,St James Garlickhithe,1,,St Matthew Fridaystreet,,
Alhallows Lesse,,,St John Baptist,,,St Maudlin Milkstreet,,
Alhallows Lumbardstreet,,,St John Evangelist,,,St Maudlin Oldfishstreet,1,
Alhallows Staining,4,2,St John Zachary,2,1,St Michael Bassishaw,13,10
Alhallows the Wall,7,5,St Katharine Coleman,2,,St Michael Cornhil,1,
St Alphage,1,,St Katharine Crechurch,1,,St Michael Crookedlane,3,3
St Andrew Hubbard,1,1,St Lawrence Jewry,,,St Michael Queenhithe,2,
St Andrew Undershaft,1,1,St Lawrence Pountney,2,,St Michael Quern,,
St Andrew Wardrobe,5,2,St Leonard Eastcheap,,,St Michael Royal,2,
St Ann Aldersgate,2,,St Leonard Fosterlane,2,1,St Michael Woodstreet,1,
St Ann Blackfryers,10,5,St Magnus Parish,,,St Mildred Breadstreet,,
St Antholins Parish,,,St Margaret Lothbury,1,1,St Mildred Poultrey,,
St Austins Parish,1,1,St Margaret Moses,,,St Nicholas Acons,1,
St Bartholomew Exchange,,,St Margaret Newfishstreet,1,,St Nicholas Coleabby,,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,1,
St Bennet Gracechurch,,,St Mary Abchurch,1,,St Olave Hartstreet,4,
St Bennet Paulswharf,6,1,St Mary Aldermanbury,,,St Olave Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,1,,St Olave Silverstreet,5,1
St Botolph Billingsgate,,,St Mary le Bow,,,St Pancras Soperlane,,
Christs Church,12,6,St Mary Bothaw,,,St Peter Cheap,,
St Christophers,1,1,St Mary Colechurch,,,St Peter Cornhil,2,2
St Clement Eastcheap,,,St Mary Hill,,,St Peter Paulswharf,,
St Dionis Backchurch,,,St Mary Mounthaw,,,St Peter Poor,2,1
St Dunstan East,2,,St Mary Sommerset,1,1,St Steven Colemanstreet,6,1
St Edmund Lumbardstr.,,,St Mary Stayning,1,1,St Steven Walbrook,,
St Ethelborough,3,,St Mary Woolchurch,,,St Swithin,1,
St Faith,3,,St Mary Woolnoth,,,St Thomas Apostle,3,1
St Foster,,,St Martin Iremongerlane,,,Trinity Parish,,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 141 Plague 56,,,,,,,,
St Andrew Holborn,117,91,St Botolph Aldgate,35,14,Saviours Southwark,24,1
St Bartholomew Great,13,9,St Botolph Bishopsgate,65,39,S. Sepulchres Parish,150,100
St Bartholomew Lesse,5,,St Dunstan West,4,3,St Thomas Southwark,3,2
St Bridget,31,16,St George Southwark,13,4,Trinity Minories,1,1
Bridewel Precinct,,,St Giles Cripplegate,232,114,At the Pesthouse,8,8
St Botolph Aldersgate,8,5,St Olave Southwark,26,9,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 735 Plague 416",,,,,,,,
St Giles in the fields,268,218,Lambeth Parish,8,,St Mary Islington,17,14
Hackney Parish,2,,St Leonard Shoreditch,64,40,St Mary Whitechappel,42,21
St James Clerkenwel,89,78,St Magdalen Bermondsey,12,,Rothorith Parish,9,7
St Kath. near the Tower,6,2,St Mary Newington,6,4,Stepney Parish,72,33
Buried in the 12 out Parishes in Middlesex and Surry 595 Plague 417,,,,,,,,
St Clement Danes,31,24,St Martin in the fields,171,113,St Margaret Westminster,79,56
St Paul Covent Garden,5,3,St Mary Savoy,4,4,Whereof at the Pesthouse,,3
Buried in the 5 Parishes in the City and Liberties of Westminster 290 Plague 200,,,,,,,,
