0,1,2,3,4,5,6,7,8
,Bur,Pl,,Bur,Pl,,Bur,Pl.
St ALbans Woodstreet,1,,St George Botolphlane,,,St Martins Ludgate,,
Alhallows Barking,2,,St Gregories by St Pauls,3,,St Martins Orgars,,
Alhallows Breadstreet,,,St Hellens,3,,St Martins Outwitch,,
Alhallows Great,1,,St James Dukes place,3,,St Martins Vintrey,,
Alhallows Honylane,,,St James Garlickhithe,,,St Mathew Fridaystreet,2,
Alhallows Lesse,2,,St John Baptist,,,St Maudlins Milkstreet,1,
Alhallows Lumbardstr.,,,St John Evangelist,,,St Maudlins Oldfishstr,,
Alhallows Stayning,,,St John Zachary,,,St Michael Bassishaw,,
Alhallows the Wall,2,,St Katharine Coleman,,,St Michael Cornhil,,
St Alphage,2,,St Katharine crechurch,3,,St Michael Crookedla,1,
St Andrew Hubberd,,,St Lawrence Jewry,,,St Michael Queenhithe,,
St Andrew Undershaft,,,St Lawrence Pountney,,,St Michael Quern,,
St Andrew Wardrobe,1,,St Leonard Eastcheap,,,St Michael Royall,,
St Ann Aldersgate,,,St Leonard Fosterlane,,,St Michael Woodstreet,1,
St Ann Blackfryers,2,,St Magnus Parish,,,St Mildred Breadstreet,,
St Antholins Parish,,,St Margaret Lothbury.,,,St Mildred Poultrey,,
St Austins Parish,1,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Exchâ€¢,3,,St Margaret New fishst,,,St Nicholas Coleabby,1,
St Bennet Fynck,,,St Margaret Patrons,,,St Nicholas Olaves,,
St Bennet Gracechurcâ€¢,1,,St Mary Abchurch,,,St Olaves Hartstreet,1,
St Bennet Paulswharfe,,,St Mary Aldermanbury,,,St Olaves Jewry,,
St Bennet Sherehog,1,,St Mary Aldermary,1,,St Olaves Silverstreet,,
St Botolph Billingsgate,2,,St Mary le Bow,,,St Pancras Soperlane,,
Christ Church,2,,St Mary Bothaw,1,,St Peters Cheap,,
St Christophers,,,St Mary Colechurch,,,St Peters Corâ€¢hil,,
St Clement Eastcheap,1,,St Mary Hill,,,St Peters Paulswharf,,
St Dionis Backchurch,,,St Mary Mounthaw,,,St Peters Poor,,
St Dunstans East,3,,St Mary Sommerset,2,,St Stevens Colemanstr.,1,
St Edm. Lumbardstreet,,,St Mary Staynings,2,,St Stevens Walbrook,,
St Ethelborough,,,St Mary Woolchurch,,,St Swithins,1,
St Faiths,,,St Mary Woolnoth,,,St Thomas Apostles,,
St Fosters,,,St Martins Iremongerl,,,Trinity Parish,,
St Gabriel Fenechurch,1,,,,,,,
Buried in the 97 Parishes within the Walls 55 Plague 0,,,,,,,,
S Andrews Holborne,15,,St Botolph Aldgate,16,,St Saviours Southwark,10,
St Bartholomew Great,,,St Botolph Bishopsgate,9,,St Sepulchres Parish,18,
Sâ€¢ Bartholomew Lesse,1,,St Dunstans West,5,,St Thomas Southwark,2,
St Brides Parish,7,,St George Southwark,,,Trinity Minories,1,
Bridewel Precinct,1,,St Giles Cripplegate,25,,At the Pesthouse,,
St Botolph Aldersgate,3,,St Olaves Southwark,13,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 126 Plague 0",,,,,,,,
Sâ€¢ Giles in the fields,32,1,â€¢ambeth Parish,5,,St Mary Islington,2,
Hackney Parish,3,,St Leonard Shoreditch,8,,St Mary Whitechappe,12,
ã€ˆâ—Šã€‰ James Clerkenwel,4,,St Magdalen Bermond.,9,,Redriff Parish,,
S Kath. neer the Tower,4,,St Mary Newington,4,,Stepney Parish,33,
Buried in the 12 out Parishes in Middlesex and Surry 116 Plague 1,,,,,,,,
St Clement Danes,10,2,St Martins in the fields,26,,St Margaret Westminst,16,
S Paul Covent Garden,3,,St Mary Savoy,1,,â€¢hereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 56 Plague 2,,,,,,,,
