0,1,2,3,4,5,6,7,8
,Bur,Pl,,Bur,Pl,,Bur,Pl.
St ALbans Woodstreeâ€¢,,,St George Botolphlane,,,St Martins Ludgate,2,
Alhallows Barking,2,,St Gregories by St Pauls,5,,St Martin Orgars,,
Alhallows Breadstreet,1,,St Hellens,1,,St Martins Outwitch,2,
Alhallows Great,3,,St James Dukes place,,,St Martins Vintrey,2,
Alhallows Honylane,,,St James Garlickhithe,,,St Mathew Fridaystreet,1,
Alhallows Lesse,1,,St John Baptist,1,,St Maudlins Milkstreet,,
Alhallows Lumbardstr.,,,St John Evangelist,1,,St Maudlins Oldfisâ€¢str,1,
Alhallows Stayning,,,St John Zachary,,,St Michael Bassishaw,2,
Alhallows the Wall,1,,St Katharine Coleman,3,,St Michael Cornhil,,
St Alphage,2,,St Katharine crechurch,4,,St Michael Crookedla.,1,
St Andrew Hubbard,,,St Lawrence Jewry,,,St Michael Queenhithe,,
St Andrew Undershaft,,,St Lawrence Pountney,1,,St Michael Quern,2,
St Andrew Wardrobe,1,,St Leonard Eastcheap,,,St Michael Royall,1,
St Ann Aldersgate,,,St Leonard Fosterlane,1,,St Michael Woodstreet,,
St Ann Blackfryers,5,,St Magnus Parish,,,St Mildred Breadstreet,3,
St Antholins Parish,,,St Margaret Lothbury,4,,St Mildred Poultrey,1,
St Austins Parish,1,,St Margaret Moses,,,St Nicholas Acons,1,
St Bartholomew Excha,,,St Margaret New fishs.,,,St Nicholas Coleabby,1,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,2,
St Bennet Gracechurch,1,,St Mary Abchurch,,,St Olaves Hartstreet,6,
St Bennet Paulswharfe,2,,St Mary Aldermanbury,2,,St Olaves Jewry,2,
St Sherehog,,,St Mary Aldermary,,,St Olaves Silverstreet,1,
St Botolph Billingsgate,1,,St Mary le Bow,,,St Pancras Soperlane,,
Christ Church,2,,St Mary Bothaw,1,,St Peters Cheap,2,
St Christophers,,,St Mary Colechurch,,,St Peters Cornhil,,
St Clement Eastcheap,,,St Mary Hill,1,,St Peters Paulswharf,1,
St Dionis Backchurch,1,,St Mary Mounthaw,1,,St Peters Poor,,
St Dunstans East,3,,St Mary Sommerset,3,,St Stevens Colemanstr.,6,
St Edm. Lumbardstreet,2,,St Mary Staynings,1,,St Stevens Walbrook,1,
St Ethelborough,,,St Mary Woolchurch,2,,St Swithins,,
St Faiths,,,St Mary Woolnoth,1,,St Thomas Apostles,,
St Fostets,,,St Martins Iremongerl,,,Trinity Parish,1,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 104 Plague 0,,,,,,,,
St Andrews Holborne,16,,St Botolph Aldgate,19,,St Saviours Southwark,20,
St Bartholomew Great,1,,St Botolph Bishopsgate,14,,St Sepulchres Parish,24,
St Bartholomew Lesse,2,,St Dunstans West,7,,St Thomas Southwark,,
St Brides Parish,9,,St George Southwark,6,,Trinity Minories,,
Bridewel Precinct,1,,St Giles Cripplegate,32,,At the Pesthouse,,
St Botolph Aldersgate,9,,St Olaves Southwark,24,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 184 Plague 0",,,,,,,,
St Giles in the fields,23,,Lambeth Parish,4,,St Mary Islington,,
Hackney Parish,1,,St Leonard Shoreditch,12,,St Mary Whitechappel,7,
St James Clerkenwel,15,,St Magdalen Bermond.,5,,Redriff Parish,,
St Kath. neer the Tower,2,,St Mary Newington,7,,Stepney Parish,42,
Buried in the 12 out Parishes in Middlesex and Surry 118 Plague 0,,,,,,,,
St Clement Danes,17,,St Martins in the fieldâ€¢,34,,St Margaret Westminst.,15,
S Paul Covent Garden,2,,St Mary Savoy,,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 68 Plague 0,,,,,,,,
