0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur,Plag.
St ALban Woodstreet,2,2,St George Botolphlane,5,4,St Martin Ludgate,3,3
Alhallows Barking,12,10,St Gregory by St Pauls,8,5,St Martin Orgars,1,
Alhallows Breadstreet,1,1,St Hellen,,,St Martin Outwitch,1,
Alhallows Great,7,7,St James Dukes place,3,3,St Martin Vintrey,12,7
Alhallows Hâ€¢â€¢ylane,,,St James Garlickhithe,12,8,St Matthew Fridaystreet,2,
Alhallows Lesse,3,3,St John Baptist,9,5,St Maudlin Milkstreet,,
Alhallows Lumbardstreet,1,,St John Evangelist,,,St Maudlin Oldfishstreet,8,7
Alhallows Stayninâ€¢,7,6,St John Zachary,3,,St Michael Bassishaw,1,
Alhallows the Wall,10,10,St Katharine Coleman,7,7,St Michael Cornhil,2,2
St Alphage,2,1,St Katharine Crechurch,15,9,St Michael Crookedlane,8,6
St Andrew Hubbard,2,1,St Lawrence Jewry,2,1,St Michael Queenhithe,3,3
St Andrew Undershaft,4,3,St Lawrence Pountney,5,5,St Michael Quern,1,
St Andrew Wardrobe,5,3,St Leonard Eastcheap,2,2,St Michael Royal,3,2
St Ann Aldersgate,4,3,St Leonard Fosterlane,6,6,St Michael Woodstreet,3,2
St Ann Blackfryers,13,12,St Magnus Parish,3,3,St Mildred Breadstreet,1,1
St Antholins-Parish,,,St Margaret Lothbury,3,3,St Mildred Poultrey,,
St Austins Parish,,,St Margaret Moses,1,1,St Nicholas Acons,3,3
St Bartholomew Exchange,4,4,St Margaret Newfishstre.,3,2,St Nicholas Coleabby,2,2
St Bennet Fynck,1,1,St Margaret Pattons,1,,St Nicholas Olaves,2,2
St Bennet Gracechurch,2,1,St Mary Abchurch,5,3,St Olave Hartstreet,9,7
St Bennet Paulswharf,3,3,St Mary Aldermanbury,3,,St Olave Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,,,St Olave Silverstreet,1,
St Botolph Billingsgate,6,4,St Mary le Bow,1,1,St Pancras Soperlane,,
Christ Church,10,8,St Mary Bothaw,1,,St Peter Cheap,1,1
St Christophers,1,1,St Mary Colechurch,,,St Peter Cornhil,4,3
St Clement Eastcheap,3,,St Mary Hill,6,6,St Peter Paulswharf,4,4
St Diâ€¢nis Backchurch,1,,St Mary Mounthaw,,,St Peter Poor,,
St Dunstan East,5,4,St Mary Sommerset,9,9,St Steven Colemanstreet,13,13
St Edmund Lumbardstr.,5,3,St Mary Stayning,,,St Steven Walbrook,1,1
St Ethelborough,3,1,St Mary Woolchurch,3,2,St Swithin,4,2
St Faith,2,1,St Mary Woolnoth,1,,St Thomas Apostles,5,3
St Foster,3,3,St Martin Iremongerlane,,,Trinity Parish,3,1
St Gabriel Fenchurch,6,6,,,,,,
Christned in the 97 Parishes within the Walls 92 Buried 346 Plague 262,,,,,,,,
St Andrew Holborn,38,28,St Botolph Aldgate,55,44,Saviours Southwark,79,77
St Bartholomew Great,1,,St Botolph Bishopsgate,23,17,S Sepulchres Parish,26,13
St Bartholomew Lesse,4,4,St Dunstan West,20,17,St Thomas Southwark,10,0
St Bridget,18,10,St George Southwark,13,13,Trinity Minories,3,3
Bridewel Precinct,1,1,St Giles Cripplegate,34,23,At the Pesthouse,1,1
St Botolph Aldersgate,6,5,St Olave Southwark,65,44,,,
"Châ€¢istned in the 16 Parishes without the Walls 30 Buried, and at the Pesthouse 397 Plaguâ€¢ 309",,,,,,,,
St Giles in the fields,26,21,Lambeth Parish,54,46,St Mary Islington,10,9
Hackney Parish,2,2,St Leonard Shoreditch,19,14,St Mary Whitechappel,46,29
St James Clerkenwel,12,4,St Magdalen Bermondsey,42,36,Rothorith Parish,13,10
St Kath. near the Tower,14,9,St Mary Newington,7,5,Stepney Parish,215,191
Christned in the 12 out Parishes in Middlesex and Surrey 34 Buried 460 Plague 376,,,,,,,,
St Clement Danes,32,19,St Martin in the fields,50,23,St Margaret Westminster,66,57
St Paul Covent Garden,5,2,St Mary Savoy,3,2,Whereof at the Pesthouse,,
Christned in the 5 Parishes in the City and Liberties of Westminster 20 Buried 156 Plague 103,,,,,,,,
