0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plag.
St ALban Woodstreet,9,8,St George Botolphlane,,,St Martin Ludgate,2,2
Alhallows Barking,8,3,St Gregory by St Pauls,12,6,St Martin Orgars,2,1
â€¢lhallows Breadstreet,3,1,St Hellen,3,2,St Martin Outwitch,2,2
Alhallows Great,2,,St James Dukes place,7,6,St Martin Vintrey,7,4
Alhallows Honylane,,,St James Garlickhithe,,,St Matthew Fridaystreet,1,
Alhallows Lesse,2,1,St John Baptist,2,2,St Maudlin Milkstreet,â€¢,1
Alhallows Lumbardstreet,4,3,St John Evangelist,,,St Maudlin Oldfishstreet,2,2
Alhallows Staining,3,1,St John Zachary,1,1,St Michael Bassishaw,11,7
Alhallows the Wall,15,13,St Katharine Coleman,,,St Michael Cornhil,2,
St Alphage,14,5,St Katharine Crechurch,2,1,St Michael Crookedlane,1,
St Andrew Hubbard,1,,St Lawrence Jewry,3,1,St Michael Queenhithe,2,1
St Andrew Undershaft,9,9,St Lawrence Pountney,1,,St Michael Quern,,
St Andrew Wardrobe,11,8,St Leonard Eastcheap,,,St Michael Royal,1,1
St Ann Aldersgate,5,1,St Leonard Fosterlane,11,11,St Michael Woodstreet,3,1
St Ann Blackfryers,21,15,St Magnus Parish,3,2,St Mildred Breadstreet,1,
St Antholins Parish,,,St Margaret Lothbury,9,6,St Mildred Poultrey,3,2
St Austins Parish,,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Exchange,2,,St Margaret Newfishstreet,,,St Nicholas Coleabby,1,1
St Bennet Fynck,1,,St Margaret Pattons,1,,St Nicholas Olaves,2,1
St Bennet Gracechurch,,,St Mary Abchurch,2,,St Olave Hartstreet,4,2
St Bennet Paulswharf,9,2,St Mary Aldermanbury,5,1,St Olave Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,5,3,St Olave Silverstreet,17,8
St Botolph Billingsgate,,,St Mary le Bow,3,1,St Pancras Soperlane,,
Christs Church,22,15,St Mary Bothaw,1,,St Peter Cheap,,
St Christophers,,,St Mary Colechurch,,,St Peter Cornhil,3,3
St Clement Eastcheap,1,,St Mary Hill,,,St Peter Paulswharf,1,1
St Dionis Backchurch,2,1,St Mary Mounthaw,,,St Peter Poor,1,1
St Dunstan East,,,St Mary Sommerset,4,4,St Steven Colemanstreet,15,10
St Edmund Lumbardstr.,,,St Mary Stayning,1,,St Steven Walbrook,,
St Ethelborough,10,9,St Mary Woolchurch,2,,St Swithin,3,1
St Faith,2,1,St Mary Woolnoth,,,St Thomas Apostle,10,8
St Foster,7,4,St Martin Iremongerlane,,,Trinity Parish,2,1
St Gabriel Fenchurch,,,,,,,,
Christned in the 97 Parishes within the Walls 36 Buried 341 Plague 208,,,,,,,,
St Andrew Holborn,198,183,St Botolph Aldgate,103,81,Saviours Southwark,61,41
St Bartholomew Great,30,17,St Botolph Bishopsgate,180,133,S. Sepulchres Parish,325,205
St Bartholomew Lesse,12,6,St Dunstan West,26,2â€¢,St Thomas Southwark,9,8
St Bridget,81,66,St George Southwark,60,39,Trinity Minories,,
Bridewel Precinct,7,5,St Giles Cripplegate,691,356,At the Pesthouse,10,10
St Botolph Aldersgate,57,46,St Olave Southwark,142,64,,,
"Christned in the 16 Parishes without the Walls 67 Buried, and at the Pesthouse 1992 Plague 1280",,,,,,,,
St Gileâ€¢ in the fields,290,259,Lambeth Parish,9,1,St Mary Islington,28,24
Hackney Parish,10,6,St Leonard Shoreditch,183,122,St Mary Whitechappel,177,158
St James Clerkenwel,148,136,St Magdalen Bermondsey,14,7,Rothorith Parish,3,2
St Kath. near the Tower,16,12,St Mary Newington,23,16,Stepney Parish,204,136
Christâ€¢eâ€¢ in the 12 out Parishes in Middlesex and Surry 53 Buried 1105 Plague 879,,,,,,,,
St Clement Danes,61,42,St Martin in the fieldâ€¢,304,213,St Margaret Westminsteâ€¢,199,173
St Paul Covent Garden,20,16,St Mary Savoy,8,6,Whereof at the Pesthouse,,39
Christned in the 5 Parishes in the City and Liberties of Westminster 22 Buried 5 Plague 450,,,,,,,,
