0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plag.
St ALban Woodstreet,3,3,St George Botolphlane,4,1,St Martin Ludgate,6,5
Alhallows Barking,22,19,St Gregory by St Pauls,9,8,St Martin Orgars,1,1
â€¢â€¢hallows Breadstreet,1,1,St Hellen,1,1,St Martin Outwitch,,
Alhallows Great,12,11,St James Dukes place,4,3,St Martin Vintrey,7,7
â€¢lhallows Honylane,,,St James Garlickhithe,10,8,St Matthew Fridaystreet,3,2
Alâ€¢allows Lesse,8,7,St John Baptist,8,3,St Maudlin Milkstreet,1,
â€¢lâ€¢allows Lumbardstreet,1,,St John Evangelist,,,St Maudlin Oldfishstreet,6,5
â€¢â€¢hallows Staining,6,5,St John Zachary,1,1,St Michael Bassishaw,2,1
â€¢â€¢hallows the Wall,17,14,St Katharine Coleman,6,6,St Michael Cornhil,3,1
St Alphage,1,,St Katharine Crechurch,12,10,St Michael Crookedlane,5,5
St Andrew Hubbard,6,3,St Lawrence Jewry,2,1,St Michael Queenhithe,3,1
St Andrew Undershaft,9,7,St Lawrence Pountney,11,8,St Michael Quern,,
St Andrew Wardrobe,8,4,St Leonard Eastcheap,2,2,St Michael Royal,4,3
St Ann Aldersgate,5,4,St Leonard Fosterlane,5,3,St Michael Woodstreet,4,3
St Ann Blackfryers,18,13,St Magnus Parish,2,1,St Mildred Breadstreet,1,
St Antholins Parish,,,St Margaret Lothbury,4,4,St Mildred Poultrey,4,3
St Austins Parish,,,St Margaret Moses,1,,St Nicholas Acons,1,1
St Bartholomew Exchange,2,2,St Margaret Newfishstreet,9,6,St Nicholas Coleabby,5,4
St Bennet Fynck,2,1,St Margaret Pattons,2,1,St Nicholas Olaves,4,3
St Bennet Gracechurch,1,1,St Mary Abchurch,4,4,St Olave Hartstreet,11,7
St Bennet Paulswharf,7,5,St Mary Aldermanbury,7,3,St Olave Jewry,1,1
St Bennet Sherehog,,,St Mary Aldermary,9,7,St Olave Silverstreet,1,1
St Botolph Billingsgate,5,5,St Mary le Bow,,,St Pancras Soperlane,1,
Christs Church,13,12,St Mary Bothaw,2,2,St Peter Cheap,1,1
St Christophers,2,2,St Mary Colechurch,,,St Peter Cornhil,5,3
St Clement Eastcheap,3,1,St Mary Hill,4,4,St Peter Paulswharf,4,2
â€¢â€¢ Dionis Backchurch,3,1,St Mary Mounthaw,1,1,St Peter Poor,3,2
St Dunstan East,7,5,St Mary Sommerset,15,12,St Steven Colemanstreet,10,9
St Edmund Lumbardstr.,,,St Mary Stayning,1,,St Steven Walbrook,1,1
St Ethelborough,1,,St Mary Woolchurch,1,1,St Swithin,3,1
St Faith,2,1,St Mary Woolnoth,,,St Thomas Apostle,5,4
St Foster,,,St Martin Iremongerlane,2,2,Trinity Parish,4,3
St Gabriel Fenchurch,4,4,,,,,,
Christned in the 97 Parishes within the Walls 23 Buried 418 Plague 314,,,,,,,,
â€¢t Andrew Holborn,43,36,St Botolph Aldgate,85,68,Saviours Southwark,113,108
St Bartholomew Great,4,4,St Botolph Bishopsgate,34,24,S. Sepulchres Parish,27,16
â€¢â€¢ Bartholomew Lesse,3,3,St Dunstan West,20,13,St Thomas Southwark,10,8
St Bridget,24,16,St George Southwark,26,22,Trinity Minories,5,4
â€¢â€¢â€¢dewel Precinct,3,3,St Giles Cripplegate,48,39,At the Pesthouse,5,4
â€¢t Botolph Aldersgate,15,14,St Olave Southwark,86,67,,,
"Châ€¢istned in the 16 Parishes without the Walls 32 Buried, and at the Pesthouse 546 Plague 445",,,,,,,,
â€¢t Giles in the fields,32,24,Lambeth Parish,51,39,St Mary Islington,6,4
â€¢â€¢ckney Parish,11,9,St Leonard Shoreditch,28,21,St Mary Whitechappel,57,40
Sâ€¢ James Clerkenwel,1â€¢,5,St Magdalen Bermondsey,80,57,Rothorith Parish,15,12
â€¢â€¢ Kath. near the Tower,13,8,St Mary Newington,22,16,Stepney Parish,282,253
Christned in the 12 out Parishes in Middlesex and Surry 28 Buried 609 Plague 488,,,,,,,,
St Clement Danes,38,28,St Martin in the fields,61,37,St Margaret Westminster,102,92
St Paul Covent Garden,5,3,St Mary Savoy,8,7,Whereof at the Pesthouse,,
hristned in the 5 Parishes in the City and Liberties of Westminster 12 Buried 214 Plague 167,,,,,,,,
