0,1,2,3,4,5,6,7,8
,Bur.,Plag,,Bur.,Plag.,,Bur.,Plag
St ALban Woodstreet,16,12,St George Botolphlane,1,1,St Martin Ludgate,12,10
Alhallows Barking,46,34,St Gregory by St Pauls,26,25,St Martin Orgars,8,5
Alhallows Breadstreet,1,1,St Hellen,6,5,St Martin Outwitch,6,5
Alhallows Great,42,41,St James Dukes place,27,23,St Martin Vintrey,44,44
Alhallows Honylane,,,St James Garlickhithe,16,12,St Matthew Fridaystreâ€¢â€¢,,
Alhallows Lesse,17,17,St John Baptist,11,10,St Maudlin Mâ€¢lksâ€¢râ€¢et,4,4
Alhallows Lumbardstreet,5,5,St John Evangelist,,,St Maâ€¢dlin Oldfishsâ€¢reet,8,6
Alhallows Staining,21,18,St John Zachary,12,9,St Michael Bassâ€¢shaw,10,7
Alhallows the Wall,33,28,St Katharine Coleman,20,16,St Michael Cornhil,4,3
St Alphage,13,5,St Katharine Crechurch,34,29,St Michael Crookedlane,15,12
St Andrew Hubbard,4,,St Lawrence Jewry,6,5,St Michael Queenhithe,25,23
St Andrew Undershaft,16,14,St Lawrence Pountney,14,10,St Michael Quern,4,3
St Andrew Wardrobe,30,24,St Leonard Eastcheap,3,3,St Michael Royal,20,17
St Ann Aldersgate,28,27,St Leonard Fosterlane,16,13,St Michael Woodstreet,6,3
St Ann Blackfryers,57,50,St Magnus Parish,5,4,St Mildred Breadstreet,4,4
St Antholins Parish,7,4,St Margaret Lothbury,7,6,St Mildred Poultrey,4,2
St Austins Parish,4,3,St Margaret Moses,,,St Nicholas Acons,4,3
St Bartholomew Exchange,7,7,St Margaret Newfishstreet,18,13,St Nicholas Coleabby,8,8
St Bennet Fynck,4,2,St Margaret Pattons,4,3,St Nicholas Olaves,8,8
St Bennet Gracechurch,4,2,St Mary Abchurch,7,5,St Olave Hartstreet,13,11
St Bennet Paulswharf,15,7,St Mary Aldermanbury,14,14,St Olave Jewry,5,4
St Bennet Sherehog,2,,St Mary Aldermary,4,4,St Olave Silverstreet,4,4
St Botolph Billingsgate,8,8,St Mary le Bow,1,1,St Pancras Soperlane,1,1
Christs Church,44,39,St Mary Bothaw,6,4,St Peter Cheap,3,3
St Christophers,4,4,St Mary Colechurch,3,1,St Peter Cornhil,8,6
St Clement Eastcheap,1,1,St Mary Hill,11,8,St Peter Paulswharf,10,10
St Dionis Backchurch,9,2,St Mary Mounthaw,4,3,St Peter Poor,8,7
St Dunstan East,28,24,St Mary Sommerset,44,38,St Steven Colemanstreet,43,38
St Edmund Lumbardstr.,3,1,St Mary Stayning,3,2,St Steven Walbrook,2,2
St Ethelborough,7,4,St Mary Woolchurch,7,4,St Swithin,6,51
St Faith,8,6,St Mary Woolnoth,7,5,St Thomas Apostle,8,4
St Foster,8,6,St Martin Iremongerlane,2,2,Trinity Parish,10,9
St Gabriel Fenchurch,3,3,,,,,,
Christned in the 97 Parishes within the Wallsâ€” 39 Bâ€¢riedâ€” 1149 Plagueâ€” 948,,,,,,,,
St Andrew Holborn,173,151,St Botolph Aldgate,372,338,Saviours Southwark,364,352
St Bartholomew Great,17,15,St Botolph Bishopsgate,153,121,S. Sepulchres Parish,137,9â€¢
St Bartholomew Lesse,7,7,St Dunstan West,63,59,St Thomas Southwark,40,36
St Bridget,92,67,St George Southwark,140,133,Trinity Minories,24,21
Bridewel Precinct,23,23,St Giles Cripplegate,196,151,At the Pesthouse,8,8
St Botolph Aldersgate,71,64,St Olave Southwark,378,281,,,
"Christned in the 16 Parishes without the Wallsâ€”45 Buried, and at the Pesthouseâ€”2258 Plagueâ€” 1922",,,,,,,,
St Giles in the fields,95,78,Lambeth Parish,49,39,St Mary â€¢â€¢lington,35,31
Hackney Parish,14,12,St Leonard Shoreditch,95,91,St Mary Whitechappel,328,301
St James Clerkenwel,48,42,St Magdalen Bermondsey,128,106,Rothorith Parish,21,18
St Kath. near the Tower,55,39,St Mary Newington,81,81,Stepney Parish,674,631
Christned in the 12 out Parishes in Middlesex and Surryâ€”40 Buriedâ€” 1623 Plagueâ€” 1469,,,,,,,,
St Clement Danes,128,110,St Martin in the fields,209,143,St Margaret Westminster,309,297
St Paul Covent Garden,25,24,St Mary Savoy,19,16,Whereof at the Pesthouse,,4
Christned in the 5 Parishes in the City and Liberties of Westminster 18 Buried 690 Plag. 590,,,,,,,,
