0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plag.
St ALban Woodstreet,,,St George Borolphlane,,,St Martin Ludgate,,
Alhallows Barking,2,,St Gregory by St Pauls,2,,St Martin Orgars,2,
Alhallows Breadstreet,1,,St Hellen,,,St Martin Outwitch,,
Alhaâ€¢â€¢ows Great,,,St James Dukes place,1,,St Martin Vintrey,2,
Alhallows Honylane,,,St James Garlickhithe,,,St Matthew Fridaystreet,,
Alâ€¢â€¢llows Lesse,2,,St John Baptist,1,,St Maudlin Milkstreet,,
Aâ€¢â€¢allows Lumbardstreet,2,,St John Evangelist,,,St Maudlin Oldfishstreet,1,
Alhâ€¢llows Staining,,,St John Zachary,,,St Michael Bassishaw,1,
Aâ€¢â€¢allows the Wall,,,St Katharine Coleman,,,St Michael Cornhil,2,
St Alphage,,,St Katharine Crechurch,,,St Michael Crookedlane,1,
St Andrew Hubbard,1,,St Lawrence Jewry,1,,St Michael Queenhithe,,
St Andrew Undershaft,1,,St Lawrence Pountney,,,St Michael Quern,,
St Andrew Wardrobe,3,,St Leonard Eastcheap,,,St Michael Royal,1,
St Ann Aldersgate,1,,St Leonard Fosterlane,,,St Michael Woodstreet,2,
St Ann Blackfryers,,,St Magnus Parish,1,,St Mildred Breadstreet,,
St Antholins Parish,,,St Margaret Lothbury,,,St Mildred Poultrey,1,
St Austins Parish,,,St Margaret Moses,,,St Nicholas Acons,,
St Bartholomew Exchange,,,St Margaret Newfishstreet,1,,St Nicholas Coleabby,3,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,1,
St Bennet Gracechurch,,,St Mary Abchurch,,,St Olave Hartstreet,,
St Bennet Paulswharf,3,,St Mary Aldermanbury,,,St Olave Jewry,,
St Bennet Sherehog,,,St Mary Aldermary,1,,St Olave Silverstreet,2,
St Botolph Billingsgate,,,St Mary le Bow,1,,St Pancâ€¢as Soperlane,,
Christs Church,2,,St Mary Bothaw,,,St Peter Cheap,,
St Christophers,,,St Mary Colechurch,,,St Peter Cornhil,,
St Clement Eastcheap,,,St Mary Hill,,,St Peter Paulswharf,,
St Dionis Backchurch,1,,St Mary Mounthaw,,,St Peter Poor,2,
St Dunstan East,1,,St Mary Sommerset,,,St Steven Colemanstreet,3,
St Edmund Lumbardstr,1,,St Mary Stayning,,,St Steven Walbrook,1,
St Ethelborough,1,,St Mary Woolchurch,1,,St Swithin,,
St Faith,,,St Mary Woolnoth,,,St Thomas Apostle,,
St Foster,3,,St Martin Iremongerlane,,,Trinity Parish,,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 60 Plague 0,,,,,,,,
St Andrew Holborn,19,,St Botolph Aldgate,12,,Saviours Southwark,8,
St Bartholomew Great,5,,St Botolph Bishopsgate,9,,S. Sepulchres Parish,21,
St Bartholomew Lesse,2,,St Dunstan West,3,,St Thomas Southwark,,
St Bridget,,,St George Southwark,2,,Trinity Minories,,
Bridewel Precinct,1,,St Giles Cripplegate,27,,At the Pesthouse,,
St Botolph Aldersgate,2,,St Olave Southwark,14,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 125 Plague 0",,,,,,,,
St Gileâ€¢ in the fields,14,1,Lambeth Parish,2,,St Mary Islington,,
Hackney Parish,,,St Leonard Shoreditch,9,,St Mary Whitechappel,8,
St James Clerkenwel,8,,St Magdalen Bermondsey,4,,Rothorith Parish,,
St Kath. near the Tower,4,,St Mary Newington,,,Stepney Parish,18,
Buried in the 12 out Parishes in Middlesex and Surry 67 Plague 1,,,,,,,,
St Clement Danes,8,,St Martin in the fields,17,,St Margaret Westminster,14,
St Paul Covent Garden,,,St Mary Savoy,,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminstes 39 Plague 0,,,,,,,,
