0,1,2,3,4,5,6,7,8
,Bur,Pl,,Bur,Pl,,Bur,Pl.
St ALbans Woodstreet,1,,St George Botolphlane,,,St Martins Ludgate,1,
Alhallows Barking,5,,St Gregories by St Pauls,3,,St Martins Orgars,2,
Alhallows Breadstreet,,,St Hellens,,,St Martins Outwitch,1,
Alhallows Great,,,St James Dukes place,2,,St Martins Vintrey,,
Alhallows Honylane,,,St James Garlickhithe,,,St Mathew Fridaystreeâ€¢,,
Alhallows Lesse,1,,St John Baptist,,,St Maudlins Milkstree,,
Alhallows Lumbardstr.,,,St John Evangelist,,,St Maudlins Oldfiâ€¢hstr,,
Alhallows Stayning,2,,St John Zachary,2,,St Michael Bassishaw,1,
Alhallows the Wall,3,,St Katharine Coleman,1,,St Michael Cornhil,3,
St Alphage,,,St Katharine crechurch,3,,St Michael Crookedlâ€¢,1,
Sâ€¢ Andrew Hubbard,1,,St Lawrence Jewry,2,,St Michael Queenhithâ€¢,4,
St Andrew Undershaft,,,St Lawrence Pountney,,,St Michael Quern,,
St Andrew Wardrobe,1,,St Leonard Eastcheap,,,St Michael Royall,1,
St Ann Aldersgate,2,,St Leonard Fosterlane,,,St Michael Woodstreâ€¢,,
St Ann Blackfryers,4,,St Magnus Parish,1,,St Mildred Breadstrâ€¢et,,
St Antholins Parish,,,St Margaret Lothbury,1,,St Mildred Poultrey,,
St Austins Parish,,,St Margaret Moses,1,,St Nicholas Acons,1,
St Bartholomew Excha,,,St Margaret Neâ€¢fishsâ€¢,1,,St Nicholas Coleabby,1,
St Bennet Fynck,1,,St Margaret Pattonâ€¢,,,St Nicholas Olaves,,
St Bennet Gracechurch,,,St Mary Abchurch,,,St Olaves Hartstreet,1,
St Bennet Paulswharfe,,,St Mary Aldermanbury,2,,St Olaves Jewry,1,
St Bennet Sherehog,,,St Mary Aldermary,1,,St Olaves Silverstreet,1,
St Botolph Billingsgate,,,St Mary le Bow,1,,St Pancras Soperlane,1,
Christ Church,7,,St Mary Bothaw,,,St Peters Cheap,,
St Christophers,,,St Mary Colechurch,,,St Peters Cornhil,,
St Clement Eastcheap,,,St Mary Hill,,,St Peters Paulswharf,,
St Dionis Backchurch,,,St Mary Mounthaw,1,,St Peters Poor,1,
St Dunstans East,,,St Mary Sommerset,,,St Stevens Colemanstr,4,
St Edm. Lumbardstreet,,,St Mary Stayningâ€¢,,,St Stevens Walbrook,,
St Ethelborough,1,,St Mary Woolchurch,,,St Swithins,2,
St Faiths,,,St Mary Woolnoth,,,St Thomas Apostles,,
St Fosters,1,,St Martins Iremongerâ€¢,,,Trinity Parish,1,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 81 Plague 0,,,,,,,,
St Andrews Holborne,16,,Sâ€¢ Botolph Aldgate,20,,St Saviours Southwark,13,
St Bartholomew Greaâ€¢,,,St Botolph Bishopsgate,10,,St Sepulchres Parish,16,
St Bartholomew Lesse,,,St Dunstans West,6,,St Thomas Southwark,1,
St Brides Parish,12,,St George Southwark,6,,Trinity Minories,,
Bridewel Precinct,,,St Giles Cripplegate,30,,At the Pesthouse,,
St Botolph Aldersgate,1,,St Olaves Southwark,18,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 149 Plague 0",,,,,,,,
St Giles in the fields,25,,Lambeth Parisâ€¢,4,,St Mary Islington,2,
Hackney Parish,3,,St Leonard Shoreditch,8,,St Mary Whitechappel,15,
St James Clerkenwel,12,,St Magdalen Bermond,7,,Bedriff Parish,,
St Kath. neer the Tower,2,,St Mary Newington,4,,Stepney Parish,25,
Buried in the 12 out Parishes in Middlesex and Surry 107 Plague 0,,,,,,,,
St Clement Danes,6,,St Martins in the fieldâ€¢,16,,St Margaret Westminst.,20,
St Paul Covent Garden,3,,St Mary Savoy,,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 45. Plague 0,,,,,,,,
