0,1,2,3,4,5,6,7,8
,Bur.,Plag.,,Bur.,Plag.,,Bur.,Plag.
St ALban Woodstreet,11,8,St George Botolphlane,,,St Martin Ludgate,4,4
Alhallows Barking,13,11,St Gregory by St Pauls,9,5,St Martiâ€¢ Orgâ€¢â€¢,8,6
Alhallows Breadstreeâ€¢,1,1,St Hellen,11,11,St Martin Outwitch,1,
Alhallows Great,6,5,St James Dukes place,7,5,St Martin Vintrey,17,17
Alhallows Honylâ€¢ne,,,St James Garlickhithe,3,1,St Matthew Fridaystreet,1,
Alhallows Lesse,3,2,St John Baptist,7,4,St Maudlin Milkstreet,2,2
Alhallows Lumbardstreet,6,4,St John Evangelist,,,St Maudlin Oldfishstreet,8,4
Alhallows Stayning,7,5,St John Zachary,1,1,St Michael Bassishaw,12,11
Alhallows the Wall,23,11,St Katharine Coleman,5,1,St Michael Cornhil,3,1
St Alphage,18,10,St Katharine Crechurch,7,4,St Michael Crookedlane,7,4
St Andrew Hubbard,1,,St Lawrence Jewry,2,1,St Michael Queenhithe,7,6
St Andrew Undershaft,14,9,St Lawrence Pountney,6,5,St Michael Quern,1,
St Andrew Wardrobe,21,16,St Leonard Eastcheap,1,1,St Michael Royal,2,1
St Ann Aldersgate,18,11,St Leonard Fosterlane,17,13,St Michael Woodstreet,2,1
St Ann Blackfryers,22,17,St Magnus Parish,2,2,St Mildred Breadstreet,2,1
St Antholins Parish,,,St Margaret Lothbury,2,1,St Mildred Poultrey,4,3
St Austins Parish,,,St Margaret Moses,1,,St Nicholas Acons,,
St Bartholomew Exchange,2,2,St Margaret Newfishstreet,1,,St Nicholas Coleabby,1,
St Bennet Fynck,2,2,St Margaret Pattons,1,,St Nicholas Olaves,3,1
St Bennet Gracechurch,,,St Mary Abchurch,1,,St Olave Hartstreet,7,4
St Bennet Paulswharf,16,8,St Mary Aldermanbury,11,5,St Olave Jewry,1,1
St Bennet Sherehog,,,St Mary Aldermary,2,1,St Olave Silverstreet,23,15
St Botolph Billingsgate,2,,St Mary le Bow,6,6,St Pancras Soperlane,,
Christs Church,27,22,St Mary Bothaw,1,1,St Peter Cheap,1,1
St Christophers,1,,St Mary Colechurch,,,St Peter Cornhil,7,6
St Clement Eastcheap,2,2,St Mary Hill,2,1,St Peter Paulswharf,5,2
St Dionis Backchurch,2,1,St Mary Mounthaw,1,,St Peter Poor,3,2
St Dunstan East,7,2,St Mary Sommerset,6,5,St Steven Colemanstreet,15,11
St Edmund Lumbardstr.,2,2,St Mary Stayning,1,,St Steven Walbrook,,
St Ethelborough,13,7,St Mary Woolchurch,1,,St Swithin,2,2
St Faith,6,6,St Mary Woolnoth,1,1,St Thomas Apostles,8,7
St Foster,13,11,St Martin Iremongerlane,,,Trinity Parish,5,3
St Gabriel Fenchurch,1,,,,,,,
Christned in the 97 Parishes within the Walls 34 Buried 538 Plague 366,,,,,,,,
St Andrew Holâ€¢â€¢rn,232,220,St Botolph Aldgate,238,212,Saviours Southwark,160,120
St Bartholomew Great,58,50,St Botolph Bishopsgate,288,236,S Sepulchres Parish,403,274
St Bartholomew Lesse,19,15,St Dunstan West,36,29,St Thomas Southwark,24,21
St Bridgeâ€¢,147,119,St George Southwark,80,60,Trinity Minories,8,5
Bridewel Precinct,7,5,St Giles Cripplegate,847,572,At the Pesthouse,9,9
St Botolph Aldersgate,70,61,St Olave Southwark,235,131,,,
"Christned in the 16 Parishes wâ€¢thout the Walls 61 Buried, and at the Pesthouse 2861 Plague 2139",,,,,,,,
St Giles in the fields,204,175,Lambeth Parish,13,9,St Mary Islington,50,45
Hackney Parish,12,8,St Leonard Shoreditch,252,168,St Mary Whitechappel,319,270
St James Clerkenwel,172,172,St Magdalen Bermondsey,57,36,Rothorith Parish,7,2
St Kath. near the Tower,40,34,St Mary Newington,74,52,Stepney Parish,371,273
Christned in â€¢he 12 out â€¢â€¢â€¢isheâ€¢ in Middlesex and Surrey 49 Buried 1571 Plague 1244,,,,,,,,
St Clement Danes,94,78,St Martin in the fields,255,193,St Margaret Westminster,220,191
St Paul Covent Garden,18,16,St Mary Savoy,11,10,Whereof at the Pesthouse,,13
Christned in the 5 Parishes in the City and Liberties of Westminster 27 Buried 598 Plague 488,,,,,,,,
