0,1
ABortive,6
Aged,31
Ague,1
Apoplexie,1
Cancer,1
Chilbed,6
Chrisoms,15
Collick,1
Consumption,85
Convulsion,34
Cough,4
Distracted,1
Dropsie,40
Feaver,29
Flox and Small-pox,16
Flux,2
French-pox,4
Gangrene,1
Gowt,2
Grief,1
Griping in the Guts,12
Jaundies,1
Imposthume,1
Infants,13
"Kild two, one by a fall from a Scaffold at St. Sepulchres, and one by a Cart at St. Martins in the Fields",2
Kingsevill,2
Livergrown,2
Mother,1
Mouldsallen,1
Overlaid,2
Rickets,9
Rising of the Lights,9
Rupture,1
Scalded (a child) at St. Maudâˆ£lin Milkstreet,1
Scowring,6
Scurvy,3
Spleen,2
Spotted Feaver,1
Stilborn,11
Stopping of the stomach,4
Strangury,1
Suddenly,4
Surfeit,11
Teeth,27
Thursh,4
Timpany,1
Tissick,15
Ulcer,2
Vomiting,1
Winde,1
Wormes,1
