0,1
ABortive,5
Aged,30
Bleeding,2
Bruised,2
Childbed,16
Chrisomes,24
Collick,3
Consumption,131
Convulsion,63
Dropsie,24
Feaver,194
Fistula,1
Flox and Small-pox,18
Flux,4
"Found dead in the street 2, one at St. Dunstan in the East, and one at St. Olave Southwark",2
French-pox,3
Frighted,2
Grief,2
Griping in the Guts,56
Hanged himself at St. Magnusâ€¢,1
Jaundies,3
Imposthume,7
Infants,15
"Kild 2, one by a fall from a Tree, and one by a fall from a Ship at Stepney",2
Kingsevil,2
Livergrown,1
Measles,1
Palsie,1
Plague,2010
Plurisie,1
Purples,2
Quinsie,1
Rickets,16
Rising of the Lights,11
Rupture,1
Scowring,2
Scurvy,3
Sore legge,1
Spotted Feaver,139
Stilborn,11
Stone,3
Stopping of the stomach,14
Suddenly,2
Surfeit,80
Teeth,82
Thrush,2
Tiffick,5
Ulcer,1
Vomiting,1
Wormes,11
