0,1
[illustration] [blazon or coat of arms],
ABortive,4.0
Aged,45.0
Bleeding,1.0
Broken legge,1.0
Broke her scull by a fall in the street at St. Mary VVoolâˆ£church,1.0
Childbed,28.0
Chrisomes,9.0
Consumption,126.0
Convulsion,89.0
Cough,1.0
Dropsie,53.0
Feaver,348.0
Flox and Small-pox,11.0
Flux,1.0
Frighted,2.0
Gowt,1.0
Grief,3.0
Griping in the Guts,79.0
Head-mould-shot,1.0
Jaundieâ€¢,7.0
Imposthume,8.0
Infants,22.0
Kingsevil,4.0
Lethargy,1.0
Livergrown,1.0
Meagrome,1.0
Palsie,1.0
Plague,4237.0
Purples,2.0
Quinsie,5.0
Rickets,23.0
Rising of the Lights,18.0
Rupture,1.0
Scurvy,3.0
Shingles,1.0
Spotted Feaver,166.0
Stilborn,4.0
Stone,2.0
Stopping of the stomach,17.0
Strangury,3.0
Suddenly,2.0
Surfeit,74.0
Teeth,111.0
Thrush,6.0
Tissick,9.0
Ulcer,1.0
Vomiting,10.0
Winde,4.0
Wormes,20.0
