0,1
[illustration] [blazon or coat of arms],
ABortive,1.0
Aged,22.0
Childbed,11.0
Chrisomes,8.0
Consumption,67.0
Convulsion,27.0
Dropsie,24.0
Drownd at St. Saviours Southâˆ£wark,1.0
Feaver,75.0
French-pox,1.0
Gangrene,1.0
Griping in the Guts,12.0
Imposthume,1.0
Infants,8.0
Meagrome,1.0
Meâ€¢sles,1.0
Palsie,1.0
Plague,1031.0
Rickets,6.0
Rising of the Lights,4.0
Scowring,1.0
Scurvy,2.0
Small-Pox,1.0
Sore legge,1.0
Spotted Feaver,13.0
Stilborn,4.0
Stone,2.0
Stopping of the stomach,3.0
Strangury,1.0
Surfeit,14.0
Teeth,36.0
Thrush,2.0
Tissick,3.0
Wormes,2.0
