0,1
[illustration] [blazon or coat of arms],
ABortive,2.0
Aged,24.0
Bedridden,1.0
Bruised,1.0
Cancer,1.0
Canker,1.0
Childbed,12.0
Chrisomes,6.0
Collick,2.0
Consumption,59.0
Convulsion,25.0
Dropsie,17.0
Drowned in a Tub of VVash in a Brewhouse at St. Giles in the Fields,1.0
Feaver,82.0
French-pox,1.0
Frighted,1.0
Grief,2.0
Griping in the Guts,13.0
Jaundies,1.0
Imposthume,6.0
Infants,3.0
Killed by a fall from a Scaffold at St. Martin in the Fields,1.0
Lethargy,1.0
Livergrown,1.0
Overlaid,1.0
Palsie,1.0
Plague,1421.0
Quinsie,1.0
Rickets,8.0
Rising of the Lights,3.0
Rupture,1.0
Scowring,1.0
Spotted Feaver,28.0
Stilborn,3.0
Stopping of the stomach,3.0
Suddenly,1.0
Surfeit,17.0
Teeth,41.0
Tissick,3.0
Winde,1.0
Wormes,8.0
