0,1
[illustration] [blazon or coat of arms],
ABortive,5.0
Aged,36.0
Apoplexie,1.0
Childbed,25.0
Chrisomes,22.0
Consumption,130.0
Convulsion,58.0
Cough,2.0
Distracted,1.0
Dropsie,32.0
Drownd in a Ditch at Saviours Southwark,1.0
Feaver,314.0
Flox and Small-pox,11.0
Flux,1.0
Grief,3.0
Griping in the Guts,70.0
Jaundies,2.0
Imposthume,16.0
Infants,13.0
Kingsevil,2.0
Leprosie,1.0
Meagrome,1.0
Mother,1.0
Plague,2817.0
Plurisie,1.0
Purples,2.0
Quinsie,3.0
Rickets,14.0
Rising of the Lights,32.0
Rupture,3.0
Scowring,3.0
Scurvy,3.0
Spotted Feaver,174.0
Stilborn,11.0
Stone,3.0
Stopping of the stomach,10.0
Suddenly,2.0
Surfeit,85.0
Teeth,90.0
Thrush,4.0
Tiffick,3.0
Ulcer,3.0
Vomiting,1.0
Wormes,18.0
