0,1
[illustration] [blazon or coat of arms],
ABortive,23.0
Aged,57.0
Bedridden,1.0
Bleeding,1.0
Cancer,1.0
Childbed,39.0
Chrisomes,20.0
Collick,1.0
Consumption,129.0
Convulsion,71.0
Dropsie,31.0
"Drowned 3, one at Stepney, one at St. Katharine near the Tower, and one at St. Margaâˆ£ret VVestminster",3.0
Feaver,332.0
Flox and Small-pox,8.0
Found dead in the street at St. Olave Southwark,1.0
French-pox,1.0
Frighted,1.0
Gangrene,1.0
Grief,1.0
Griping in the Guts,45.0
Head-mould-shot,2.0
Jaundies,3.0
Imposthume,6.0
Infants,10.0
Kingsevil,1.0
Lethargy,1.0
Meagrome,1.0
Plague,6544.0
Plannet,1.0
Quinsie,3.0
Rickets,20.0
Rising of the Lights,15.0
Rupture,4.0
Scowring,3.0
Scurvy,2.0
Spotted Feaver,97.0
Stone,1.0
Stopping of the stomach,5.0
Strangury,2.0
Surfeit,45.0
Teeth,128.0
Thrush,6.0
Timpany,1.0
Tissick,4.0
Ulcer,1.0
Vomiting,2.0
Wormes,15.0
