0,1
[illustration] [blazon or coat of arms],
ABortive,5.0
Aged,43.0
Ague,2.0
Apoplexie,1.0
Bleeding,2.0
Burnt in his Bed by a Candle at St. Giles Cripplegate,1.0
Canker,1.0
Childbed,42.0
Chrisomes,18.0
Consumption,134.0
Convulsion,64.0
Cough,2.0
Dropsie,33.0
Feaver,309.0
Flox and Small-pox,5.0
Frighted,3.0
Gowt,1.0
Grief,3.0
Griping in the Guts,51.0
Jaundies,5.0
Imposthume,11.0
Infants,16.0
Killed by a fall from the Belâˆ£frey at Alhallowes the Great,1.0
Kingsevil,2.0
Lethargy,1.0
Palsie,1.0
Plague,7165.0
Rickets,17.0
Rising of the Lights,11.0
Scowring,5.0
Scurvy,2.0
Spleen,1.0
Spotted Feaver,101.0
Stilborn,17.0
Stone,2.0
Stopping of the stomach,9.0
Strangury,1.0
Suddenly,1.0
Surfeit,49.0
Teeth,121.0
Thrush,5.0
Timpany,1.0
Tissick,11.0
Vomiting,3.0
Winde,3.0
Wormes,15.0
