0,1
[illustration] [blazon or coat of arms],
ABortive,1.0
Aged,27.0
Ague,1.0
Bloody flux,1.0
Childbed,7.0
Chrisomes,7.0
Consumption,82.0
Convulsion,24.0
Cough,4.0
Dropsie,31.0
Drowned at St. Mary VVhiteâˆ£chappel,1.0
Feaver,46.0
Flox and Small-pox,28.0
Flux,4.0
French-pox,2.0
Grief,1.0
Griping in the Guts,22.0
Imposthume,1.0
Infants,13.0
Killed with a Cart at St. Giles Cripplegate,1.0
Kingsevil,1.0
Overlaid,1.0
Quinsie,1.0
Rickets,7.0
Rising of the Lights,5.0
Sciatica,1.0
Scowring,1.0
Scurvy,1.0
Spotted Feaver,4.0
Stilborn,13.0
Stopping of the stomach,4.0
Strangury,1.0
Suddenly,1.0
Surfeit,6.0
Teeth,27.0
Tissick,12.0
Ulcer,2.0
Winde,2.0
