0,1
[illustration] [blazon or coat of arms],
ABortive,5.0
Aged,31.0
Apoplexie,1.0
Blasted,2.0
Bleeding,1.0
Cancer,1.0
Childbed,19.0
Chrisomes,21.0
Collick,3.0
Consumption,136.0
Convulsion,52.0
Cough,1.0
Dropsie,53.0
"Drowned 4, one at Saviours Southwark, two at St. Kathaâˆ£rines Tower, and one at St. Margaret VVestminster",4.0
Feaver,164.0
Flox and Small-pox,16.0
Flux,2.0
French-pox,1.0
Frighted,1.0
Gangrene,1.0
Griping in the Guts,40.0
Jaundies,2.0
Imposthume,6.0
Infants,10.0
Kingsevil,3.0
Livergrown,3.0
Plague,1843.0
Purples,3.0
Quinsie,2.0
Rickets,10.0
Rising of the Lights,14.0
Rupture,1.0
Scowring,8.0
Scurvy,6.0
Spotted Feaver,114.0
Stilborn,9.0
Stone,1.0
Stopping of the stomach,2.0
Strangury,1.0
Surfeit,103.0
Teeth,67.0
Thrush,5.0
Timpany,1.0
Tissick,1.0
Ulcer,3.0
Vomiting,2.0
Winde,1.0
Wormes,9.0
