0,1
[illustration] [blazon or coat of arms],
ABortive,4.0
Aged,25.0
Ague,1.0
Cancer,2.0
Childbed,5.0
Chrisoms,8.0
Consumâ€¢tion,79.0
Convulsion,33.0
Cough,3.0
Dropsie,33.0
"Drowned 3, two at St. Kaâˆ£therine Tower, and one at St. James Clarkenwel",3.0
Feaver,36.0
Fistula,1.0
Flox and Small-pox,17.0
Flux,5.0
Found dead in the street at St. Giles in the Fields,1.0
French-pox,5.0
Gangrene,1.0
Griping in the Guts,22.0
Jaundies,5.0
Imposthume,6.0
Infants,7.0
"Kild 2, one at St. Paul Covent Garden, and one by a Horse at St. Sâ€¢pulchers",2.0
Kingsevill,1.0
Mouldfallen,1.0
Plague,2.0
Plurisie,1.0
Purples,1.0
Rickets,10.0
Rising of the Lights,8.0
Scowring,2.0
Scurvy,2.0
Spotted Feaver,12.0
Stilborn,5.0
Stopping of the Stomach,6.0
Suddenly,1.0
Surfeit,8.0
Teeth,22.0
Tâ€¢rush,4.0
Tâ€¢ssick,4.0
Ulcer,2.0
Winde,1.0
Wormes,1.0
