0,1
[illustration] [blazon or coat of arms],
ABortive,5
Aged,44
Apoplexie,1
Bedridden,3
Bleeding,1
Chilbed,9
Chrisoms,â€¢7
Cold,2
Collick,1
Consumption,96
Convulsion,36
Cough,4
Dropsie,39
Feaver,35
Fistula,2
Flox and Small pox,29
Flux,3
French-pox,2
Griping in the Guts,15
Jaundies,2
Imposthume,2
Infants,16
Kingsevill,1
Rickets,8
Rising of the Lights,5
Scowring,2
Scurvy,1
Spleen,1
Spotted Feaver,1
Starved her self at St. Leonards Fosterlane,1
Stilborn,15
Stopping of the stomach,10
Strangury,1
Suddenly,4
Surfeit,13
Teeth,19
Timpany,1
Tissick,21
Winde,4
Wormes,2
