0,1
ABortive,6
Aged,54
Apoplexie,1
Bedridden,1
Cancer,2
Childbed,23
Chrisomes,15
Collick,1
Consumption,174
Convulsion,88
Dropsie,40
"Drownd two, one at St. Kath. Tower, and one at Lambeth",2
Feaver,353
Fistula,1
Flox and Small-pox,10
Flux,2
Found dead in the Street at St. Bartholomew the Less,1
Frighted,1
Gangrene,1
Gowt,1
Grief,1
Griping in the Guts,74
Jaundies,3
Imposthume,18
Infants,21
Killed by a fall down stairs at St. Thomas Apostle,1
Kingsevil,10
Lethargy,1
Murthered at Stepney,1
Palsie,2
Plague,3880
Plurisie,1
Quinsie,6
Rickets,23
Rising of the Lights,19
Rupture,2
Sciatica,1
Scowring,13
Scurvy,1
Sore legge,1
Spotted Feaver and Purplâ€¢s,190
Starved at Nurse,1
Stilborn,8
Stone,2
Stopping of the stomach,16
Strangury,1
Suddenly,1
Surfeit,87
Teeth,113
Thrush,3
Tissick,6
Ulcer,2
Vomiting,7
Winde,8
Wormes,18
