0,1
ABortive,4
Aged,23
Blasted,1
Bloody flux,1
Canker,1
Childbed,4
Chrisoms,9
Consumption,73
Convulsion,35
Dropsie,26
"Drowned 3, one at St. James Clarkenwel, one at St. Cleâˆ£ment Danes, and one at St. Kaâˆ£therines Tower",3
Executed,1
Feaver,34
Flox and Small-pox,14
Flux,1
Found dead in a Barn at Stepâˆ£ney,1
Found murthered (a child) in the street at St. Margaret Westminster,1
French-pox,1
Grief,1
Griping in the Guts,18
Hanged her self at St. Maudlin Milkstreet (being distracted),1
Jaundias,2
Imposthume,2
Infants,11
"Kild 3, one at Sâ€¢. Mary Newâˆ£ington, one with a Cart at St. Giles in the Fields, and one with wrastling at St Marâˆ£garet Westminster",3
Kingsevill,3
Overlaid,3
Plague,14
Rickâ€¢ts,10
Rising of the Lights,6
Rupture,2
Scowring,2
Scurvy,1
Spleen,1
Spotted Feaver,14
Stilborn,4
Stone,2
Stopping of the Stomach,8
Suddenly,2
Surfeit,11
Teeth,23
Thrush,1
Tissick,3
Ulcer,2
Vomiting,1
Wormes,1
