0,1
[illustration] [blazon or coat of arms],
ABortive,4.0
Aged,42.0
Ague,3.0
Bloody flux,1.0
Cancer,1.0
Childbed,14.0
Chrisomes,7.0
Consumption,103.0
Convulsion,60.0
Dropsie,33.0
Drowned at St. Magdalen Berâˆ£mondsey,1.0
Feaver,201.0
Flox and Small-pox,3.0
Flux,1.0
Frighted,1.0
Gangrene,1.0
Grief,3.0
Griping in the Guts,28.0
Jaundies,4.0
Imposthume,4.0
Infants,18.0
Killed by a fall at Stepney,1.0
Kingsevil,1.0
Overlaid,1.0
Palsie,1.0
Plague,4929.0
Plannet,1.0
Plurisie,1.0
Purples,1.0
Rickets,12.0
Rising of the Lights,8.0
Rupture,1.0
Scowring,2.0
Scurvy,5.0
Spotted Feaver,63.0
Starved at Nurse (at St. Maudâˆ£lin in Old Fishstreet),1.0
Stilborn,9.0
Stopping of the stomach,6.0
Suddenly,3.0
Surfeit,24.0
Teeth,92.0
Thrush,2.0
Timpany,1.0
Tissick,3.0
Ulcer,1.0
Vomiting,1.0
Winde,4.0
Wormes,13.0
